Date,WaermemengeInnenstadt,WaermemengeMHKW,GTWaermeleistung,WaermeleistungKessel4,WaermeleistungKessel5,WaermeleistungKessel6,GaspreisGT,GaspreisKessel,Spotpreis,CO2Preis,Aussentemperatur,Waermeeinspeisung,TempVorlauf,TempRuecklauf,MHKWTempVorlauf,MHKWTempRuecklauf
1/1/202012:00:00 am,3.1,5.4,0,0,0,3.1,19.75,19.179,41.88,24.86,3.6,8.5,103.82,73.39,97.92,69.81
1/1/202001:00:00 am,2.8,5.4,0,0,0,3.1,19.75,19.179,38.6,24.86,3.2,8.2,103.91,74.39,100.8,70.37
1/1/202002:00:00 am,2.8,6,0,0,0,2.8,19.75,19.179,36.55,24.86,2.5,8.8,103.56,72.01,102.17,69.11
1/1/202003:00:00 am,3.6,6.7,0,0,0,3.6,19.75,19.179,32.32,24.86,1.6,10.3,105.3,73.74,102.98,68.65
1/1/202004:00:00 am,3.5,7.7,0,0,0,3.2,19.75,19.179,30.85,24.86,1,11.2,105.43,72.66,103.74,67.23
1/1/202005:00:00 am,2.7,8.2,0,0,0,3.2,19.75,19.179,30.14,24.86,0.9,10.9,105.99,72.01,104.5,66.88
1/1/202006:00:00 am,4,8.9,0,0,0,4,19.75,19.179,30.17,24.86,1.4,12.9,106.21,72.14,104.45,66.88
1/1/202007:00:00 am,3.5,9.3,0,0,0,3.4,19.75,19.179,30,24.86,1.6,12.8,104.6,70.36,104.5,67.23
1/1/202008:00:00 am,3.5,9.3,0,0,0,3.5,19.75,19.179,30.65,24.86,1.2,12.8,106.34,73.18,104.45,67.33
1/1/202009:00:00 am,4,9.4,0,0,0,4.1,19.75,19.179,30.65,24.86,1.4,13.4,105.08,73.13,104.25,66.83
1/1/202010:00:00 am,2.9,9.1,0,0,0,3.2,19.75,19.179,30.27,24.86,1.7,12,104.17,74.65,105.36,67.28
1/1/202011:00:00 am,3,8.9,0,0,0,3.1,19.75,19.179,30.34,24.86,2.6,11.9,104.9,76,103.23,67.64
1/1/202012:00:00 pm,3,8.5,0,0,0,3,19.75,19.179,30.99,24.86,3.4,11.5,104.12,75.26,102.02,67.89
1/1/202001:00:00 pm,2.8,7.7,0,0,0,2.6,19.75,19.179,30.04,24.86,4.4,10.5,102.26,74.87,101.82,67.79
1/1/202002:00:00 pm,2.7,7.4,0,0,0,2.6,19.75,19.179,30.75,24.86,4.7,10.1,102.47,74.52,99.49,67.89
1/1/202003:00:00 pm,3.1,7.5,0,0,0,3.2,19.75,19.179,32.11,24.86,5.2,10.6,101.52,74.48,100.25,67.89
1/1/202004:00:00 pm,3,8,0,0,0,3,19.75,19.179,35.98,24.86,4.7,11,102.3,73.96,99.18,67.89
1/1/202005:00:00 pm,3.1,8.4,0,0,0,3.1,19.75,19.179,40.4,24.86,4,11.5,102.26,73.18,101.26,67.59
1/1/202006:00:00 pm,3.2,8.7,0,0,0,3.1,19.75,19.179,44.05,24.86,2.5,11.9,104.43,73.65,102.68,67.59
1/1/202007:00:00 pm,3.5,8.8,0,0,0,3,19.75,19.179,43.15,24.86,2.4,12.3,104.25,74.96,103.54,67.59
1/1/202008:00:00 pm,3.5,8.6,0,0,0,3.2,19.75,19.179,43.45,24.86,1.5,12.1,105.21,74.7,103.84,68.04
1/1/202009:00:00 pm,2.7,8.3,0,0,0,2.9,19.75,19.179,40.68,24.86,1.5,11,105.21,76.39,102.83,68.55
1/1/202010:00:00 pm,3.3,7.9,0,0,0,3.3,19.75,19.179,40.27,24.86,2,11.2,105.9,75.56,102.78,68.4
1/1/202011:00:00 pm,3,6.8,0,0,0,3,19.75,19.179,34.85,24.86,2.1,9.8,105.64,75.56,99.64,67.89
2/1/202012:00:00 am,3.5,5.8,0,0,0,3.4,19.75,19.179,35.4,24.24,1.8,9.3,105.43,72.35,102.93,67.89
2/1/202001:00:00 am,3.1,5.7,0,0,0,3.2,19.75,19.179,31.98,24.24,2,8.8,104.99,71.48,101.56,67.865
2/1/202002:00:00 am,3.5,6.2,0,0,0,3.5,19.75,19.179,30.5,24.24,2.6,9.7,104.47,70.96,101.16,67.74
2/1/202003:00:00 am,3.8,6.8,0,0,0,3.8,19.75,19.179,28.79,24.24,2.4,10.6,103.99,70.96,103.69,68.14
2/1/202004:00:00 am,3.2,7.7,0,0,0,3.1,19.75,19.179,28.42,24.24,2.2,10.9,104.56,71.27,103.08,67.64
2/1/202005:00:00 am,3.7,7.9,0,0,0,3.9,19.75,19.179,28.75,24.24,1.9,11.6,104.9,70.92,103.79,67.33
2/1/202006:00:00 am,3.6,9.5,0,0,0,3.5,19.75,19.179,34.16,24.24,2.1,13.1,103.95,71.245,104.1,67.13
2/1/202007:00:00 am,4.6,9.3,0,0.8,0,3.9,19.75,19.179,42.07,24.24,2.2,13.9,104.25,70.4,103.44,67.84
2/1/202008:00:00 am,4.5,9.2,0,0,0,4.1,19.75,19.179,44.89,24.24,2.4,13.7,102.69,71.22,103.74,67.23
2/1/202009:00:00 am,3.8,9.4,0,0.4,0,3.7,19.75,19.179,45.26,24.24,2.2,13.2,104.04,72.44,103.84,67.54
2/1/202010:00:00 am,3.8,9.4,0,0.3,0,3.5,19.75,19.179,45.57,24.24,2.1,13.2,106.51,73.78,103.49,67.23
2/1/202011:00:00 am,4.9,9.4,0,0,0,4.4,19.75,19.179,45.09,24.24,2.2,14.3,105.03,73.13,104.45,66.83
2/1/202012:00:00 pm,3.7,9.3,0,0.9,0,3.4,19.75,19.179,45.16,24.24,2.5,13,105.47,74.61,103.18,66.88
2/1/202001:00:00 pm,3.4,9.1,0,0,0,3.2,19.75,19.179,44.9,24.24,3.4,12.5,104.25,75.69,102.78,66.78
2/1/202002:00:00 pm,2.8,9,0,0,0,3.1,19.75,19.179,44.06,24.24,3.8,11.8,102.39,75.48,102.17,66.73
2/1/202003:00:00 pm,3.5,9,0,0,0,3.2,19.75,19.179,44.84,24.24,3.9,12.5,104.04,73.65,101.46,66.83
2/1/202004:00:00 pm,3.8,9,0,0,0,3.7,19.75,19.179,44.4,24.24,4.3,12.8,101.65,72.92,101.56,66.22
2/1/202005:00:00 pm,3,9,0,0,0,3,19.75,19.179,46.05,24.24,4.6,12,101.43,73.52,101.51,66.12
2/1/202006:00:00 pm,2.8,9,0,0,0,3,19.75,19.179,46.72,24.24,4.4,11.8,102.39,75.56,101.06,66.12
2/1/202007:00:00 pm,3.1,8.6,0,0,0,2.9,19.75,19.179,45.26,24.24,4.8,11.7,103.39,75.17,99.99,65.97
2/1/202008:00:00 pm,2.2,8.3,0,0,0,2.4,19.75,19.179,39.32,24.24,5.5,10.5,100.65,76.61,100.8,66.12
2/1/202009:00:00 pm,2.4,8.1,0,0,0,2.4,19.75,19.179,34.06,24.24,5.6,10.5,100.78,74.44,100.4,66.83
2/1/202010:00:00 pm,2.4,8,0,0,0,2.5,19.75,19.179,32.22,24.24,5.5,10.4,101.56,75.82,100.15,66.22
2/1/202011:00:00 pm,2.4,6.9,0,0,0,2.3,19.75,19.179,24.99,24.24,5.7,9.3,100.52,75.48,99.79,66.57
3/1/202012:00:00 am,2.7,5.7,0,0,0,2.8,19.75,19.179,21.47,24.86,5.8,8.4,100.26,71.88,97.87,66.52
3/1/202001:00:00 am,3,5.4,0,0,0,2.9,19.75,19.179,13.04,24.86,6,8.4,100.91,71.7,98.63,66.37
3/1/202002:00:00 am,2.8,5.5,0,0,0,3,19.75,19.179,1.53,24.86,6.1,8.3,101.22,71.79,97.11,65.97
3/1/202003:00:00 am,2.9,5.8,0,0,0,2.9,19.75,19.179,0.14,24.86,6.2,8.7,100.09,70.1,97.26,65.56
3/1/202004:00:00 am,3.3,6.3,0,0,0,3.1,19.75,19.179,0.85,24.86,6.3,9.6,99.78,71.68,98.37,65
3/1/202005:00:00 am,2.8,6.9,0,0.6,0,2.8,19.75,19.179,9.92,24.86,6.6,9.7,100.22,71.66,98.02,65.05
3/1/202006:00:00 am,3.5,8.3,0,0.6,0,3,19.75,19.179,24.48,24.86,6.7,11.8,101.61,72.87,98.27,64.09
