Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoCastle,TBox,https://theworldavatar.io/ontology/ontocastle/ontocastle.owl,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoCastle,TBox,,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoCastle,TBox,OntoCastle is a sample ontology used to support sample data used in testing the FeatureInfoAgent.,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoCastle,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
Structure,Class,http://www.opengis.net/ont/geosparql#Feature,IS-A,,,,,https://theworldavatar.io/ontology/ontocastle/ontocastle.owl,
Castle,Class,Structure,IS-A,,,,,https://theworldavatar.io/ontology/ontocastle/ontocastle.owl,
MotteAndBailey,Class,Castle,IS-A,,,,,https://theworldavatar.io/ontology/ontocastle/ontocastle.owl,
Concentric,Class,Castle,IS-A,,,,,https://theworldavatar.io/ontology/ontocastle/ontocastle.owl,
RomanFort,Class,Castle,IS-A,,,,,https://theworldavatar.io/ontology/ontocastle/ontocastle.owl,
StoneKeep,Class,Castle,IS-A,,,,,https://theworldavatar.io/ontology/ontocastle/ontocastle.owl,
hasPopulation,Object Property,,,Castle,,,,https://theworldavatar.io/ontology/ontocastle/ontocastle.owl,
hasWorth,Object Property,,,Castle,,,,https://theworldavatar.io/ontology/ontocastle/ontocastle.owl,
hasFeudalLord,Object Property,,,Castle,,,,https://theworldavatar.io/ontology/ontocastle/ontocastle.owl,
hasOriginalOwner,Data Property,,,Castle,String,,,https://theworldavatar.io/ontology/ontocastle/ontocastle.owl,
hasCurrentOwner,Data Property,,,Structure,String,,,https://theworldavatar.io/ontology/ontocastle/ontocastle.owl,
hasConstructionYear,Data Property,,,Structure,Integer,,,https://theworldavatar.io/ontology/ontocastle/ontocastle.owl,
hasStructuralCondition,Data Property,,,Structure,String,,,https://theworldavatar.io/ontology/ontocastle/ontocastle.owl,
hasName,Data Property,,,http://www.opengis.net/ont/geosparql#Feature,String,,,https://theworldavatar.io/ontology/ontocastle/ontocastle.owl,
hasCountry,Data Property,,,http://www.opengis.net/ont/geosparql#Feature,String,,,https://theworldavatar.io/ontology/ontocastle/ontocastle.owl,
