Value,OntoBuiltEnv
Residential,https://www.theworldavatar.com/kg/ontobuiltenv/Domestic
Residential,https://www.theworldavatar.com/kg/ontobuiltenv/SingleResidential
Residential,https://www.theworldavatar.com/kg/ontobuiltenv/MultiResidential
Office,https://www.theworldavatar.com/kg/ontobuiltenv/Non-Domestic
Office,https://www.theworldavatar.com/kg/ontobuiltenv/FireStation
Office,https://www.theworldavatar.com/kg/ontobuiltenv/PoliceStation
Health,https://www.theworldavatar.com/kg/ontobuiltenv/Medical
Health,https://www.theworldavatar.com/kg/ontobuiltenv/Hospital
Health,https://www.theworldavatar.com/kg/ontobuiltenv/Clinic
Health,https://www.theworldavatar.com/kg/ontobuiltenv/Pharmacy
Health,https://www.theworldavatar.com/kg/ontobuiltenv/EmergencyService
Office,https://www.theworldavatar.com/kg/ontobuiltenv/Education
Office,https://www.theworldavatar.com/kg/ontobuiltenv/School
Office,https://www.theworldavatar.com/kg/ontobuiltenv/University
Office,https://www.theworldavatar.com/kg/ontobuiltenv/Office
Office,https://www.theworldavatar.com/kg/ontobuiltenv/Bank
Commercial,https://www.theworldavatar.com/kg/ontobuiltenv/RetailEstablishment
Office,https://www.theworldavatar.com/kg/ontobuiltenv/ReligiousFacility
Industrial,https://www.theworldavatar.com/kg/ontobuiltenv/IndustrialFacility
Commercial,https://www.theworldavatar.com/kg/ontobuiltenv/EatingEstablishment
Commercial,https://www.theworldavatar.com/kg/ontobuiltenv/DrinkingEstablishment
Hotel,https://www.theworldavatar.com/kg/ontobuiltenv/Hotel
Commercial,https://www.theworldavatar.com/kg/ontobuiltenv/SportsFacility
Commercial,https://www.theworldavatar.com/kg/ontobuiltenv/CulturalFacility
Industrial,https://www.theworldavatar.com/kg/ontobuiltenv/TransportFacility
