Station;Komponente;Datum;Wert01;Wert02;Wert03;Wert04;Wert05;Wert06;Wert07;Wert08;Wert09;Wert10;Wert11;Wert12;Wert13;Wert14;Wert15;Wert16;Wert17;Wert18;Wert19;Wert20;Wert21;Wert22;Wert23;Wert24;Nachweisgrenze
PS_Innenstadt';'Gesamt_UV_Strahlung';'20220707';0.21651599;0.09434250;0.15619700;0.12448200;0.35326499;2.42124510;5.18091965;8.85325050;5.12361002;8.65175056;14.35159969;14.73234940;14.12985039;20.10925102;24.28499985;12.69910049;7.40499973;6.47114992;3.44150996;2.44336009;0.42795300;0.10956550;0.05604300;0.19735551;-999
PS_Innenstadt';'Gesamt_UV_Strahlung';'20220708';0.00000000;0.08934800;0.06855400;0.18018949;0.35286000;2.44420505;6.18079996;15.46170044;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
PS_Innenstadt';'Luftdruck';'20220707';1021.47998047;1021.00000000;1020.89001465;1020.25000000;1020.00000000;1020.00000000;1020.00000000;1020.00000000;1020.00000000;1020.00000000;1020.00000000;1020.60998535;1021.00000000;1021.14001465;1021.96496582;1022.01000977;1022.84997559;1023.00000000;1023.16003418;1023.98498535;1024.27001953;1025.00000000;1025.54492188;1026.00000000;-999
PS_Innenstadt';'Luftdruck';'20220708';1026.01501465;1026.97998047;1027.00000000;1027.00000000;1027.19995117;1028.00000000;1028.00000000;1028.48510742;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
PS_Innenstadt';'Niederschlag';'20220707';0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;-999
PS_Innenstadt';'Niederschlag';'20220708';0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
PS_Innenstadt';'Ozon';'20220707';27.58182144;29.14218903;27.12632370;24.41225624;21.27938461;17.62685394;22.15725136;23.45857048;21.70840454;22.70633698;25.21047020;29.62391853;25.70881653;27.97836685;29.79041672;29.68446732;27.97476768;28.10486603;26.13741684;25.23981857;23.82971764;21.00111771;18.13096809;25.06636810;1.00000000
PS_Innenstadt';'Ozon';'20220708';32.27941513;32.19571686;27.72556686;28.25376892;16.37846756;8.35316658;20.03011703;27.33011627;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;1.00000000
PS_Innenstadt';'PM10';'20220707';13.19515038;10.44490051;10.66559982;12.32404995;13.36935043;15.93540001;14.35155010;15.36800003;17.68144989;17.95790100;16.61845016;13.78619957;13.00020027;6.84535027;5.82690001;5.74594975;6.44674969;6.81250000;7.06225014;6.60029984;7.40750027;8.51644993;10.52215004;11.76774979;2.00000000
PS_Innenstadt';'PM10';'20220708';17.63409996;16.70280075;18.44664955;18.34495163;17.62514877;20.20989990;17.46934891;10.88479996;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;2.00000000
