unique_beam_number,elongation_european,toughness_mean
6975,23.82999992,85
7800,25.23999977,85.33333333
1510,27.87999916,197.6666667
1157,26.62000084,146.3333333
715,28.73999977,184.3333333
556,26.09000015,150.6666667
7615,26.47999954,143
4042,23.67000008,110.6666667
2073,26.36000061,143.3333333
965,25.47999954,124.3333333
7783,24.61000061,38
2640,24.65999985,173.3333333
813,24.54999924,57.66666667
2069,29.65999985,195.3333333
2178,27.21999931,172.3333333
6259,28.32999992,151.3333333
6264,26.89999962,123
1629,28.19000053,195
1153,26.37999916,172
4060,25.57999992,171
6371,27.28000069,127.6666667
5738,26.28000069,165.6666667
3831,26.62000084,179.3333333
2334,25.20000076,138
1668,25.25,88.33333333
1399,28.82999992,151
1649,28.98999977,188
883,23.43000031,95
6262,27.37000084,159.6666667
5434,24.19000053,101.6666667
6965,24.5,152.3333333
3789,25.54000092,135.3333333
6345,26.79000092,154.3333333
3070,24.79000092,125
6733,23.77000046,185.3333333
6484,26.52000046,163.6666667
4738,24.40999985,110.6666667
6914,26.29999924,212.3333333
1403,26.44000053,166
3038,24.87999916,96.66666667
4267,25.89999962,120.3333333
5529,24.80999947,84.33333333
5736,27.87000084,156.6666667
165,25.46999931,96
4106,25.47999954,128.3333333
131,24.31999969,109.6666667
1490,24.57999992,113.6666667
2033,28.40999985,211.3333333
5967,24.32999992,108.6666667
5603,28.46999931,150.3333333
4,24.23999977,143.3333333
1954,25.12999916,160.3333333
1050,27.20000076,74.66666667
6708,25.78000069,139.6666667
1951,25.22999954,164.3333333
1623,28.47999954,168.6666667
4109,26.53000069,157
6487,27.38999939,169.3333333
158,24.31999969,102.3333333
7389,27.59000015,151
6578,26.88999939,184.6666667
4775,26.20999908,137.3333333
5458,25.96999931,124.3333333
1973,25.54000092,175.3333333
2029,24.53000069,205.3333333
7591,24.79000092,98
1376,26.12999916,152.6666667
763,27.52000046,190.3333333
2462,23.92000008,98
2201,27.64999962,160.3333333
1616,24.64999962,28
6361,23.28000069,90
7332,26.27000046,135.3333333
402,26.19000053,158.3333333
3146,26.34000015,188.3333333
6528,28.77000046,160.3333333
4528,25.60000038,109.6666667
4474,24.37999916,151
7803,24.13999939,96.66666667
6370,24.35000038,114.6666667
2990,25.70999908,117.3333333
6970,24.57999992,150.3333333
1870,26.81999969,181.6666667
5585,25.25,134.6666667
2641,23.63999939,160.3333333
5772,27.94000053,159.6666667
3191,22.63999939,88.66666667
2553,25.53000069,146
7118,25.98999977,139
4876,29.37999916,189.3333333
1049,25.32999992,129
1214,26.63999939,162.3333333
1861,26.86000061,117.3333333
5118,24.48999977,138.6666667
6959,24.18000031,173.6666667
5694,24.86000061,215.3333333
5361,30.34000015,156
6459,26.38999939,147.6666667
2251,24.77000046,145
6466,25.21999931,142.6666667
4777,23.88999939,124.3333333
5896,27.28000069,139
7393,26.94000053,155
5713,26.64999962,141.3333333
6139,28.51000023,85.33333333
7257,26.20000076,162
4767,26.21999931,106.6666667
6558,23.60000038,113
6952,26.20999908,152
1748,26.28000069,176.6666667
6989,24.75,130.6666667
6580,25.56999969,187.6666667
5973,25.56999969,141
3788,26.51000023,186.6666667
822,26.19000053,129.3333333
4050,25.10000038,83.66666667
5031,27.54000092,202.3333333
2246,26.28000069,200
132,25.02000046,122.3333333
3385,25.78000069,120.6666667
6573,24.52000046,134.6666667
2548,24.55999947,113.6666667
2290,30.5,284.3333333
2337,25.87999916,147
2011,28.54999924,188.3333333
3837,25.63999939,153
7122,23.89999962,65
7185,28.20999908,139.3333333
5480,25.85000038,94
2231,28.5,202.6666667
6230,25.52000046,129.3333333
1869,25.28000069,174
5683,26.12999916,149.3333333
7327,29.64999962,173.3333333
6261,27.87000084,162
2663,25.85000038,141.6666667
3872,24.13999939,145.6666667
2574,23.70999908,124
2202,25.32999992,192
5720,26.18000031,136.3333333
2717,26.64999962,176.6666667
3854,28.73999977,199.3333333
4021,27.56999969,161.6666667
3214,25.40999985,120
1845,26.94000053,195.3333333
112,25.43000031,155.6666667
4755,26.67000008,177.3333333
6910,22.01000023,168.6666667
6730,29.51000023,160
727,29.48999977,180
4038,28.04000092,140.3333333
5195,27.15999985,167
1156,26.75,164.6666667
6557,24.54000092,163
5827,28.07999992,159
6953,22.42000008,159
2987,23.10000038,155.6666667
5382,27.21999931,162.6666667
5210,26.20999908,117.3333333
19,25.80999947,89
816,25.23999977,138
7625,24.46999931,104.3333333
5975,26.44000053,127.3333333
6477,24.40999985,114.6666667
5941,25.02000046,158
2260,28.79000092,199.3333333
871,25.82999992,139.6666667
4294,24.95000076,151.6666667
6760,25.37999916,153.6666667
5660,25.12000084,138.3333333
6458,24.53000069,134.3333333
5968,24.20999908,102.6666667
7347,26.87999916,151
4538,24.81999969,129
6971,24.04999924,134.3333333
1489,25.64999962,119.3333333
1053,26.59000015,106.3333333
143,25.15999985,110.6666667
262,29.51000023,178.3333333
3057,24.04000092,126.6666667
4993,27,183
145,24.61000061,123.6666667
568,25.71999931,132.6666667
562,26.14999962,147
7789,26.85000038,186.6666667
5862,23.95999908,147.6666667
7606,26.02000046,131.3333333
5821,25.54000092,148.3333333
3119,23.71999931,163
3977,27.63999939,127.3333333
5686,29.55999947,210
5854,25.80999947,95
2720,27.65999985,198.6666667
5836,26.97999954,166
2692,31.32999992,217.3333333
2687,26.92000008,183.6666667
1456,24.37999916,103.3333333
6574,24.59000015,166
5699,25.34000015,110.3333333
1873,25.34000015,156
4785,23.02000046,100.3333333
6717,25.36000061,143
2508,27.22999954,212
3902,24.71999931,156.3333333
5963,25.22999954,112
4057,26.90999985,120.6666667
5835,28.40999985,172.6666667
1368,28.37999916,117
6963,25.59000015,127
6939,26.07999992,148
7343,29.23999977,143.6666667
7691,26.47999954,156.3333333
891,26.72999954,150.3333333
4540,26.37999916,145.3333333
4065,25.43000031,115.3333333
1946,26.68000031,173
7689,25.84000015,154
2649,25.56999969,167.3333333
2237,28.59000015,197.6666667
3835,26.10000038,184.3333333
2999,23.87999916,143
4376,26.59000015,154
5857,25.32999992,58.66666667
6584,23.80999947,140
7386,27.76000023,152.3333333
4061,25.22999954,89.66666667
1371,27.90999985,164.3333333
2249,24.96999931,199.6666667
5035,29.19000053,165
4067,24.86000061,91.33333333
2238,27.47999954,190.6666667
4534,27.10000038,154
5433,19.95999908,163.3333333
5822,26.01000023,154
2727,25.89999962,140.3333333
2944,27.09000015,171.3333333
765,25.79999924,117.6666667
7596,24.37999916,127.3333333
4062,24.04999924,76.66666667
2078,27.34000015,158.3333333
6990,26.14999962,179.6666667
6254,26.72999954,147
6258,28.85000038,161
494,26.79999924,158.6666667
5930,26.77000046,132.6666667
6732,26.06999969,132.6666667
5684,26.04000092,155.3333333
6362,25.86000061,140
7310,25.62999916,155.3333333
980,25.89999962,161.3333333
5774,28.42000008,146.6666667
1057,26.72999954,100.3333333
4108,24.46999931,127.3333333
3821,25.17000008,180.3333333
2252,26.96999931,242
1374,27.45999908,156.3333333
2918,27.59000015,155.6666667
1046,24.70000076,107.3333333
3646,28.37999916,170.6666667
408,25.95999908,65.33333333
1866,25.35000038,185
2263,24.62999916,148.3333333
7261,24.48999977,125.3333333
7110,21.89999962,88.33333333
6817,27.61000061,155
5858,24.56999969,102
2067,27.27000046,199
3879,24.42000008,88
2635,24.48999977,152.3333333
6570,25.56999969,98.66666667
5528,22.70999908,120
7744,25.62999916,43.66666667
6822,26.71999931,78
1625,30.17000008,209.3333333
5776,27.21999931,154.3333333
6986,25.90999985,90.33333333
6472,24.62999916,131.6666667
1875,27.42000008,174.3333333
5718,24.79000092,63.66666667
3647,26.81999969,180.3333333
2984,25.54999924,142.3333333
5485,24.18000031,141.6666667
5859,23.73999977,128.3333333
6341,27.56999969,155
7124,25.34000015,129.6666667
7772,24.19000053,94.66666667
2472,27.25,178.6666667
3053,27.55999947,193.6666667
6523,27.87999916,148.6666667
6,24.46999931,111
1048,24.13999939,95
2902,25.14999962,166.3333333
5217,24.48999977,163.3333333
3310,24.63999939,162
6455,25.95999908,110
6260,28.54000092,140.6666667
6217,25.72999954,118.6666667
6479,25.56999969,163.6666667
5029,27.27000046,168.3333333
890,24.23999977,130.6666667
3003,25.62999916,99.66666667
7777,24.13999939,52.33333333
2623,28.94000053,182.3333333
3870,23.98999977,53.33333333
2690,31.43000031,213.6666667
3680,29.37000084,153.3333333
1503,23.34000015,103
5041,26.70999908,131.6666667
4729,25.79000092,153.3333333
2621,27.76000023,159
6858,25.92000008,176.6666667
7344,26.27000046,155.3333333
2235,29.02000046,188.3333333
6219,25.86000061,146
7121,23.90999985,111.6666667
4037,26.60000038,153
2469,25.13999939,118.6666667
7801,25.26000023,76
6488,25.71999931,90.66666667
7751,25.27000046,162
2240,27.10000038,176.6666667
1365,25.96999931,166.3333333
998,25.80999947,205.3333333
764,26.82999992,153.3333333
5449,24.78000069,134.6666667
6576,25.73999977,162.3333333
5689,23.88999939,138.3333333
3940,29.87999916,168
6979,24.02000046,146
6728,28.48999977,172.3333333
963,24.19000053,107.3333333
3202,26.12999916,132.6666667
4780,24.27000046,98.66666667
1871,26.22999954,165.6666667
6564,24.79999924,165.6666667
5490,24.82999992,111.6666667
4735,24.87000084,122.6666667
3881,24.87999916,96.66666667
4292,26.13999939,154
6490,25.14999962,102
6950,25.54000092,129
6270,27.38999939,242
2079,25.46999931,159.3333333
3384,29.02000046,180
2753,27,125.3333333
4063,25.38999939,103
1370,26.27000046,98.33333333
3791,26.11000061,159.6666667
4573,25.45999908,129.3333333
