unique_beam_number,c,v,mn,cu,pyro_bp2_temp_max,blooming_duration,flitzer_duration,tandem_duration,blooming_total_passes,furnace_to_blooming_time,blooming_to_flitzer_time,qst_coefficient_set_number,qst_entry_temp_estimate,qst_water_temp_entry,qst_duration,qst_flow_rate_total
6975,0.0637,0.0328,0.8743,0.3234,1169,151,48,476,10,38,40,38,855,25.2,61,1433
7800,0.0575,0.0323,0.9038,0.3012,1167,104,46,439,6,38,38,38.1,895,17.1,66,1427
1510,0.0747,0.0381,0.8921,0.2482,1148,206,51,393,12,33,34,86.1,878,24.9,54,810
1157,0.0618,0.0281,0.8587,0.2902,1160,147,164,310,8,36,40,22,860,24.6,77,696
715,0.0602,0.0073,0.7209,0.2685,1174,108,60,322,8,38,36,30,889,25.2,44,897
556,0.0592,0.0291,0.8485,0.3778,1168,113,197,342,8,34,36,15,860,24.3,55,602
7615,0.0608,0.0181,0.8527,0.2324,1184,104,47,449,8,42,38,17,864,21.3,51,1421
4042,0.0684,0.0321,0.8695,0.2822,1164,170,82,388,8,37,39,38.1,888,26.1,68,1440
2073,0.061,0.0299,0.8917,0.259,1170,165,50,289,8,35,35,78,878,25.8,89,619
965,0.0747,0.0317,0.9074,0.2107,1177,123,51,397,8,34,37,38.1,897,23.7,58,1421
7783,0.0724,0.0303,0.7991,0.3153,1177,116,49,380,8,38,41,38.1,885,22.7,48,1628
2640,0.0598,0.032,0.8889,0.3086,1148,138,50,366,6,35,60,39.1,872,31.2,57,1580
813,0.0671,0.0316,0.8516,0.3389,1174,102,50,294,8,34,37,91,882,19.2,66,619
2069,0.0626,0.0064,0.7418,0.2742,1158,157,49,299,8,32,34,36,853,28.1,64,608
2178,0.066,0.0313,0.8826,0.3014,1185,100,48,297,8,38,36,29,856,25,59,605
6259,0.0846,0.0178,1.0675,0.3187,1190,102,74,310,8,37,39,91,862,25.6,53,619
6264,0.0593,0.0184,0.8544,0.3376,1130,165,45,280,8,53,38,71.1,860,25.4,103,619
1629,0.0835,0.0187,1.0693,0.2861,1170,125,49,479,10,38,36,23,810,26.7,44,706
1153,0.0567,0.03,0.8656,0.2568,1157,147,150,288,8,33,37,22,865,23.6,70,696
4060,0.0658,0.0317,0.8913,0.2313,1177,118,49,447,8,37,38,17,884,26.2,62,1421
6371,0.0727,0.0323,0.8885,0.3056,1166,157,51,464,8,37,41,39.1,864,28.7,64,1651
5738,0.0701,0.0333,0.8612,0.2535,1176,122,46,328,8,37,38,85.1,871,30,60,690
3831,0.0604,0.0075,0.8404,0.2735,1138,190,58,383,12,35,38,31.1,914,28.4,69,1558
2334,0.0686,0.0309,0.8573,0.2923,1176,117,50,457,8,36,38,38.1,870,27.9,58,1449
1668,0.0765,0.0217,0.8033,0.256,1171,131,50,386,8,38,38,31.1,890,28.7,58,1582
1399,0.0752,0.0282,0.918,0.2737,1185,152,49,322,8,36,37,29,851,26.9,46,602
1649,0.0784,0.0192,1.0521,0.2434,1181,151,91,454,10,38,37,38,843,25.5,42,1243
883,0.0658,0.0317,0.8782,0.3975,1139,267,50,271,12,37,36,39.1,911,24.2,62,1503
6262,0.0572,0.0307,0.8749,0.3622,1176,90,83,285,8,34,41,78,862,25.8,54,619
5434,0.0624,0.0305,0.877,0.3056,1168,162,46,421,8,33,38,31.1,881,28.9,45,2121
6965,0.0909,0.0305,1.0471,0.2985,1148,193,152,503,8,36,43,87,847,27.6,45,1628
3789,0.0704,0.0325,0.8985,0.3195,1172,106,48,344,8,36,39,85,888,35.8,70,696
6345,0.0629,0.0069,0.7284,0.4741,1139,109,46,316,8,36,40,22,826,26.5,60,504
3070,0.0568,0.0304,0.8379,0.3138,1142,159,49,455,10,35,40,24,846,30.4,66,1243
6733,0.0766,0.0306,0.898,0.3622,1176,105,64,509,8,35,39,64,775,22.3,74,619
6484,0.061,0.0076,0.8267,0.3157,1146,135,154,345,12,55,44,24,883,26.1,48,1611
4738,0.0658,0.0304,0.8914,0.2986,1167,246,50,410,12,37,39,38.1,899,31.8,58,1589
6914,0.0828,0.0204,1.0962,0.2819,1176,147,102,423,12,31,37,88.1,895,23.6,59,1582
1403,0.0759,0.0302,0.8888,0.2479,1175,201,135,261,8,36,36,29,855,27.3,51,602
3038,0.064,0.0319,0.8269,0.295,1170,173,73,395,12,33,37,31.1,893,27,65,1503
4267,0.0532,0.0341,0.8379,0.3437,1167,128,50,383,8,35,38,29,861,27,69,690
5529,0.0593,0.033,0.9059,0.2555,1148,144,48,365,12,36,38,38.1,920,28.9,56,1547
5736,0.0676,0.0319,0.8831,0.3201,1193,117,46,362,8,35,38,85.1,866,30.2,65,690
165,0.0656,0.0317,0.8508,0.2486,1168,116,51,404,8,35,36,31,858,22.5,53,1421
4106,0.0654,0.0316,0.8748,0.3336,1148,96,50,453,6,33,37,38,876,25.2,54,1446
131,0.068,0.0308,0.8919,0.3004,1147,177,49,421,10,37,38,38,881,24.4,53,1598
1490,0.0658,0.0305,0.8479,0.3029,1151,201,70,375,12,34,39,38.1,896,21.7,59,1589
2033,0.0662,0.0064,0.7094,0.2702,1144,173,82,286,8,36,38,36,868,31.3,61,699
5967,0.0881,0.0306,0.8235,0.3164,1173,130,48,446,10,35,41,87.1,874,25,52,1433
5603,0.0707,0.0338,1.0887,0.1283,1144,159,47,389,12,34,38,86,869,35,65,794
4,0.0592,0.03,0.8972,0.2472,1140,147,114,457,12,35,36,38,863,26.7,60,1547
1954,0.06,0.0313,0.8661,0.2523,1180,166,196,272,8,47,78,15,835,34.2,104,695
1050,0.065,0.0274,0.8828,0.2408,1152,149,50,401,10,40,40,38.1,899,23.5,62,1433
6708,0.0703,0.0309,0.898,0.2573,1158,87,48,435,6,38,38,39.1,883,22.5,131,1580
1951,0.064,0.0302,0.8983,0.2807,1177,189,49,283,8,38,38,15,865,34,86,695
1623,0.0691,0.0061,0.7297,0.2842,1180,147,49,716,10,37,40,23,735,26.7,57,706
4109,0.0615,0.0297,0.8452,0.2874,1162,112,61,451,6,34,37,31,866,26.1,61,1446
6487,0.0594,0.0303,0.9008,0.2239,1153,189,150,409,12,37,45,31,867,26.3,64,1622
158,0.0595,0.0301,0.8053,0.2089,1169,154,51,400,8,36,37,31.1,867,23,71,1421
7389,0.0606,0.0315,0.8522,0.2821,1181,94,94,294,8,35,41,78,848,18,67,619
6578,0.0589,0.0315,0.9074,0.2448,1138,151,113,461,10,37,43,17,825,27.5,73,1243
4775,0.069,0.04,0.9697,0.3047,1148,239,51,435,8,38,41,87.1,895,30.8,37,1628
5458,0.0765,0.0374,1.0994,0.2121,1202,134,47,509,8,36,38,88.1,885,29.6,43,2036
1973,0.063,0.034,0.8846,0.3573,1178,98,49,324,8,35,38,85,870,28.2,59,690
2029,0.0608,0.0073,0.7078,0.3662,1147,171,50,288,8,36,36,85,868,31.2,58,699
7591,0.0652,0.0308,0.8591,0.3273,1140,170,77,367,12,39,42,87.1,905,23.8,58,1549
1376,0.0685,0.0311,0.8938,0.2553,1169,160,49,294,8,40,37,29,835,24.5,58,627
763,0.0772,0.0179,1.1163,0.2487,1173,169,50,284,8,39,37,15,875,24.8,40,627
2462,0.0522,0.0344,0.8855,0.2493,1178,122,50,415,10,37,66,31.1,888,25.3,68,1433
2201,0.066,0.0333,0.878,0.2963,1175,119,48,310,8,37,35,22,869,25.7,46,602
1616,0.0636,0.0312,0.8523,0.2598,1179,120,51,432,8,34,37,38.1,862,27.1,48,1449
6361,0.077,0.0308,0.8958,0.3721,1179,149,47,433,8,38,41,87.1,881,24.9,58,1440
7332,0.0609,0.0309,0.8761,0.3654,1134,152,45,309,8,36,37,29,829,19.5,58,511
402,0.065,0.0281,0.8542,0.3392,1173,107,208,279,8,36,37,29,836,24.5,54,700
3146,0.0626,0.0311,0.8882,0.34,1172,122,49,472,10,35,48,9,808,29.3,119,730
6528,0.0883,0.0189,1.0863,0.2429,1159,107,46,526,8,38,40,38,820,27.1,37,1437
4528,0.0715,0.0294,0.9019,0.3274,1178,104,50,336,8,36,36,29,847,32.2,61,595
4474,0.0618,0.0186,0.8286,0.2863,1172,172,51,627,12,36,35,24.1,891,27.2,98,1894
7803,0.0603,0.0307,0.8924,0.3293,1158,98,61,376,6,38,42,38.1,913,18.8,68,1614
6370,0.0609,0.0337,0.8861,0.2928,1166,164,48,437,8,39,42,39.1,870,28.9,61,1651
2990,0.0669,0.0307,0.8908,0.2955,1185,114,64,411,8,38,40,38,893,31.5,39,1628
6970,0.0628,0.0307,0.9038,0.3295,1159,149,47,432,10,37,40,31,855,25.6,68,1433
1870,0.0591,0.0332,0.8282,0.3173,1161,116,126,400,8,39,37,15,809,29.5,95,824
5585,0.0673,0.034,0.9241,0.2616,1147,198,48,388,12,35,42,87.1,905,30.3,49,1589
2641,0.0765,0.0217,0.8033,0.256,1159,124,51,354,6,36,37,32.1,885,31.2,71,1580
5772,0.061,0.034,0.8819,0.3721,1165,155,47,313,8,45,37,91,854,27.3,66,619
3191,0.0679,0.0314,0.8752,0.3266,1163,160,59,424,8,35,38,39,891,28.1,59,1651
2553,0.0662,0.0355,0.8575,0.2664,1160,177,78,413,12,34,38,38.1,901,29.8,60,1589
7118,0.0597,0.0329,0.8933,0.3281,1117,181,47,441,10,38,41,31,870,24.4,66,1598
4876,0.0826,0.0223,1.1061,0.2739,1109,234,69,428,10,34,43,87.1,892,29.9,46,1598
1049,0.0658,0.0317,0.8782,0.3975,1145,153,50,411,10,40,39,87,887,23.4,56,1433
1214,0.0565,0.0282,0.8951,0.3097,1175,100,69,347,8,36,37,15,831,25.1,61,596
1861,0.064,0.0316,0.9051,0.327,1142,225,74,329,8,38,35,37.1,873,29,73,874
5118,0.0647,0.0302,0.8709,0.3132,1170,94,50,298,8,34,38,78.1,889,27.8,84,619
6959,0.0629,0.0323,0.8743,0.3343,1166,127,49,432,8,37,42,32.1,886,26.5,81,1628
5694,0.0662,0.0071,0.845,0.2795,1183,87,47,406,6,33,38,30.1,901,30.6,95,815
5361,0.0822,0.0188,1.0916,0.2656,1167,160,46,375,12,39,39,86.1,869,30.3,41,815
6459,0.0645,0.0306,0.873,0.2515,1146,175,47,373,12,33,41,31.1,889,27.3,67,1558
2251,0.064,0.0314,0.8898,0.2883,1103,267,124,357,12,37,38,38.1,891,27.2,54,1559
6466,0.0703,0.0309,0.898,0.2573,1155,212,102,396,12,33,40,39.1,880,27.1,64,1580
4777,0.0741,0.0309,0.8679,0.3239,1166,154,86,408,10,39,36,38,879,30.3,65,1414
5896,0.0815,0.0318,1.0472,0.2651,1144,149,49,405,12,37,38,86.1,849,30.2,41,798
7393,0.0665,0.0313,0.8426,0.2729,1182,97,45,317,8,36,40,91,864,19.6,67,619
5713,0.0608,0.0319,0.8236,0.3761,1167,125,47,471,8,35,40,37,859,29.7,52,874
6139,0.0625,0.0078,0.6938,0.3199,1157,176,48,369,8,39,38,16,891,30.1,81,904
7257,0.0713,0.0318,0.8942,0.3918,1137,155,62,286,8,35,38,85,839,22.4,41,602
4767,0.0628,0.0315,0.866,0.3055,1175,136,152,457,8,38,40,38.1,892,31.3,56,1628
6558,0.062,0.0333,0.9058,0.2983,1197,137,48,441,10,39,43,38.1,882,25,62,1433
6952,0.0628,0.0307,0.9038,0.3295,1150,201,47,422,8,37,45,38,891,26.4,72,1605
1748,0.0611,0.0175,0.8271,0.1973,1180,221,50,574,8,37,36,10,820,31.8,117,1541
6989,0.0658,0.0299,0.8969,0.3305,1160,184,73,455,10,36,42,31,838,27.4,69,1243
6580,0.0642,0.0326,0.8935,0.2839,1153,225,100,447,10,36,41,24,831,27,106,1243
5973,0.0657,0.0318,0.9083,0.2345,1172,124,49,450,10,35,40,38,873,24.9,47,1433
3788,0.0687,0.0358,0.9239,0.3169,1134,189,158,292,8,38,39,36,863,35.5,63,696
822,0.0685,0.0283,0.845,0.3015,1165,102,113,340,8,32,37,78,856,22.3,72,619
4050,0.0736,0.034,0.8949,0.2997,1185,144,50,467,8,34,37,39.1,884,25.7,47,1650
5031,0.0793,0.0183,1.0731,0.2843,1177,97,51,526,6,38,37,87,874,31.4,43,1427
2246,0.0597,0.0062,0.7451,0.28,1163,142,69,335,12,37,35,36,856,27.3,48,719
132,0.0657,0.0323,0.8849,0.2276,1147,183,97,402,10,36,37,31,866,24.8,40,1598
3385,0.0756,0.0314,0.8896,0.3292,1160,104,106,308,8,33,36,29,846,27.3,47,597
6573,0.0642,0.0326,0.8935,0.2839,1119,252,48,361,10,37,42,32.1,868,26.5,77,1624
2548,0.0622,0.0301,0.8744,0.2652,1159,196,51,414,12,34,40,31.1,907,29.1,68,1589
2290,0.0782,0.0189,1.0822,0.2259,1197,114,107,351,8,34,38,36,849,25.2,42,596
2337,0.0612,0.0314,0.8651,0.2806,1177,125,64,439,8,36,39,38,862,28.1,57,1449
2011,0.0643,0.0066,0.7388,0.2964,1147,117,49,303,8,34,35,37.1,884,31.8,64,897
3837,0.0658,0.0316,0.8898,0.3363,1155,177,58,380,12,35,37,37.1,893,28.7,85,793
7122,0.0637,0.0328,0.8743,0.3234,1112,183,74,430,10,39,40,38,879,25.5,71,1621
7185,0.0776,0.0368,1.1105,0.1631,1171,163,49,542,12,41,37,88,892,20.5,48,2231
5480,0.0702,0.0321,0.9215,0.2132,1146,218,80,364,10,37,40,38.1,894,31.6,65,1432
2231,0.0637,0.0058,0.7603,0.2917,1153,159,119,375,12,35,37,86,871,25,53,811
6230,0.0658,0.03,0.8627,0.3034,1153,108,58,387,8,34,42,37,881,26.9,57,874
1869,0.0591,0.0332,0.8282,0.3173,1170,106,101,371,8,39,35,30,847,29.5,59,874
5683,0.0747,0.0329,0.9124,0.3459,1171,145,67,356,8,34,40,86.2,921,27.7,59,790
7327,0.0593,0.0301,0.8756,0.3441,1155,124,46,290,8,38,38,36,819,26.2,53,503
6261,0.072,0.0308,0.8784,0.3682,1185,96,46,317,8,36,39,91,862,25.8,57,619
2663,0.068,0.0319,0.9074,0.2532,1188,119,113,481,8,35,38,16,819,28.2,95,691
3872,0.0659,0.0293,0.8656,0.3119,1159,180,114,395,12,35,40,38.1,900,27.9,63,1589
2574,0.0636,0.0312,0.8523,0.2598,1140,246,52,367,12,34,37,32.1,912,28.9,87,1503
2202,0.061,0.0299,0.8917,0.259,1165,109,49,324,8,36,36,29,866,25.6,57,602
5720,0.0568,0.0321,0.8492,0.3507,1148,119,46,347,8,35,38,37.1,882,31.2,93,774
2717,0.0626,0.0336,0.9064,0.3151,1177,140,87,329,8,34,38,36,871,28.7,62,690
3854,0.0608,0.0062,0.7288,0.2915,1141,244,70,415,12,35,40,37,871,28.5,83,794
4021,0.0814,0.0198,1.1145,0.3455,1193,94,50,367,8,35,37,71,881,27.1,67,619
3214,0.0765,0.0217,0.8033,0.256,1155,115,50,422,10,31,36,58,818,26.1,53,724
1845,0.0652,0.0318,0.8754,0.2871,1181,183,73,306,8,36,36,22,847,27.2,65,597
112,0.061,0.0306,0.8887,0.2383,1119,189,51,387,10,36,40,31.1,850,25.4,68,1433
4755,0.0653,0.0322,0.8684,0.2557,1181,219,149,540,12,35,38,23,846,31,88,794
6910,0.0703,0.0309,0.898,0.2573,1163,157,48,438,12,36,38,37,881,23.6,64,789
6730,0.0685,0.0323,0.9013,0.3228,1167,107,129,316,8,40,38,78,838,21.5,69,619
727,0.0636,0.0071,0.7326,0.4022,1162,127,97,265,8,36,36,85.1,904,22.9,57,699
4038,0.0759,0.0179,1.0879,0.2814,1180,113,81,381,8,38,37,87.1,896,26.3,51,1440
5195,0.0702,0.0203,0.8462,0.4367,1163,113,50,405,8,38,37,29,813,26,58,509
1156,0.0567,0.03,0.8656,0.2568,1164,119,100,330,8,34,39,29,869,24.4,72,696
6557,0.077,0.0308,0.8958,0.3721,1174,136,102,643,10,39,41,87.1,840,24.5,62,1243
5827,0.0638,0.0316,0.8905,0.2887,1174,102,46,316,8,37,36,29,833,24.8,55,602
6953,0.0637,0.0328,0.8743,0.3234,1158,205,47,423,8,37,42,38.1,894,25.9,63,1605
2987,0.0595,0.0325,0.884,0.2828,1163,115,49,418,8,39,38,39.1,886,30.5,60,1628
5382,0.0627,0.0306,0.8587,0.3151,1161,125,51,352,8,40,40,22,874,27.9,72,696
5210,0.0656,0.0312,0.8635,0.2766,1168,119,46,429,8,34,39,23,855,23.5,83,761
19,0.0639,0.0329,0.8711,0.2586,1168,138,68,374,12,36,37,30.1,871,25.8,90,789
816,0.0748,0.0293,0.8852,0.3263,1174,104,50,290,8,34,36,78,889,20.2,74,619
7625,0.0615,0.0331,0.8703,0.2924,1163,113,112,426,8,41,39,38.1,869,23.9,68,1421
5975,0.0617,0.0179,0.8278,0.148,1183,111,49,496,10,33,40,31,847,25.2,49,1243
6477,0.0727,0.0323,0.8727,0.284,1153,202,58,349,12,36,40,37.1,875,25.7,67,794
5941,0.0649,0.0299,0.8598,0.3462,1165,94,46,369,8,35,39,38,889,24.4,28,1628
2260,0.0695,0.0062,0.7326,0.3126,1167,163,50,369,12,39,38,86.1,904,26.7,50,794
871,0.068,0.0308,0.8919,0.3004,1158,225,200,383,12,36,36,38,878,22,54,1589
4294,0.0646,0.0325,0.8693,0.3249,1152,225,111,300,8,56,38,36,875,28.1,65,700
6760,0.0602,0.0315,0.8412,0.3296,1171,145,83,297,8,35,42,85,884,19.6,55,696
5660,0.0685,0.0299,0.8895,0.333,1185,81,47,404,6,39,38,87.1,899,28.8,40,1578
6458,0.0645,0.0333,0.889,0.2282,1144,179,124,367,12,30,41,31.1,888,27.2,67,1558
5968,0.0881,0.0306,0.8235,0.3164,1163,143,49,434,10,35,40,87,871,25.1,49,1433
7347,0.0694,0.0318,0.8677,0.3663,1153,110,46,336,8,36,40,85,855,24.1,39,634
4538,0.0715,0.0294,0.9019,0.3274,1192,94,50,369,8,35,37,79.1,887,31.2,68,686
6971,0.0628,0.0307,0.9038,0.3295,1174,148,47,426,10,37,41,31,862,25.2,66,1433
1489,0.065,0.0274,0.8828,0.2408,1147,203,79,392,12,34,40,38,890,21,55,1589
1053,0.0653,0.0329,0.8685,0.2742,1128,202,52,350,10,39,40,38.1,916,24.2,61,1624
143,0.068,0.0308,0.8919,0.3004,1148,160,107,396,10,37,39,38.1,886,27.1,54,1621
262,0.0518,0.0309,0.8593,0.3649,1198,107,139,298,8,33,37,15,808,22.1,64,502
3057,0.0719,0.0315,0.8759,0.315,1167,138,63,394,12,32,38,37,877,27.9,77,750
4993,0.0632,0.0172,0.8475,0.2779,1125,240,147,564,12,38,38,24.1,887,34.7,109,1894
145,0.0646,0.0307,0.8322,0.2215,1139,165,83,392,10,37,39,31.1,881,27.4,62,1621
