Key,Value,Comment,OntoBuiltEnv
amenity,clinic,A medium-sized medical facility or health centre.,Clinic
amenity,dentist,A dentist practice / surgery.,Clinic
amenity,doctors,A doctor's practice / surgery.,Clinic
amenity,library,"A public library (municipal, university,  ) to borrow books from.",CulturalFacility
amenity,toy_library,"A place to borrow games and toys, or play with them on site.",CulturalFacility
amenity,arts_centre,A venue where a variety of arts are performed or conducted,CulturalFacility
amenity,community_centre,"A place mostly used for local events, festivities and group activities; including special interest and special age groups. .",CulturalFacility
amenity,conference_centre,A large building that is used to hold a convention,CulturalFacility
amenity,events_venue,A building specifically used for organising events,CulturalFacility
amenity,exhibition_centre,An exhibition centre,CulturalFacility
amenity,music_venue,An indoor place to hear contemporary live music.,CulturalFacility
amenity,planetarium,A planetarium.,CulturalFacility
amenity,social_centre,A place for free and not-for-profit activities.,CulturalFacility
amenity,theatre,"A theatre or opera house where live performances occur, such as plays, musicals and formal concerts. Use amenity=cinema for movie theaters.",CulturalFacility
amenity,courthouse,"A building home to a court of law, where justice is dispensed",CulturalFacility
amenity,funeral_hall,"A place for holding a funeral ceremony, other than a place of worship.",CulturalFacility
amenity,public_bath,"A location where the public may bathe in common, etc. japanese onsen, turkish bath, hot spring",CulturalFacility
building,museum,A building which was designed as a museum.,CulturalFacility
building,conservatory,A building or room having glass or tarpaulin roofing and walls used as an indoor garden or a sunroom (winter garden).,CulturalFacility
leisure,bandstand,A bandstand is an open structure where musical bands can perform concerts,CulturalFacility
leisure,bird_hide,"A place that is used to observe wildlife, especially birds.",CulturalFacility
leisure,dance,A dance venue or dance hall.,CulturalFacility
leisure,hackerspace,"A place where people with common interests (science, technology, ...) meet.",CulturalFacility
tourism,aquarium,A facility with living aquatic animals for public viewing.,CulturalFacility
tourism,gallery,An area or building that displays a variety of visual art exhibitions.,CulturalFacility
tourism,museum,"A museum: an institution with exhibitions on scientific, historical, cultural topics",CulturalFacility
tourism,theme_park,"An amusement park where entertainment is provided by rides, games, concessions.",CulturalFacility
tourism,zoo,"A zoological garden, where animals are confined for viewing by the public.",CulturalFacility
building,residential,"A general tag for a building used primarily for residential purposes. Where additional detail is available consider using 'apartments', 'terrace', 'house', 'detached' or 'semidetached_house'.",Domestic
amenity,nightclub,"A place to drink and dance (nightclub). The German word is ""Disco"" or ""Discothek"". Please don't confuse this with the German ""Nachtclub"" which is most likely amenity=stripclub.",DrinkingEstablishment
amenity,bar,"Bar is a purpose-built commercial establishment that sells alcoholic drinks to be consumed on the premises. They are characterised by a noisy and vibrant atmosphere, similar to a party and usually don't sell food. See also the description of the tags amenity=pub;bar;restaurant for a distinction between these.",DrinkingEstablishment
amenity,biergarten,"Biergarten or beer garden is an open-air area where alcoholic beverages along with food is prepared and served. See also the description of the tags amenity=pub;bar;restaurant. A biergarten can commonly be found attached to a beer hall, pub, bar, or restaurant. In this case, you can use biergarten=yes additional to amenity=pub;bar;restaurant.",DrinkingEstablishment
amenity,cafe,"Cafe is generally an informal place that offers casual meals and beverages; typically, the focus is on coffee or tea. Also known as a coffeehouse/shop, bistro or sidewalk cafe. The kind of food served may be mapped with the tags cuisine=* and diet:*=*. See also the tags amenity=restaurant;bar;fast_food.",DrinkingEstablishment
amenity,pub,A place selling beer and other alcoholic drinks; may also provide food or accommodation (UK). See description of amenity=bar and amenity=pub for distinction between bar and pub,DrinkingEstablishment
amenity,fast_food,Fast food restaurant (see also amenity=restaurant). The kind of food served can be tagged with cuisine=* and diet:*=*.,EatingEstablishment
amenity,food_court,"An area with several different restaurant food counters and a shared eating area. Commonly found in malls, airports, etc.",EatingEstablishment
amenity,ice_cream,Ice cream shop or ice cream parlour. A place that sells ice cream and frozen yoghurt over the counter,EatingEstablishment
amenity,restaurant,"Restaurant (not fast food, see amenity=fast_food). The kind of food served can be tagged with cuisine=* and diet:*=*.",EatingEstablishment
amenity,fire_station,A station of a fire brigade,FireStation
building,fire_station,"A building constructed as fire station, i.e. to house fire fighting equipment and officers, regardless of current use. Add amenity=fire_station on the grounds for an active fire station.",FireStation
amenity,hospital,A hospital providing in-patient medical treatment. Often used in conjunction with emergency=* to note whether the medical centre has emergency facilities (A&E (brit.) or ER (am.)),Hospital
building,hospital,A building errected for a hospital. Use amenity=hospital for the hospital grounds.,Hospital
amenity,brothel,An establishment specifically dedicated to prostitution,Hotel
amenity,love_hotel,A love hotel is a type of short-stay hotel operated primarily for the purpose of allowing guests privacy for sexual activities.,Hotel
