BMRS	Business Type	Registered Resource EIC code	BM Unit ID	NGC BM Unit ID	Registered Resource Name	PSR Type	Effective From (Date)	Capacity MW	*	Type (powerplant(station) or generator(unit))	Connected (if generator(unit))	Output1	Output2	Output3	Output4	Output5	Output6	Output7	Output8	Output9	Output10	Output11	Output12	Output13	Output14	Output15	Output16	Output17	Output18	Output19	Output20	Output21	Output22	Output23	Output24	Output25	Output26	Output27	Output28	Output29	Output30	Output31	Output32	Output33	Output34	Output35	Output36	Output37	Output38	Output39	Output40	Output41	Output42	Output43	Output44	Output45	Output46	Output47	Output48	**	outputBMRSUnitToDUKESStation	tMatchType	***	EICStation	ESO W Type Codes - Stations	Display Name - Stations	Used by X BMUs - Stations	Automatic ID - Stations	15 characters	Energy Identification Code - Stations	Function - Stations	EIC Name - Asset Name - Stations	****	EICUnit	ESO W Type Codes - BMUs	Display Name - Units	STATION	Automatic ID - Units	Energy Identification Code - Units	Function - Units	EIC Name - Asset Name - Units	*****	DUKES	Company Name	Station Name	Fuel	Type	Installed Capacity (MW)	Year of commission or year generation began	"Location:
Scotland, Wales, Northern Ireland or English region"	******	outputDUKESToBMRSEIC	outputDUKESToBMRSID	******.1	CapacityDiff	MatchType	MatchYear	MatchGenType	ConfidenceScore	ConfidenceResult	Year	Month	Day	Period	Output
BMRS	Production unit	48WSTN00000LOAND			LOAN	Generation	29/03/2005 0:00	2400	*	None	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	**	None	-7	***	EICStation	ESO W Type Codes - Stations	ABTHB	3	48WSTN0000ABTHB	15	48WSTN0000ABTHBN	Production Unit	Aberthaw-1	****	EICUnit	ESO W Type Codes - BMUs	ABTH7	ABTHB	48W0000000ABTH7	48W0000000ABTH7Y	Generation Unit	Aberthaw ABTH7	*****	DUKES	Octopus Investments	Abbots Ripton	Solar	Solar	24.66717	2014	East England	******	None	None	******	999	999	999	999	3996	0	2021	12	9	48	0
BMRS	Production unit	48WSTN00000RATS9		RATS	RATS	Fossil Hard coal	1/10/2015 0:00	2020	*	powerplant	None	848.186	983.106	992.36	994.12	885.554	993.444	976.76	978.47	953.792	870.35	990.672	1049.056	1370.106	1706.562	1938.362	1973.972	1977.078	1976.586	1975.902	1976.792	1976.412	1975.942	1976.336	1976.588	1884.476	1846.298	1805.98	1863.346	1881.686	1926.882	1967.512	1969.906	1971.362	1970.718	1971.742	1968.02	1965.662	1968.954	1962.82	1960.606	1877.356	1670.484	1080.696	656.936	179.12	0	0	0	**	Ratcliffe	-7	***	EICStation	ESO W Type Codes - Stations	ABTHGT	3	48WSTN000ABTHGT	15	48WSTN000ABTHGTK	Production Unit	Aberthaw-2	****	EICUnit	ESO W Type Codes - BMUs	ABTH7G	ABTHGT	48W000000ABTH7G	48W000000ABTH7G2	Generation Unit	Aberthaw ABTH7G	*****	DUKES	Vattenfall	Aberdeen	Wind (offshore)	Wind (offshore)	96.8	2018	Scotland	******	48WSTN0000ABRBON	ABRBO	******	2	-4	-1	-5	-8	1	2021	12	9	48	0
BMRS	Production unit	48WSTN10000DINOQ		DINO	DINO	Hydro Run-of-river and poundage	1/01/2000 0:00	2016	*	powerplant	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.2	84.1	155.9	171.6	563	299.4	236.3	210.7	158.8	104.6	299.2	46.9	294.9	300.1	300.1	300.1	9.6	289.7	566.3	899.9	977	676.6	622.8	17.1	0	0	30.2	0	19	0	19.9	82.3	86.2	0	**	Dinorwig	-3	***	EICStation	ESO W Type Codes - Stations	ANSUW	1	48WSTN0000ANSUW	15	48WSTN0000ANSUWY	Production Unit	An Suidhe Wind Farm	****	EICUnit	ESO W Type Codes - BMUs	ABTH8	ABTHB	48W0000000ABTH8	48W0000000ABTH8W	Generation Unit	Aberthaw ABTH8	*****	DUKES	Anesco	Abergelli	Solar	Solar	7.68222	2015	Wales	******	None	None	******	999	999	999	999	3996	0	2021	12	9	48	0
BMRS	Production unit	48WSTN00000STVEO			STVE	Generation	29/03/2005 0:00	1998	*	None	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	**	Striven	-4	***	EICStation	ESO W Type Codes - Stations	ARCHW	1	48WSTN0000ARCHW	15	48WSTN0000ARCHW6	Production Unit	Arecleoch Wind Farm	****	EICUnit	ESO W Type Codes - BMUs	ABTH8G	ABTHGT	48W000000ABTH8G	48W100000ABTH8GN	Generation Unit	Aberthaw ABTH8G	*****	DUKES	RWE Npower	Aberthaw B	Coal	Conventional Steam	1559	1971	Wales	******	48WSTN0000ABTHBN	ABTHB	******	2	-7	1	-5	-9	1	2021	12	9	48	0
BMRS	Production unit	48WSTN1000COTPSQ		COTPS	COTPS	Fossil Hard coal	1/01/2013 0:00	1994	*	None	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	**	Cottam	-4	***	EICStation	ESO W Type Codes - Stations	BABAW	1	48WSTN1000BABAW	15	48WSTN1000BABAWQ	Production Unit	Baillie Wind Farm	****	EICUnit	ESO W Type Codes - BMUs	ABTH9	ABTHB	48W0000000ABTH9	48W0000000ABTH9U	Generation Unit	Aberthaw ABTH9	*****	DUKES	RWE Npower	Aberthaw GT	Diesel/gas oil	OCGT	51	1971	Wales	******	48WSTN000ABTHGTK	ABTHGT	******	0	-7	1	-5	-11	1	2021	12	9	48	0
BMRS	Production unit	48WSTN00000FIDLP		FIDL	FIDL	Fossil Hard coal	9/02/2016 0:00	1961	*	None	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	**	Fiddlerâ€™s Ferry	-10	***	EICStation	ESO W Type Codes - Stations	BAGE	2	48WSTN00000BAGE	15	48WSTN00000BAGE8	Production Unit	Baglan Bay	****	EICUnit	ESO W Type Codes - BMUs	ABTH9G	ABTHGT	48W000000ABTH9G	48W000000ABTH9GX	Generation Unit	Aberthaw ABTH9G	*****	DUKES	SSE+W9AO1X7:AG9	Achanalt	Hydro	Hydro	3.1	1956	Scotland	******	None	None	******	999	999	999	999	3996	0	2021	12	9	48	0
BMRS	Production unit	48WSTN00000FERRO		FERR	FERR	Fossil Hard coal	9/02/2016 0:00	1960	*	None	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	**	Ferrybridge Multi-fuel	999	***	EICStation	ESO W Type Codes - Stations	BAGTD	1	48WSTN0000BAGTD	15	48WSTN0000BAGTDY	Production Unit	Bathgate	****	EICUnit	ESO W Type Codes - BMUs	AIGA-1	CABEU	48W000000AIGA-1	48W000000AIGA-1X	Generation Unit	Beauly Cascade AIGA-1	*****	DUKES	SSE	Achany Windfarm	Wind (onshore)	Wind (onshore)	38	2010	Scotland	******	None	None	******	999	999	999	999	3996	0	2021	12	9	48	0
BMRS	Production unit	48WSTN0000WBUPSE		WBUPS	WBUPS	Fossil Hard coal	1/01/2013 0:00	1944	*	None	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	**	West Burton	999	***	EICStation	ESO W Type Codes - Stations	BARKB	2	48WSTN0000BARKB	15	48WSTN0000BARKBL	Production Unit	Barking Power	****	EICUnit	ESO W Type Codes - BMUs	AIGA-2	CABEU	48W000000AIGA-2	48W000000AIGA-2V	Generation Unit	Beauly Cascade AIGA-2	*****	DUKES	Temporis Capital	Acharin	Wind (onshore)	Wind (onshore)	6	2009	Scotland	******	None	None	******	999	999	999	999	3996	0	2021	12	9	48	0
BMRS	Production unit	48WSTN00000PEHEU		PEHE	PEHE	Fossil Gas	17/06/2021 0:00	1840	*	None	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	**	Peterhead	999	***	EICStation	ESO W Type Codes - Stations	BLLA	1	48WSTN00000BLLA	15	48WSTN00000BLLAV	Production Unit	Blacklaw	****	EICUnit	ESO W Type Codes - BMUs	ANSUW-1	ANSUW	48W00000ANSUW-1	48W00000ANSUW-1E	Generation Unit	An Suidhe Wind Farm ANSUW-1	*****	DUKES	Venitent Energy Services	A'Chruach	Wind (onshore)	Wind (onshore)	42.6	2016	Scotland	******	48WSTN0000ACHRWV	ACHRW	******	1	-4	1	-5	-7	1	2021	12	9	48	0
BMRS	Production unit	48WSTN00000PEHEU		PEHE	PEHE	Fossil Gas	9/02/2016 0:00	1840	*	None	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	**	Peterhead	-10	***	EICStation	ESO W Type Codes - Stations	BNAKW	1	48WSTN0000BNAKW	15	48WSTN0000BNAKWJ	Production Unit	Ben Aketil	****	EICUnit	ESO W Type Codes - BMUs	ARCHW-1	ARCHW	48W00000ARCHW-1	48W10000ARCHW-1N	Generation Unit	Arecleoch Wind Farm ARCHW-1	*****	DUKES	Lightsource BP	Acrefair	Solar	Solar	4.99698	2015	Wales	******	None	None	******	999	999	999	999	3996	0	2021	12	9	48	0
BMRS	Production unit	48WSTN00000STAYA		STAY	STAY	Fossil Gas	30/03/2015 0:00	1828	*	powerplant	None	0	0	0	0	0	0	0	0	0	0	0	8.9	187.4	751.9	1241	1248.4	1282.9	1287.5	1289.5	1289.4	1290.2	1290	1290.1	1288.2	1286.5	1287.2	1286.7	1285.8	1286	1287.8	1289.3	1290.3	1290.1	1289.9	1289	1288.3	1285.7	1284.5	1283.7	1281.9	1248	1239.6	729.1	417.8	419.1	413.7	239.2	213.1	**	Staythorpe C	-4	***	EICStation	ESO W Type Codes - Stations	BOWLW	1	48WSTN0000BOWLW	15	48WSTN0000BOWLWY	Production Unit	Barrow Offshore Wind Farm	****	EICUnit	ESO W Type Codes - BMUs	BABAW-1	BABAW	48W00000BABAW-1	48W00000BABAW-13	Generation Unit	Baillie Wind Farm BABAW-1	*****	DUKES	SSE	Aigas	Hydro	Hydro	20	1962	Scotland	******	None	None	******	999	999	999	999	3996	0	2021	12	9	48	0
BMRS	Production unit	48WSTN0000ABTHBN			ABTHB	Fossil Hard coal	1/01/2013 0:00	1605	*	None	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	**	Aberthaw B	-4	***	EICStation	ESO W Type Codes - Stations	BOYNW	1	48WSTN0000BOYNW	15	48WSTN0000BOYNWK	Production Unit	Boyndie Wind Farm	****	EICUnit	ESO W Type Codes - BMUs	BAGE-1	BAGE	48W000000BAGE-1	48W000000BAGE-1L	Generation Unit	Baglan Bay BAGE-1	*****	DUKES	Greencoat Capital	Ainderby	Solar	Solar	4.99	2017	Yorkshire and Humber	******	None	None	******	999	999	999	999	3996	0	2021	12	9	48	0
BMRS	Production unit	48WSTN0000ABTHBN		ABTHB	ABTHB	Fossil Hard coal	1/12/2016 0:00	1590	*	None	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	**	Aberthaw B	999	***	EICStation	ESO W Type Codes - Stations	BPGRD	2	48WSTN0000BPGRD	15	48WSTN0000BPGRD2	Production Unit	BP Grangemouth	****	EICUnit	ESO W Type Codes - BMUs	BAGE-2	BAGE	48W000000BAGE-2	48W000000BAGE-2J	Generation Unit	Baglan Bay BAGE-2	*****	DUKES	WPO	Airfield Poddington	Wind (onshore)	Wind (onshore)	8.55	2017	East England	******	None	None	******	999	999	999	999	3996	0	2021	12	9	48	0
