Name,Latitude,Longitude,Height [m]
Scafell Pike,54.45409824,-3.212285238,978
Jesus Green,52.211319,0.122421,5
Castle Hill,52.212003,0.114717,32
Sidney Sussex Street,52.20708,0.119794,10
Train Tracks,52.193068,0.136286,16
A14 J33,52.236754,0.155195,10
Department,52.209182,0.086157,16
House of Commons,51.499898,-0.12466,4
Holme Fen Trail,52.493712,-0.234567,-2
Great Chishill,52.030889,0.074509,139
OS contour crossing road,52.734036,0.421846,5
OS contour,52.732665,0.422955,10
OS spot height,52.727948,0.428929,14
OS spot height,52.724468,0.432882,22
OS spot height,52.721823,0.435978,18
