Name,Latitude,Longitude,Height [m]
Ben Nevis,56.79608788,-5.004711955,1345
Ben Macdui,57.06997125,-3.670714235,1309
Braeriach,57.07816747,-3.72882774,1296
Snowdon,53.06777632,-4.077473743,1085
Carnedd Dafydd,53.14728738,-4.002054873,1044
Glyder Fawr,53.10096605,-4.029778111,1001
Carrauntoohil,51.99924819,-9.743616365,1039
Caher,51.99362044,-9.759413469,1000
Cnoc na Peiste,51.99723344,-9.696943312,988
Scafell Pike,54.45409824,-3.212285238,978
Scafell,54.44677025,-3.225948412,964
Broad Crag,54.45684007,-3.20773858,935
