,RLOIid,riverName,RLOIid_upstream,RLOIid_downstream
0,7041,River Dikler,,
1,6022,River Glen,6035,
2,3072,River Parrett,3075,3397
3,6177,River Great Ouse,6176,6178
4,2032,Smestow Brook,2091,
5,3158,Praze Stream,,
6,5022,River Brock,,5120
7,8276,River Wharfe,8110,8277
8,1152,River Ouse,,1110
9,7080,Letcombe Brook,7004,7079
10,3411,Bradley Brook,,
11,3057,River Brue,3055,3058
12,6063,River Bain,,6060
13,6282,Sea Levels,,
14,5197,Baguley Brook,,
15,5034,River Irk,,
16,6199,River Rhee,6196,6191
17,7174,River Pinn,7173,7005
18,7135,Petty's Brook,,
19,7329,River Lee,,7330
20,3374,River Avon,3325,3375
21,2014,River Perry,,
22,7267,River Thames,7246,7269
23,8277,River Wharfe,8276,8001
24,7045,River Windrush,7044,
25,3288,Litton Cheney Stream,,
26,8167,River Rede,8157,
27,5231,River Roch,5004,5013
28,2114,River Poulter,,
29,3210,River Harbourne,,3217
30,7338,Stevenage Brook,,
31,4019,River Lugg,4006,
32,8078,River Wharfe,8278,
33,8064,River Dearne,8101,8027
34,2188,River Sence,2139,
35,5114,River Bollin,5102,5153
36,3014,River Avon,3013,
37,5225,River Kent,5017,5126
38,3039,River Boyd,3021,
39,3299,River Allen,9007,
40,3404,Dawlish Water,,
41,2150,River Dove,2133,9059
42,6057,River Witham,6067,6044
43,2048,River Alne,2083,
44,8008,River Coquet,,8173
45,6268,Heacham River,,
46,3247,River Culm,9430,
47,8301,Dean Bottom Beck,,
48,6016,River Ancholme,6241,
49,8333,Sea Levels,,
50,8285,Willow Beck,8225,
51,7121,River Shalbourne,,
52,5138,River Eden,5005,5058
53,1055,River Itchen,1059,1048
54,7374,River Lee,7365,7375
55,5042,River Caldew,5039,5173
56,8183,River Seven,,8148
57,8241,River Dove,,
58,5142,River Duddon,,5044
59,6070,River Slea,6069,6064
60,3412,Bristol Frome,3413,
61,8298,River Calder,8191,8073
62,7192,River Colne,9296,7196
63,2165,River Leen,,2163
64,2092,River Severn,2001,2039
65,8005,River East Allen,,
66,2211,River Eau,,
67,5046,River Eamont,5168,5141
68,2007,River Salwarpe,2075,
69,5164,Windermere,,
70,8186,River Nidd,8104,
71,5132,River Wyre,5030,
72,7008,Ching Brook,,7373
73,6216,River Ant,,
74,5019,River Gowy,,
75,3218,River Avon,3220,
76,1106,River Ouse,1110,1107
77,8114,River Rother,8217,9045
78,7210,Wraysbury River,,7209
79,6276,River Great Ouse,6162,6166
80,3047,River Biss,,
81,7228,Caker Stream,,
82,6110,River Nene,6116,6111
83,1129,East Stour,,9140
84,7402,River Ock,7081,
85,3308,Shreen Water,,3372
86,2146,River Maun,2212,2147
87,3355,River Clyst,3249,3250
88,2040,River Teme,2021,
89,6101,River Nene,,6120
90,1029,River Medway,1063,
91,1059,River Itchen,1052,1055
92,3165,River Hayle,3166,3172
93,8287,Cod Beck,8286,8063
94,8331,River Esk,,8232
95,5112,River Tame,5023,
96,3359,East Wilder Brook,,
97,5147,River Douglas,5106,
98,2163,River Leen,2165,
99,8152,Hebden Water,,
100,7019,River Ray,7018,7020
101,7285,Silk Stream,,7286
102,7351,River Stort,7350,7353
103,3004,Somerset Frome,,3382
104,6135,River Glem,,
105,6226,South Forty Foot Drain,6223,6293
106,2219,River Twyver,2181,9027
107,1135,Great Stour,1145,9274
108,8015,River Dearne,8062,8101
109,1144,White Water Dyke,,
