Key,Value,Comment,OntoBuiltEnv
LU_DESC,AGRICULTURE,,Non-Domestic
LU_DESC,BEACH AREA,,SportsFacility
LU_DESC,BUSINESS 1,,Non-Domestic
LU_DESC,BUSINESS 1 - WHITE,,Non-Domestic
LU_DESC,BUSINESS 2,,Non-Domestic
LU_DESC,BUSINESS 2 - WHITE,,Non-Domestic
LU_DESC,BUSINESS PARK,,Non-Domestic
LU_DESC,BUSINESS PARK - WHITE,,Non-Domestic
LU_DESC,CEMETERY,,ReligiousFacility
LU_DESC,CIVIC & COMMUNITY INSTITUTION,,CulturalFacility
LU_DESC,COMMERCIAL,,Non-Domestic
LU_DESC,COMMERCIAL & RESIDENTIAL,,Non-Domestic
LU_DESC,COMMERCIAL / INSTITUTION,,Non-Domestic
LU_DESC,EDUCATIONAL INSTITUTION,,Education
LU_DESC,HEALTH & MEDICAL CARE,,Medical
LU_DESC,HOTEL,,Hotel
LU_DESC,LIGHT RAPID TRANSIT,,TransportFacility
LU_DESC,MASS RAPID TRANSIT,,TransportFacility
LU_DESC,OPEN SPACE,,SportsFacility
LU_DESC,PARK,,SportsFacility
LU_DESC,PLACE OF WORSHIP,,ReligiousFacility
LU_DESC,PORT / AIRPORT,,TransportFacility
LU_DESC,RESERVE SITE,,Non-Domestic
LU_DESC,RESIDENTIAL,,Domestic
LU_DESC,RESIDENTIAL / INSTITUTION,,Domestic
LU_DESC,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,,Domestic
LU_DESC,ROAD,,TransportFacility
LU_DESC,SPECIAL USE,,Non-Domestic
LU_DESC,SPORTS & RECREATION,,SportsFacility
LU_DESC,TRANSPORT FACILITIES,,TransportFacility
LU_DESC,UTILITY,,Non-Domestic
LU_DESC,WATERBODY,,Non-Domestic
LU_DESC,WHITE,,Non-Domestic
