wk
"Polygon ((103.719212 1.256257, 103.68391 1.450628, 103.76406 1.476403, 103.816475 1.29812, 103.719212 1.256257))"
"Polygon ((103.68391 1.450628, 103.719212 1.256257, 103.639156 1.221801, 103.601693 1.372702, 103.614156 1.428195, 103.68391 1.450628))"
"Polygon ((103.743388 1.123141, 103.719212 1.256257, 103.816475 1.29812, 103.856761 1.161093, 103.746208 1.122074, 103.743388 1.123141))"
"Polygon ((103.719212 1.256257, 103.743388 1.123141, 103.655382 1.15644, 103.639156 1.221801, 103.719212 1.256257))"
"Polygon ((103.856761 1.161093, 103.853859 1.170964, 103.845024 1.201015, 103.816475 1.29812, 103.892706 1.330929, 103.945611 1.192452, 103.856761 1.161093))"
"Polygon ((103.816475 1.29812, 103.76406 1.476403, 103.829133 1.497331, 103.892706 1.330929, 103.816475 1.29812))"
"Polygon ((103.892706 1.330929, 103.829133 1.497331, 103.904927 1.521706, 103.969153 1.363832, 103.892706 1.330929))"
"Polygon ((103.945611 1.192452, 103.892706 1.330929, 103.969153 1.363832, 104.027164 1.221235, 103.945611 1.192452))"
"Polygon ((104.027164 1.221235, 103.969153 1.363832, 104.039128 1.393949, 104.094373 1.244956, 104.027164 1.221235))"
"Polygon ((103.969153 1.363832, 103.904927 1.521706, 103.982507 1.546655, 104.039128 1.393949, 103.969153 1.363832))"
"Polygon ((104.0468 1.397251, 104.039128 1.393949, 103.982507 1.546655, 104.040323 1.565249, 104.09626 1.418539, 104.062188 1.403874, 104.0468 1.397251))"
"Polygon ((103.639156 1.221801, 103.565933 1.190286, 103.561135 1.192102, 103.601693 1.372702, 103.639156 1.221801))"
