confidence,ssp_scenario,quantile,projectionreferenceyear,projectionyear,sealevelriseinmeters
medium,ssp119,5,2014,2020,0.018
medium,ssp119,5,2014,2030,0.048
medium,ssp119,5,2014,2040,0.066
medium,ssp119,5,2014,2050,0.095
medium,ssp119,5,2014,2060,0.102
medium,ssp119,5,2014,2070,0.123
medium,ssp119,5,2014,2080,0.135
medium,ssp119,5,2014,2090,0.154
medium,ssp119,5,2014,2100,0.139
medium,ssp119,5,2014,2110,0.164
medium,ssp119,5,2014,2120,0.172
medium,ssp119,5,2014,2130,0.178
medium,ssp119,5,2014,2140,0.182
medium,ssp119,5,2014,2150,0.186
medium,ssp119,17,2014,2020,0.033
medium,ssp119,17,2014,2030,0.068
medium,ssp119,17,2014,2040,0.093
medium,ssp119,17,2014,2050,0.129
medium,ssp119,17,2014,2060,0.146
medium,ssp119,17,2014,2070,0.177
medium,ssp119,17,2014,2080,0.199
medium,ssp119,17,2014,2090,0.227
medium,ssp119,17,2014,2100,0.23
medium,ssp119,17,2014,2110,0.252
medium,ssp119,17,2014,2120,0.27
medium,ssp119,17,2014,2130,0.285
medium,ssp119,17,2014,2140,0.299
medium,ssp119,17,2014,2150,0.312
medium,ssp119,50,2014,2020,0.053
medium,ssp119,50,2014,2030,0.1
medium,ssp119,50,2014,2040,0.137
medium,ssp119,50,2014,2050,0.186
medium,ssp119,50,2014,2060,0.218
medium,ssp119,50,2014,2070,0.268
medium,ssp119,50,2014,2080,0.31
medium,ssp119,50,2014,2090,0.357
medium,ssp119,50,2014,2100,0.384
medium,ssp119,50,2014,2110,0.434
medium,ssp119,50,2014,2120,0.472
medium,ssp119,50,2014,2130,0.51
medium,ssp119,50,2014,2140,0.544
medium,ssp119,50,2014,2150,0.58
medium,ssp119,83,2014,2020,0.077
medium,ssp119,83,2014,2030,0.138
medium,ssp119,83,2014,2040,0.194
medium,ssp119,83,2014,2050,0.263
medium,ssp119,83,2014,2060,0.319
medium,ssp119,83,2014,2070,0.396
medium,ssp119,83,2014,2080,0.461
medium,ssp119,83,2014,2090,0.537
medium,ssp119,83,2014,2100,0.59
medium,ssp119,83,2014,2110,0.67
medium,ssp119,83,2014,2120,0.737
medium,ssp119,83,2014,2130,0.8
medium,ssp119,83,2014,2140,0.863
medium,ssp119,83,2014,2150,0.925
medium,ssp119,95,2014,2020,0.095
medium,ssp119,95,2014,2030,0.17
medium,ssp119,95,2014,2040,0.241
medium,ssp119,95,2014,2050,0.329
medium,ssp119,95,2014,2060,0.405
medium,ssp119,95,2014,2070,0.503
medium,ssp119,95,2014,2080,0.59
medium,ssp119,95,2014,2090,0.685
medium,ssp119,95,2014,2100,0.761
medium,ssp119,95,2014,2110,0.854
medium,ssp119,95,2014,2120,0.944
medium,ssp119,95,2014,2130,1.031
medium,ssp119,95,2014,2140,1.117
medium,ssp119,95,2014,2150,1.201
medium,ssp126,5,2014,2020,-0.007
medium,ssp126,5,2014,2030,0.022
