lucode,colour
AC01,
AC03,
AC10,
AC16,
AC17,
AC19,
AC20,
AC32,
AC34,
AC44,
AC58,
AC63,
AC65,
AC66,
AC67,
AC68,
AC69,
LG03,
LG07,
LG08,
LG11,
LG20,
FA01,
HE02,#ba8591
HEAT,
PG01,
NA01,
WA01,
TC01,#945200
WO12,#375623
AC04,
AC05,
AC06,
AC07, 
AC09, 
AC14, 
AC15, 
AC18, 
AC22, 
AC23, 
AC24, 
AC26, 
AC27, 
AC30, 
AC35, 
AC36, 
AC37, 
AC38, 
AC41, 
AC45, 
AC50, 
AC52, 
AC59, 
AC60, 
AC61, 
AC62, 
AC64, 
AC70, 
AC71, 
AC72, 
AC74, 
AC81, 
AC88, 
AC90, 
AC92, 
AC94, 
AC100, 
CA02, 
LG01, 
LG02, 
LG04, 
LG06, 
LG09, 
LG13, 
LG14, 
LG15, 
LG16, 
LG21, 
SR01,#a7ab3d
NU01, 
AC00,#ff9300
