lucode,colour
AC01,#a7ab3d
AC03,#ff0000
AC10,#efd45c
AC16,#6c55ca
AC17,#ff9300
AC19,#f8dbad
AC20,#ffceff
AC32,#deb74e
AC34,#8bffbf
AC44,#6e2400
AC58,#cf6600
AC63,#a7ab3d
AC65,#f8dbad
AC66,#deb74e
AC67,#ffff00
AC68,#647132
AC69,#a19440
LG03,#a8c19f
LG07,#8efa00
LG08,#73fb79
LG11,#a7ce58
LG20,#a8c19f
FA01,#d9d9d9
HE02,#ba8591
HEAT,#c15ec6
PG01,#00b050
NA01,#5e5e5e
WA01,#0432ff
TC01,#945200
WO12,#375623
AC04,
AC05,
AC06,
AC07,
AC09,
AC14,
AC15,
AC18,
AC22,
AC23,
AC24,
AC26,
AC27,
AC30,
AC35,
AC36,
AC37,
AC38,
AC41,
AC45,
AC50,
AC52,
AC59,
AC60,
AC61,
AC62,
AC64,
AC70,
AC71,
AC72,
AC74,
AC81,
AC88,
AC90,
AC92,
AC94,
AC100,
CA02,
LG01,
LG02,
LG04,
LG06,
LG09,
LG13,
LG14,
LG15,
LG16,
LG21,
SR01,
NU01,
AC00,
