Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoPubChem,TBox,http://www.theworldavatar.com/ontology/ontopubchem/OntoPubChem.owl,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoPubChem,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoPubChem,TBox,OntoSpecies is an ontology developed for representing chemical species.,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoPubChem,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
Compound,Class,,,,,,This represents a chemical compound,,
has_Canonical_SMILES,Data Property,,,Compound,Literal,only,,,
has_Compound_Identifier,Data Property,,,Compound,Literal,only,,,
has_Covalent_Unit_Count,Data Property,,,Compound,Literal,only,,,
has_Defined_Atom_Stereo_Count,Data Property,,,Compound,Literal,only,,,
has_Defined_Bond_Stereo_Count,Data Property,,,Compound,Literal,only,,,
has_Exact_Mass,Data Property,,,Compound,Literal,only,,,
has_Hydrogen_Bond_Acceptor_Count,Data Property,,,Compound,Literal,only,,,
has_Hydrogen_Bond_Donor_Count,Data Property,,,Compound,Literal,only,,,
has_IUPAC_InChI,Data Property,,,Compound,Literal,only,,,
has_Isotope_Atom_Count,Data Property,,,Compound,Literal,only,,,
has_Heavy_Atom_Count,Data Property,,,Compound,Literal,only,,,
has_Molecular_Formula,Data Property,,,Compound,Literal,only,,,
has_Molecular_Weight,Data Property,,,Compound,Literal,only,,,
has_Preferred_IUPAC_Name,Data Property,,,Compound,Literal,only,,,
has_Rotatable_Bond_Count,Data Property,,,Compound,Literal,only,,,
has_Structure_Complexity,Data Property,,,Compound,Literal,only,,,
has_TPSA,Data Property,,,Compound,Literal,only,,,
has_Total_Formal_Charge,Data Property,,,Compound,Literal,only,,,
has_Undefined_Atom_Stereo_Count,Data Property,,,Compound,Literal,only,,,
has_Undefined_Bond_Stereo_Count,Data Property,,,Compound,Literal,only,,,
has_XLogP3-AA,Data Property,,,Compound,Literal,only,,,
has_InChI_Key,Data Property,,,Compound,Literal,only,,,
