Source,Type,Target,Relation,Value
GRAVESEND THAMES SOUTH TO TATSFIELD,Instance,GridPipeline,,
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl#hasObjectId,Data Property,GRAVESEND THAMES SOUTH TO TATSFIELD,,993
GRAVESEND THAMES SOUTH TO TATSFIELD 1 ,Instance,GridPipelineSegment,,
GRAVESEND THAMES SOUTH TO TATSFIELD 1 Start,Instance,GasPipelineStart,,
GRAVESEND THAMES SOUTH TO TATSFIELD 1 End,Instance,GasPipelineEnd,,
GRAVESEND THAMES SOUTH TO TATSFIELD 1 Tube,Instance,GasPipelineTube,,
GRAVESEND THAMES SOUTH TO TATSFIELD 1 ,Instance,GRAVESEND THAMES SOUTH TO TATSFIELD 1 Start,http://www.theworldavatar.com/ontology/meta_model/mereology/mereology.owl#hasPart,
GRAVESEND THAMES SOUTH TO TATSFIELD 1 ,Instance,GRAVESEND THAMES SOUTH TO TATSFIELD 1 End,http://www.theworldavatar.com/ontology/meta_model/mereology/mereology.owl#hasPart,
GRAVESEND THAMES SOUTH TO TATSFIELD 1 ,Instance,GRAVESEND THAMES SOUTH TO TATSFIELD 1 Tube,http://www.theworldavatar.com/ontology/meta_model/mereology/mereology.owl#hasPart,
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl#hasLatitude,Data Property,GRAVESEND THAMES SOUTH TO TATSFIELD 1 Start,,51.44549758
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl#hasLongitude,Data Property,GRAVESEND THAMES SOUTH TO TATSFIELD 1 Start,,0.433416648
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl#hasLatitude,Data Property,GRAVESEND THAMES SOUTH TO TATSFIELD 1 End,,51.44557659
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl#hasLongitude,Data Property,GRAVESEND THAMES SOUTH TO TATSFIELD 1 End,,0.433078598
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl#hasDiameter,Data Property,GRAVESEND THAMES SOUTH TO TATSFIELD 1 Tube,,750
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl#hasOrder,Data Property,GRAVESEND THAMES SOUTH TO TATSFIELD 1 ,,1
GRAVESEND THAMES SOUTH TO TATSFIELD 2,Instance,GridPipelineSegment,,
GRAVESEND THAMES SOUTH TO TATSFIELD 2 Start,Instance,GasPipelineStart,,
GRAVESEND THAMES SOUTH TO TATSFIELD 2 End,Instance,GasPipelineEnd,,
GRAVESEND THAMES SOUTH TO TATSFIELD 2 Tube,Instance,GasPipelineTube,,
GRAVESEND THAMES SOUTH TO TATSFIELD 2,Instance,GRAVESEND THAMES SOUTH TO TATSFIELD 2 Start,http://www.theworldavatar.com/ontology/meta_model/mereology/mereology.owl#hasPart,
GRAVESEND THAMES SOUTH TO TATSFIELD 2,Instance,GRAVESEND THAMES SOUTH TO TATSFIELD 2 End,http://www.theworldavatar.com/ontology/meta_model/mereology/mereology.owl#hasPart,
GRAVESEND THAMES SOUTH TO TATSFIELD 2,Instance,GRAVESEND THAMES SOUTH TO TATSFIELD 2 Tube,http://www.theworldavatar.com/ontology/meta_model/mereology/mereology.owl#hasPart,
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl#hasLatitude,Data Property,GRAVESEND THAMES SOUTH TO TATSFIELD 2 Start,,51.44557659
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl#hasLongitude,Data Property,GRAVESEND THAMES SOUTH TO TATSFIELD 2 Start,,0.433078598
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl#hasLatitude,Data Property,GRAVESEND THAMES SOUTH TO TATSFIELD 2 End,,51.44558508
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl#hasLongitude,Data Property,GRAVESEND THAMES SOUTH TO TATSFIELD 2 End,,0.433031963
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl#hasDiameter,Data Property,GRAVESEND THAMES SOUTH TO TATSFIELD 2 Tube,,750
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl#hasOrder,Data Property,GRAVESEND THAMES SOUTH TO TATSFIELD 2,,2
GRAVESEND THAMES SOUTH TO TATSFIELD 3,Instance,GridPipelineSegment,,
GRAVESEND THAMES SOUTH TO TATSFIELD 3 Start,Instance,GasPipelineStart,,
GRAVESEND THAMES SOUTH TO TATSFIELD 3 End,Instance,GasPipelineEnd,,
GRAVESEND THAMES SOUTH TO TATSFIELD 3 Tube,Instance,GasPipelineTube,,
GRAVESEND THAMES SOUTH TO TATSFIELD 3,Instance,GRAVESEND THAMES SOUTH TO TATSFIELD 3 Start,http://www.theworldavatar.com/ontology/meta_model/mereology/mereology.owl#hasPart,
GRAVESEND THAMES SOUTH TO TATSFIELD 3,Instance,GRAVESEND THAMES SOUTH TO TATSFIELD 3 End,http://www.theworldavatar.com/ontology/meta_model/mereology/mereology.owl#hasPart,
GRAVESEND THAMES SOUTH TO TATSFIELD 3,Instance,GRAVESEND THAMES SOUTH TO TATSFIELD 3 Tube,http://www.theworldavatar.com/ontology/meta_model/mereology/mereology.owl#hasPart,
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl#hasLatitude,Data Property,GRAVESEND THAMES SOUTH TO TATSFIELD 3 Start,,51.44558508
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl#hasLongitude,Data Property,GRAVESEND THAMES SOUTH TO TATSFIELD 3 Start,,0.433031963
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl#hasLatitude,Data Property,GRAVESEND THAMES SOUTH TO TATSFIELD 3 End,,51.44561705
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl#hasLongitude,Data Property,GRAVESEND THAMES SOUTH TO TATSFIELD 3 End,,0.432856237
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl#hasDiameter,Data Property,GRAVESEND THAMES SOUTH TO TATSFIELD 3 Tube,,750
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl#hasOrder,Data Property,GRAVESEND THAMES SOUTH TO TATSFIELD 3,,3
GRAVESEND THAMES SOUTH TO TATSFIELD 4,Instance,GridPipelineSegment,,
GRAVESEND THAMES SOUTH TO TATSFIELD 4 Start,Instance,GasPipelineStart,,
GRAVESEND THAMES SOUTH TO TATSFIELD 4 End,Instance,GasPipelineEnd,,
GRAVESEND THAMES SOUTH TO TATSFIELD 4 Tube,Instance,GasPipelineTube,,
GRAVESEND THAMES SOUTH TO TATSFIELD 4,Instance,GRAVESEND THAMES SOUTH TO TATSFIELD 4 Start,http://www.theworldavatar.com/ontology/meta_model/mereology/mereology.owl#hasPart,
GRAVESEND THAMES SOUTH TO TATSFIELD 4,Instance,GRAVESEND THAMES SOUTH TO TATSFIELD 4 End,http://www.theworldavatar.com/ontology/meta_model/mereology/mereology.owl#hasPart,
GRAVESEND THAMES SOUTH TO TATSFIELD 4,Instance,GRAVESEND THAMES SOUTH TO TATSFIELD 4 Tube,http://www.theworldavatar.com/ontology/meta_model/mereology/mereology.owl#hasPart,
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl#hasLatitude,Data Property,GRAVESEND THAMES SOUTH TO TATSFIELD 4 Start,,51.44561705
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl#hasLongitude,Data Property,GRAVESEND THAMES SOUTH TO TATSFIELD 4 Start,,0.432856237
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl#hasLatitude,Data Property,GRAVESEND THAMES SOUTH TO TATSFIELD 4 End,,51.44562101
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl#hasLongitude,Data Property,GRAVESEND THAMES SOUTH TO TATSFIELD 4 End,,0.432834497
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl#hasDiameter,Data Property,GRAVESEND THAMES SOUTH TO TATSFIELD 4 Tube,,750
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl#hasOrder,Data Property,GRAVESEND THAMES SOUTH TO TATSFIELD 4,,4
