Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By
http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#NetworkSystem,Class,,,,,,,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl
http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#Device,Class,,,,,,,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl
http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#DirectedConnection,Class,,,,,,,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl
Gas Network,Class,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#NetworkSystem,http://www/theworldavatar.com/ontology/ontocape/upper_level/technical_system.owl#representsRealizationOf, ,,,,http://www.theworldavatar.com/ontology/ontogasgrid/ontogasgrid.owl
Grid Component,Class,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#Device,http://www/theworldavatar.com/ontology/ontocape/upper_level/technical_system.owl#representsRealizationOf, ,,,,http://www.theworldavatar.com/ontology/ontogasgrid/ontogasgrid.owl
Grid Pipeline,Class,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#DirectedConnection,http://www/theworldavatar.com/ontology/ontocape/upper_level/technical_system.owl#representsRealizationOf, ,,,,http://www.theworldavatar.com/ontology/ontogasgrid/ontogasgrid.owl
Storage,Class,Grid Component,IS-A,,,,,http://www.theworldavatar.com/ontology/ontogasgrid/ontogasgrid.owl
Intake,Class,Grid Component,IS-A,,,,,http://www.theworldavatar.com/ontology/ontogasgrid/ontogasgrid.owl
Offtake,Class,Grid Component,IS-A,,,,,http://www.theworldavatar.com/ontology/ontogasgrid/ontogasgrid.owl
Compression Station,Class,Grid Component,IS-A,,,,,http://www.theworldavatar.com/ontology/ontogasgrid/ontogasgrid.owl
http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_behavior/behavior.owl#MaterialAmount,Class,,,,,,,http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_behavior/behavior.owl
http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_behavior/behavior.owl#MaterialAmountConnection,Class,,,,,,,http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_behavior/behavior.owl
Pipe Start,Class,,,,,,,http://www.theworldavatar.com/ontology/ontogasgrid/ontogasgrid.owl
Pipe End,Class,,,,,,,http://www.theworldavatar.com/ontology/ontogasgrid/ontogasgrid.owl
