Source,Type,Target,Relation,Value
Bacton,Instance,LocalDistribution,,
Bacton,Instance,EA,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLocalDistributionZone,
http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,Data Property,Bacton,,52.85443098#1.46089155
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitArea,Data Property,Bacton,,East
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitZone,Data Property,Bacton,,E18
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLinepackZone,Data Property,Bacton,,8.0
Bacton,Instance,http://www.theworldavatar.com/kb/ontogasgrid/gas_network_system/BACTONTOYELVERTON0Connection,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#isConnectedToPipeline,
Brisley,Instance,LocalDistribution,,
Brisley,Instance,EA,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLocalDistributionZone,
http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,Data Property,Brisley,,52.76603091#0.87814288
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitArea,Data Property,Brisley,,East
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitZone,Data Property,Brisley,,E13
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLinepackZone,Data Property,Brisley,,5.0
Brisley,Instance,http://www.theworldavatar.com/kb/ontogasgrid/gas_network_system/BACTONTOWISBECHNENEWESTONE562Connection,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#isConnectedToPipeline,
Great Wilbraham,Instance,LocalDistribution,,
Great Wilbraham,Instance,EA,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLocalDistributionZone,
http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,Data Property,Great Wilbraham,,52.18456636#0.270338029
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitArea,Data Property,Great Wilbraham,,East
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitZone,Data Property,Great Wilbraham,,E08
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLinepackZone,Data Property,Great Wilbraham,,8.0
Great Wilbraham,Instance,http://www.theworldavatar.com/kb/ontogasgrid/gas_network_system/GREATWILBRAHAMTOWHITWELL0Connection,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#isConnectedToPipeline,
Matching Green,Instance,LocalDistribution,,
Matching Green,Instance,EA,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLocalDistributionZone,
http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,Data Property,Matching Green,,51.78277179#0.219979659
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitArea,Data Property,Matching Green,,East
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitZone,Data Property,Matching Green,,E10
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLinepackZone,Data Property,Matching Green,,10.0
Matching Green,Instance,http://www.theworldavatar.com/kb/ontogasgrid/gas_network_system/MATCHINGGREENTOTILBURY2Connection,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#isConnectedToPipeline,
Peterborough Eye/Tee,Instance,LocalDistribution,,
Peterborough Eye/Tee,Instance,EA,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLocalDistributionZone,
http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,Data Property,Peterborough Eye/Tee,,52.57576614#-0.200458517
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitArea,Data Property,Peterborough Eye/Tee,,Central
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitZone,Data Property,Peterborough Eye/Tee,,E05
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLinepackZone,Data Property,Peterborough Eye/Tee,,5.0
Peterborough Eye/Tee,Instance,http://www.theworldavatar.com/kb/ontogasgrid/gas_network_system/PETERBOROUGHTEETOPETERBOROUGHPS129Connection,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#isConnectedToPipeline,
