Date,Temperature (C),Wind direction (deg),Wind speed (m/s),Humidity (%),Pressure (hPa),UV Index,Cloud Cover (%),Ceiling (m),Dew Point (C),Visibility (m)
16 Aug 2018 06:07:11 GMT,32,202.5,4.72222,58.0,1008.0,8,76.0,9144.0,23.0,10000.0
16 Aug 2018 06:07:14 GMT,32,202.5,4.72222,58.0,1008.0,8,76.0,9144.0,23.0,10000.0
16 Aug 2018 06:07:36 GMT,32,202.5,4.72222,58.0,1008.0,8,76.0,9144.0,23.0,10000.0
16 Aug 2018 06:07:41 GMT,32,202.5,4.72222,58.0,1008.0,8,76.0,9144.0,23.0,10000.0
16 Aug 2018 06:08:08 GMT,32,202.5,4.72222,58.0,1008.0,8,76.0,9144.0,23.0,10000.0
16 Aug 2018 06:08:12 GMT,32,202.5,4.72222,58.0,1008.0,8,76.0,9144.0,23.0,10000.0
16 Aug 2018 06:08:58 GMT,32,202.5,4.72222,58.0,1008.0,8,76.0,9144.0,23.0,10000.0
16 Aug 2018 06:09:03 GMT,32,202.5,4.72222,58.0,1008.0,8,76.0,9144.0,23.0,10000.0
16 Aug 2018 06:23:10 GMT,32,202.5,4.72222,58.0,1008.0,8,76.0,9144.0,23.0,10000.0
16 Aug 2018 06:23:15 GMT,32,202.5,4.72222,58.0,1008.0,8,76.0,9144.0,23.0,10000.0
16 Aug 2018 06:24:56 GMT,32,202.5,4.72222,58.0,1008.0,8,76.0,9144.0,23.0,10000.0
16 Aug 2018 06:25:00 GMT,32,202.5,4.72222,58.0,1008.0,8,76.0,9144.0,23.0,10000.0
16 Aug 2018 06:27:35 GMT,32,202.5,4.72222,58.0,1008.0,8,76.0,9144.0,23.0,10000.0
16 Aug 2018 06:27:40 GMT,32,202.5,4.72222,58.0,1008.0,8,76.0,9144.0,23.0,10000.0
16 Aug 2018 06:28:05 GMT,32,202.5,4.72222,58.0,1008.0,8,76.0,9144.0,23.0,10000.0
16 Aug 2018 06:28:09 GMT,32,202.5,4.72222,58.0,1008.0,8,76.0,9144.0,23.0,10000.0
16 Aug 2018 06:29:50 GMT,32,202.5,4.72222,58.0,1008.0,8,76.0,9144.0,23.0,10000.0
16 Aug 2018 06:29:54 GMT,32,202.5,4.72222,58.0,1008.0,8,76.0,9144.0,23.0,10000.0
16 Aug 2018 06:31:37 GMT,32,202.5,4.72222,58.0,1008.0,8,76.0,9144.0,23.0,10000.0
16 Aug 2018 06:31:41 GMT,32,202.5,4.72222,58.0,1008.0,8,76.0,9144.0,23.0,10000.0
23 Aug 2018 08:58:02 GMT,31,180.0,4.16667,54.0,1008.0,2,85.0,9144.0,21.0,16000.0
23 Aug 2018 08:58:07 GMT,31,180.0,4.16667,54.0,1008.0,2,85.0,9144.0,21.0,16000.0
26 Aug 2018 08:57:18 GMT,33,157.5,4.16667,51.0,1007.0,2,70.0,9144.0,22.0,16000.0
26 Aug 2018 08:57:38 GMT,33,157.5,4.16667,51.0,1007.0,2,70.0,9144.0,22.0,16000.0
26 Aug 2018 08:58:18 GMT,33,157.5,4.16667,51.0,1007.0,2,70.0,9144.0,22.0,16000.0
26 Aug 2018 08:59:39 GMT,33,157.5,4.16667,51.0,1007.0,2,70.0,9144.0,22.0,16000.0
26 Aug 2018 08:59:56 GMT,33,157.5,4.16667,51.0,1007.0,2,70.0,9144.0,22.0,16000.0
26 Aug 2018 09:00:10 GMT,33,157.5,4.16667,51.0,1007.0,2,70.0,9144.0,22.0,16000.0
26 Aug 2018 09:00:38 GMT,33,157.5,4.16667,51.0,1007.0,2,70.0,9144.0,22.0,16000.0
26 Aug 2018 09:05:52 GMT,33,157.5,4.16667,51.0,1007.0,2,70.0,9144.0,22.0,16000.0
26 Aug 2018 09:07:12 GMT,33,157.5,4.16667,51.0,1007.0,2,70.0,9144.0,22.0,16000.0
