Terms,CaseGroup1_Case1_massF_MethanolOutput_001,CaseGroup1_Case1_energyF_Electricity_001,CaseGroup1_Case1_moleF_FuelGas_001,CaseGroup1_Case1_massF_HighPressureSteam_001,CaseGroup1_Case1_massF_LowPressureSteam_001,CaseGroup1_Case1_massF_MediumPressureSteam_001,CaseGroup1_Case1_massF_CoolingWater_001,CaseGroup1_Case1_massF_ProcessWater_001
Constant,15.776723787257215,25480.682657268218,155365.86206864036,69.992715169284168,0,11002.054720937253,557280.33656130498,8.9701807446054627
Order,7,10,7,1,,7,8,7
(3/2)^0.5*x_0,0.23337022008338051,376.90389497938781,2295.6255294716875,1.0329076871200416,,162.76253240070943,8254.6781388988002,0.13252104657798161
(5/2)^0.5*(-0.5+1.5*x_0^2),0,0,0,,,0,0,0
(7/2)^0.5*(-1.5*x_0+2.5*x_0^3),0.00040261347985391844,4.7453345840544827,3.0195453716650875,,,0.26682141597278158,13.503174643350357,0.00025357430612060148
(9/2)^0.5*(0.375-3.75*x_0^2+4.375*x_0^4),-0.00046515949653607493,-5.9930598495030596,-2.9498022822799785,,,-0.31607873966962774,-15.96941557096005,-0.00023146395191525005
(11/2)^0.5*(1.875*x_0-8.75*x_0^3+7.875*x_0^5),0.00058231042742145007,3.9179388740022172,3.3917160043972459,,,0.39941695392159032,20.134660179856734,0.00025868954929508174
(13/2)^0.5*(-0.3125+6.5625*x_0^2-19.6875*x_0^4+14.4375*x_0^6),0.00033946741368620344,5.1691885138793063,2.2669784352237787,,,0.21777456277116378,0,0.0001826275323520778
(15/2)^0.5*(-2.1875*x_0+19.6875*x_0^3-43.3125*x_0^5+26.8125*x_0^7),-0.00054824010597894239,-3.013019854435246,-3.6396325329383639,,,-0.36567080542601921,-16.774394337610378,-0.00029313393091478151
Interaction Order,,0,,,,,-10.445550386641662
,,-4.6042318211501678
,,-4.7961696261404914
