13STo   13STm   20VEo   20VEm   61WBo   61WBm   64KSo   64KSm   21BIo   21BIm   24FLo   24FLm   54BLo   54BLm   72FIo   72FIm   27TAo   27TAm   51BFo   51BFm   52NGo   52NGm   74BTo   74BTm   73FWo   73FWm
  32.100   39.588   47.900    3.416   45.400   12.198   44.500   26.022   45.800   16.252   26.200    2.591   29.000    2.972    9.200    1.829   42.000    1.747   14.300    3.757   10.900    0.585   47.600   11.079   11.200    1.748
  41.700   37.598   44.700    3.466   46.200   12.538   43.400   24.067   48.600   16.292   29.200    2.593   14.900    2.737   11.500    1.786   27.800    1.683   15.600    5.538   10.500    0.539   48.600   10.931   15.900    1.623
  38.800   36.395   47.300    4.102   47.000   11.993   44.900   26.127   45.000   16.911   30.100    2.964   12.700    2.841   17.600    1.818   34.100    1.955   22.900    6.100   13.700    0.617   50.000   12.723   11.700    2.027
  44.100   35.617   58.300    7.098   48.400   13.430   60.600   32.384   47.200   19.008   37.700    3.659   15.100    2.754   28.000    2.100   40.200    2.701   25.600    6.640   19.000    0.903   52.600   17.023   19.900    3.047
  38.900   35.289   61.300   17.077   49.100   17.493   64.000   66.908   46.600   26.231   36.500    5.594   16.100    3.226   24.600    3.157   45.900    5.970   27.700   11.449   14.500    2.088   62.600   33.828   19.300    8.176
  25.100   53.375  -99.000   47.530   47.300   19.027   56.600   71.248   41.800   48.213   23.400   10.492   23.000    4.332   14.700    5.655   43.800    9.529   18.600   20.354    7.200    6.494   56.700   51.705    7.000   13.094
  19.500   31.004  -99.000   38.048   19.000   17.185   41.600   70.905   47.900   40.628   11.300    8.906    6.400    3.521    5.900    4.962   20.100    7.809   12.500   12.016    2.000    4.032   45.400   51.725    2.000    6.362
  13.800   15.869  -99.000   25.119   15.800   13.078   36.400   49.219   40.700   26.883   11.300    4.323    5.700    2.246    6.400    2.881    6.900    4.732    8.700    6.279    2.000    2.119   33.700   33.816    2.000    1.981
  10.500   10.282   27.400   19.643   12.300   12.692   47.600   40.946   24.100   20.383    8.900    2.744    2.000    1.809    6.300    2.114    4.700    5.174    5.800    3.991    2.000    1.212   28.000   26.041    2.000    0.902
   8.000    8.480   22.600   19.322    6.400   15.099   39.100   39.453   18.600   19.029    7.100    2.460    2.000    2.058    5.500    2.277    6.600    4.826    4.500    3.684    2.000    0.859   29.000   24.258    2.000    0.438
   7.800   10.333   21.900   32.908    9.400   20.169   32.200   45.410   17.100   24.478    6.800    3.501    2.000    1.627   10.400    3.740    4.600    5.480    4.300    4.204    2.000    0.763   26.600   28.907    6.100    0.416
   8.100    9.710   27.100   35.729   11.900   21.887   35.000   46.129   21.000   24.638    8.100    3.388    2.000    1.700    8.900    4.548    2.000    5.541    4.400    4.106    2.000    0.734   30.700   28.758    4.000    0.444
   7.500   10.249   29.700   31.819    8.600   18.515   29.600   47.677   16.200   23.078    7.000    3.971    2.000    1.327    6.800    3.897    5.000    3.696    2.000    4.470    2.000    0.619   33.400   28.736    4.500    0.575
   8.300    8.675   30.200   33.366   12.800   19.408   33.300   47.975   17.800   19.876    6.200    2.987    2.000    1.028    9.800    3.919    4.100    5.679    4.800    3.826    2.000    0.712   33.600   27.875    4.800    0.226
  11.500   12.973   22.500   38.485    5.500   20.336   38.600   64.335   12.400   25.204    8.600    4.685    2.000    1.854    6.300    6.026    2.000    7.902    6.600    7.961    2.000    0.974   36.300   36.574    5.700    1.177
  16.300   13.603   20.000   44.332    4.500   24.506   40.200   68.354    9.200   26.405    9.600    5.984    7.400    2.042    2.000    6.338    2.000   11.294   11.100    6.878    4.100    1.009   31.300   40.294    6.800    0.898
  15.700   10.572   20.700   37.345    5.600   25.041   41.900   55.403    8.900   24.642   19.500    3.863    7.900    2.231    5.500    6.402    8.500   10.570   12.200    4.702    4.600    1.000   24.000   32.901    7.200    2.198
