SNAP,xcor_start,ycor_start,xcor_end,ycor_end,elevation,width,NOx,NMVOC,CO,SO2,NH3,PM2.5,PM10
7,565240.2022,5945061.624,565240.2967,5945042.999,0,12,0.001221293,0.000717754,-999,-999,-999,0.00033477,0.000334774
7,565206.0374,5944971.507,565198.4695,5944964.296,0,12,0.000685339,0.000402774,-999,-999,-999,0.00018786,0.000187862
7,565177.0434,5944912.719,565212.9398,5944930.677,0,12,0.005511657,0.003239201,-999,-999,-999,0.00141147,0.001416698
7,565166.4585,5944906.945,565177.0434,5944912.719,0,12,0.001653908,0.000972002,-999,-999,-999,0.00042355,0.000425115
7,565091.6805,5944871.445,565166.4585,5944906.945,0,12,0.011359306,0.006675864,-999,-999,-999,0.00290899,0.002919758
7,565151.5035,5944935.312,565206.0578,5944962.995,0,12,0.008406682,0.004940607,-999,-999,-999,0.00215286,0.002160825
7,565140.9896,5944929.555,565151.5035,5944935.312,0,12,0.001644309,0.00096636,-999,-999,-999,0.00042109,0.000422648
7,565078.0564,5944897.774,565140.9896,5944929.555,0,12,0.009673856,0.005685325,-999,-999,-999,0.00247736,0.002486535
7,561657.1099,5942580.794,561642.3429,5942598.177,0,12,0.007299205,0.004289743,-999,-999,-999,0.00177357,0.00177357
7,565498.7295,5940122.969,565565.0487,5940219.601,0,12,0.011812938,0.006942463,-999,-999,-999,0.00360192,0.00360192
7,565428.5719,5939810.535,565421.7602,5939812.849,0,12,0.001280304,0.000752435,-999,-999,-999,0.00036115,0.000361152
7,565435.3293,5939826.851,565427.7548,5939829.892,0,12,0.00144078,0.000846746,-999,-999,-999,0.00040491,0.000404905
7,560551.0897,5942861.48,560606.7535,5942901.603,0,12,0.001465464,0.000861253,-999,-999,-999,0.00039811,0.000398112
7,560281.6579,5942667.313,560305.7897,5942684.665,0,12,0.000634949,0.00037316,-999,-999,-999,0.00017249,0.000172492
7,560305.7897,5942684.665,560551.0897,5942861.48,0,12,0.006458375,0.003795587,-999,-999,-999,0.0017545,0.0017545
7,565177.4149,5939651.218,565235.1078,5939720.983,0,12,0.019177105,0.011270385,-999,-999,-999,0.00585157,0.005851574
7,565235.1078,5939720.983,565262.4173,5939743.074,0,12,0.007351991,0.004320765,-999,-999,-999,0.00224334,0.002243338
7,565262.4173,5939743.074,565286.6296,5939764.87,0,12,0.006828941,0.004013369,-999,-999,-999,0.00208374,0.002083738
7,565167.0632,5939657.062,565203.6704,5939727.561,0,12,0.016808735,0.009878493,-999,-999,-999,0.00512891,0.005128906
7,565203.6704,5939727.561,565225.922,5939751.931,0,12,0.006906352,0.004058863,-999,-999,-999,0.00210736,0.002107358
7,565225.922,5939751.931,565252.0021,5939781.719,0,12,0.008293481,0.004874079,-999,-999,-999,0.00253062,0.002530618
7,565252.0021,5939781.719,565256.6471,5939787.563,0,12,0.001734982,0.001019649,-999,-999,-999,0.00049929,0.000499295
7,565387.7818,5939936.566,565498.7295,5940122.969,0,12,0.021707498,0.012757496,-999,-999,-999,0.00664573,0.00664573
7,565355.5512,5939951.222,565553.6857,5940228.371,0,12,0.034394035,0.020213374,-999,-999,-999,0.01048719,0.010487194
7,553738.023,5934864.777,553728.6001,5934944.726,0,12,0.004144879,0.002435945,-999,-999,-999,0.00114675,0.001146747
7,553750.3687,5934776.362,553738.023,5934864.777,0,12,0.004596786,0.002701531,-999,-999,-999,0.00127177,0.001271774
7,553756.8052,5934722.874,553750.3687,5934776.362,0,12,0.002729397,0.001604067,-999,-999,-999,0.00076149,0.000761492
7,559724.7715,5936088.041,559699.3371,5936017.414,0,12,0.006900188,0.00405524,-999,-999,-999,0.00128271,0.0014269
7,559699.3371,5936017.414,559694.5891,5936003.772,0,12,0.001327666,0.000780269,-999,-999,-999,0.00024681,0.00027455
7,559694.5891,5936003.772,559649.3235,5935864.281,0,12,0.013481552,0.007923108,-999,-999,-999,0.00250615,0.00278787
7,559649.3235,5935864.281,559606.5829,5935741.951,0,12,0.011914998,0.007002445,-999,-999,-999,0.00221493,0.00246392
7,559734.0416,5935994.239,559754.5594,5936068.198,0,12,0.00625873,0.003678255,-999,-999,-999,0.00122031,0.00138672
