snap,x,y,h,v,T,r,NOx,NOVOC,CO,SO2,NH3,PM2.5,PM10
1,565763,5923253,17,16.6,20,0.107047447,-999,-999,-999,-999,-999,19.8,28.1
1,565756,5923259,17,16.6,20,0.107047447,-999,-999,-999,-999,-999,19.8,28.1
1,565763,5923253,17,12.6,20,0.107047447,-999,-999,-999,-999,-999,19.9,28.2
1,565763,5923253,17,16.6,20,0.107047447,-999,-999,-999,-999,-999,24.4,34.6
1,565756,5923259,17,17.1,30,0.107047447,-999,-999,-999,-999,-999,24.4,34.6
1,565773,5923294,24,18.2,20,0.107047447,-999,-999,-999,-999,-999,21.8,30.9
1,565773,5923294,24,20,30,0.107047447,-999,-999,-999,-999,-999,28.5,40.3
1,565773,5923294,24,20.6,20,0.107047447,-999,-999,-999,-999,-999,58,82.2
1,566464,5923125,7,10.9,25,0.126156626,-999,-999,-999,-999,-999,0.594,0.842
1,566467,5923128,7,10.9,25,0.126156626,-999,-999,-999,-999,-999,5.94,8.42
1,560298,5925461,11,15.7,23,0.174807749,-999,-999,-999,-999,-999,0.0408,2.02
1,578393,5927150,9,-999,-999,0.178412412,-999,-999,-999,21.4,-999,0.492,1.72
1,570613,5931311,40,-999,-999,0.178412412,-999,-999,-999,-999,-999,21.1,73.7
1,570613,5931311,40,-999,-999,0.178412412,-999,-999,-999,-999,-999,21.1,73.7
1,570613,5931311,40,-999,-999,0.178412412,-999,-999,-999,-999,-999,30.3,106
1,571001,5931056,9,6.19,20,0.203421447,-999,-999,-999,-999,-999,20.1,28.5
1,565732,5923290,22,11.3,20,0.204980255,-999,-999,-999,18.5,-999,-999,-999
1,571011,5931041,7,11.9,45,0.225675833,-999,-999,-999,-999,-999,38.4,54.5
1,563984,5928677,15,27.2,20,0.252313252,-999,-999,-999,-999,-999,9.74,13.8
1,563984,5928677,15,13,12,0.252313252,-999,-999,-999,-999,-999,18.3,25.9
1,563984,5928677,15,13,12,0.252313252,-999,-999,-999,-999,-999,19,26.9
1,565752,5923199,25,28.3,20,0.252313252,-999,-999,-999,-999,-999,125,177
1,570740,5931126,13,5.35,25,0.28768137,-999,-999,-999,-999,-999,1.97,15.8
1,565779,5923201,26,20.2,20,0.298541066,-999,-999,-999,-999,-999,187,265
1,565542,5930861,12,13.3,20,0.325082885,-999,-999,-999,-999,-999,7.28,25.5
1,565756,5923285,24,13.6,20,0.325082885,-999,-999,-999,56.2,-999,-999,-999
1,573100,5930066,20,0.626,20,0.356824823,-999,-999,-999,-999,-999,9.32,13.2
1,563954,5928637,30,19.1,16,0.356824823,-999,-999,-999,-999,-999,18.6,26.3
1,565751,5923286,22,3.52,20,0.366940161,-999,-999,-999,18.5,-999,-999,-999
1,563984,5928677,15,16.9,11,0.437019372,-999,-999,-999,-999,-999,23.8,83.4
1,565765,5923161,13,9.32,20,0.451351667,-999,-999,-999,-999,-999,131,186
1,563984,5928667,41,23.1,11,0.564189584,-999,-999,-999,-999,-999,603,854
1,570661,5931400,36,1.21,25,0.690988299,-999,-999,-999,-999,-999,3.22,4.56
1,564894,5927677,5,-999,-999,1.595769122,-999,-999,-999,-999,-999,4.37,15.3
1,564854,5927737,5,-999,-999,1.595769122,-999,-999,-999,-999,-999,14.6,51.2
1,564879,5927747,1,-999,-999,2.256758334,-999,-999,-999,-999,-999,77.1,270
1,563974,5928637,-999,-999,-999,2.523132522,-999,-999,-999,-999,-999,1.48,5.19
1,573900,5937063,2,-999,-999,2.523132522,-999,-999,-999,-999,-999,3.62,12.7
1,564214,5925278,3,-999,-999,3.090193616,-999,-999,-999,-999,-999,330,1156
1,564214,5925288,3,-999,-999,3.090193616,-999,-999,-999,-999,-999,1056,3697
1,570581,5931261,8,0.05,25,3.090193616,-999,-999,-999,-999,-999,1046,3660
1,572965,5931216,4,-999,-999,4.370193722,-999,-999,-999,-999,-999,3.73,13.1
1,563974,5928607,4,0.0763,11,9.772050238,-999,-999,-999,-999,-999,4795,16783
1,570663,5931251,8,-999,-999,19.54410048,-999,-999,-999,-999,-999,104,364
1,573000,5930066,4,-999,-999,28.20947918,-999,-999,-999,-999,-999,42.3,148
1,567627,5924169,1,-999,-999,30.90193616,-999,-999,-999,-999,-999,310,1085
1,563984,5928677,3,0.00443,25.5,39.89422804,-999,-999,-999,-999,-999,7709,10921
1,572965,5931216,5,-999,-999,45.48641841,-999,-999,-999,-999,-999,62.8,502
1,572965,5931216,4,-999,-999,46.89905451,-999,-999,-999,-999,-999,181,634
1,564204,5925468,4,-999,-999,56.41895835,-999,-999,-999,-999,-999,1898,6644
1,564304,5925468,3,-999,-999,63.07831305,-999,-999,-999,-999,-999,1055,3693
1,565720,5921307,27,-999,-999,0.356824823,2.33,-999,-999,0.00499,-999,0.000115,0.000402
1,577998,5929266,29,-999,-999,0.35007043,70,-999,-999,60.4,-999,0.207,0.724
1,572871,5932238,17,7.43,200,0.149270533,72.7,-999,-999,126,-999,0.215,0.751
1,561298,5925757,23,1.75,70,0.178412412,112,-999,-999,-999,-999,-999,-999
1,572871,5932238,17,7.43,200,0.149270533,125,-999,-999,215,-999,0.368,1.29
1,566436,5923096,12,13.8,67,0.252313252,247,-999,-999,-999,-999,-999,-999
1,560146,5944666,24,1.02,52,0.356824823,357,-999,-999,17,-999,-999,-999
1,571449,5939738,51,-999,-999,0.300136132,402,-999,-999,1.17,-999,0.0525,0.184
1,556973,5924693,45,-999,-999,0.180187703,469,-999,-999,5.51,-999,0.11,0.386
1,564404,5923769,25,-999,-999,0.224969491,592,-999,-999,6.96,-999,0.139,0.487
1,574744,5942048,28,-999,-999,0.15033297,671,-999,-999,7.89,-999,0.158,0.552
1,562699,5939265,56,0.197,110,0.690988299,689,-999,-999,8.11,-999,0.162,0.567
1,565519,5927790,16,10.4,100,0.501462671,905,-999,-999,-999,-999,22,24.6
