Source,Type,Target,Relation,Value,Data Type
ontokin,Instance,Target Resource,,,
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasQueryEndpoint,Data Property,ontokin,,http://www.theworldavatar.com/blazegraph/namespace/ontokin/sparql,string
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasUpdateEndpoint,Data Property,ontokin,,http://www.theworldavatar.com/blazegraph/namespace/ontokin/sparql,string
ontospecies,Instance,Target Resource,,,
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasQueryEndpoint,Data Property,ontospecies,,http://www.theworldavatar.com/blazegraph/namespace/ontospecies/sparql,string
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasUpdateEndpoint,Data Property,ontospecies,,http://www.theworldavatar.com/blazegraph/namespace/ontospecies/sparql,string
ships,Instance,Target Resource,,,
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasQueryEndpoint,Data Property,ships,,http://www.theworldavatar.com/blazegraph/namespace/ships/sparql,string
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasUpdateEndpoint,Data Property,ships,,http://www.theworldavatar.com/blazegraph/namespace/ships/sparql,string
weatherstation,Instance,Target Resource,,,
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasQueryEndpoint,Data Property,weatherstation,,http://www.theworldavatar.com/blazegraph/namespace/weatherstation/sparql,string
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasUpdateEndpoint,Data Property,weatherstation,,http://www.theworldavatar.com/blazegraph/namespace/weatherstation/sparql,string
ontocropmapgml,Instance,Target Resource,,,
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasQueryEndpoint,Data Property,ontocropmapgml,,http://www.theworldavatar.com/blazegraph/namespace/ontocropmapgml/sparql,string
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasUpdateEndpoint,Data Property,ontocropmapgml,,http://www.theworldavatar.com/blazegraph/namespace/ontocropmapgml/sparql,string
ontocompchem,Instance,Target Resource,,,
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasQueryEndpoint,Data Property,ontocompchem,,http://www.theworldavatar.com/blazegraph/namespace/ontocompchem/sparql,string
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasUpdateEndpoint,Data Property,ontocompchem,,http://www.theworldavatar.com/blazegraph/namespace/ontocompchem/sparql,string
matpp,Instance,Target Resource,,,
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasQueryEndpoint,Data Property,matpp,,http://www.theworldavatar.com/blazegraph/namespace/matpp/sparql,string
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasUpdateEndpoint,Data Property,matpp,,http://www.theworldavatar.com/blazegraph/namespace/matpp/sparql,string
jpsmetadata,Instance,Target Resource,,,
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasQueryEndpoint,Data Property,jpsmetadata,,http://www.theworldavatar.com/blazegraph/namespace/jpsmetadata/sparql,string
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasUpdateEndpoint,Data Property,jpsmetadata,,http://www.theworldavatar.com/blazegraph/namespace/jpsmetadata/sparql,string
buildingsthehague,Instance,Target Resource,,,
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasQueryEndpoint,Data Property,buildingsthehague,,http://www.theworldavatar.com/blazegraph/namespace/buildingsthehague/sparql,string
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasUpdateEndpoint,Data Property,buildingsthehague,,http://www.theworldavatar.com/blazegraph/namespace/buildingsthehague/sparql,string
airqualitystation,Instance,Target Resource,,,
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasQueryEndpoint,Data Property,airqualitystation,,http://www.theworldavatar.com/blazegraph/namespace/airqualitystation/sparql,string
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasUpdateEndpoint,Data Property,airqualitystation,,http://www.theworldavatar.com/blazegraph/namespace/airqualitystation/sparql,string
ukpowerplant,Instance,Target Resource,,,
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasQueryEndpoint,Data Property,ukpowerplant,,https://como.ceb.cam.ac.uk/rdf4j-server/repositories/UKPowerPlant,string
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasUpdateEndpoint,Data Property,ukpowerplant,,https://como.ceb.cam.ac.uk/rdf4j-server/repositories/UKPowerPlant/statements,string
ukpowergrid,Instance,Target Resource,,,
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasQueryEndpoint,Data Property,ukpowergrid,,https://como.ceb.cam.ac.uk/rdf4j-server/repositories/UKPowerGrid,string
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasUpdateEndpoint,Data Property,ukpowergrid,,https://como.ceb.cam.ac.uk/rdf4j-server/repositories/UKPowerGrid/statements,string
ontocropmapgml,Instance,Target Resource,,,
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasQueryEndpoint,Data Property,ontocropmapgml,,http://www.theworldavatar.com/blazegraph/namespace/ontocropmapgml/sparql,string
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasUpdateEndpoint,Data Property,ontocropmapgml,,http://www.theworldavatar.com/blazegraph/namespace/ontocropmapgml/sparql,string
ontocropenergy,Instance,Target Resource,,,
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasQueryEndpoint,Data Property,ontocropenergy,,http://www.theworldavatar.com/blazegraph/namespace/ontocropenergy/sparql,string
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasUpdateEndpoint,Data Property,ontocropenergy,,http://www.theworldavatar.com/blazegraph/namespace/ontocropenergy/sparql,string
ontolanduse,Instance,Target Resource,,,
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasQueryEndpoint,Data Property,ontolanduse,,http://www.theworldavatar.com/blazegraph/namespace/ontolanduse/sparql,string
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasUpdateEndpoint,Data Property,ontolanduse,,http://www.theworldavatar.com/blazegraph/namespace/ontolanduse/sparql,string
ontolanduse,Instance,Target Resource,,,
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasQueryEndpoint,Data Property,ontolanduse,,http://www.theworldavatar.com/blazegraph/namespace/ontolanduse/sparql,string
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasUpdateEndpoint,Data Property,ontolanduse,,http://www.theworldavatar.com/blazegraph/namespace/ontolanduse/sparql,string
ontogasgrid,Instance,Target Resource,,,
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasQueryEndpoint,Data Property,ontogasgrid,,http://www.theworldavatar.com/blazegraph/namespace/ontogasgrid/sparql,string
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasUpdateEndpoint,Data Property,ontogasgrid,,http://www.theworldavatar.com/blazegraph/namespace/ontogasgrid/sparql,string
ontosdg,Instance,Target Resource,,,
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasQueryEndpoint,Data Property,ontosdg,,http://www.theworldavatar.com/blazegraph/namespace/ontosdg/sparql,string
http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasUpdateEndpoint,Data Property,ontosdg,,http://www.theworldavatar.com/blazegraph/namespace/ontosdg/sparql,string
