Source,Type,Target,Relation,Value,Data Type
ABoxOntoSpeciesSMILES,Ontology,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,http://www.w3.org/2002/07/owl#imports,,
ABoxOntoSpeciesSMILES,Ontology,http://www.theworldavatar.com/kb/ontospecies,base,,
http://www.theworldavatar.com/kb/ontospecies/s00000529.owl/Species_7257798755438000,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,,,
http://www.theworldavatar.com/kb/ontospecies/s00000531.owl/Species_7257798808507500,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,,,
http://www.theworldavatar.com/kb/ontospecies/s00000532.owl/Species_7257798865410100,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,,,
http://www.theworldavatar.com/kb/ontospecies/s00000533.owl/Species_7257798921127300,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,,,
http://www.theworldavatar.com/kb/ontospecies/s00000534.owl/Species_7257798972206500,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,,,
http://www.theworldavatar.com/kb/ontospecies/s00000535.owl/Species_7257799032285000,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,,,
http://www.theworldavatar.com/kb/ontospecies/s00000536.owl/Species_7257799083178100,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,,,
http://www.theworldavatar.com/kb/ontospecies/s00000537.owl/Species_7257799134560600,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,,,
http://www.theworldavatar.com/kb/ontospecies/s00000538.owl/Species_7257799187283200,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,,,
http://www.theworldavatar.com/kb/ontospecies/s00000539.owl/Species_7257799240200600,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,,,
http://www.theworldavatar.com/kb/ontospecies/s00000540.owl/Species_7257799293623600,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,,,
http://www.theworldavatar.com/kb/ontospecies/s00000541.owl/Species_7257799346353700,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,,,
http://www.theworldavatar.com/kb/ontospecies/s00000542.owl/Species_7257799415613400,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,,,
http://www.theworldavatar.com/kb/ontospecies/s00000543.owl/Species_7257799480945600,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,,,
http://www.theworldavatar.com/kb/ontospecies/s00000544.owl/Species_7257799537235800,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,,,
http://www.theworldavatar.com/kb/ontospecies/s00000545.owl/Species_7257799589423700,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,,,
http://www.theworldavatar.com/kb/ontospecies/s00000546.owl/Species_7257799640446400,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,,,
http://www.theworldavatar.com/kb/ontospecies/s00000547.owl/Species_7257799694449000,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,,,
http://www.theworldavatar.com/kb/ontospecies/s00000548.owl/Species_7257799747522400,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,,,
http://www.theworldavatar.com/kb/ontospecies/s00000549.owl/Species_7257799843206100,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,,,
http://www.theworldavatar.com/kb/ontospecies/s00000550.owl/Species_7257799897778800,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,,,
http://www.theworldavatar.com/kb/ontospecies/s00000551.owl/Species_7257799952796000,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,,,
http://www.theworldavatar.com/kb/ontospecies/s00000552.owl/Species_7257800017580300,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,,,
http://www.theworldavatar.com/kb/ontospecies/s00000554.owl/Species_7257800127570900,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,,,
http://www.theworldavatar.com/kb/ontospecies/s00000555.owl/Species_7257800179467300,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,,,
http://www.theworldavatar.com/kb/ontospecies/s00000556.owl/Species_7257800230316800,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,,,
http://www.theworldavatar.com/kb/ontospecies/s00000557.owl/Species_7257800280789200,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,,,
http://www.theworldavatar.com/kb/ontospecies/s00000558.owl/Species_7257800333739900,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,,,
http://www.theworldavatar.com/kb/ontospecies/s00000559.owl/Species_7257800386760700,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,,,
http://www.theworldavatar.com/kb/ontospecies/s00000560.owl/Species_7257800438239300,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,,,
