Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoSewage,TBox,https://www.theworldavatar.com/kg/ontosewage/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoSewage,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoSewage,TBox,OntoSewage is an ontology developed for representing sewerage system.,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoSewage,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
SewerageComponent,Class,,,,,,"is the infrastructure that conveys sewage or surface runoff (stormwater, meltwater, rainwater) using sewers.",https://www.theworldavatar.com/kg/ontosewage/,Sewerage component
SewerageNetwork,Class,,,,,,is a conglomeration of pipes and sewers that work together to collect and drain wastewater from the population or industrial centers to off-site treatment facilities.,https://www.theworldavatar.com/kg/ontosewage/,Sewerage network
SubNetwork,Class,SewerageNetwork,IS-A,,,,contains branch pipes,https://www.theworldavatar.com/kg/ontosewage/,Sub network
MainNetwork,Class,SewerageNetwork,IS-A,,,,contains main pipes,https://www.theworldavatar.com/kg/ontosewage/,Main network
SewerageUsage,Class,,,,,,representing for what the sewerage is used,https://www.theworldavatar.com/kg/ontosewage/,Sewerage usage
PressureDrainage,Class,SewerageUsage,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Pressure drainage
MixedProcess,Class,SewerageUsage,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Mixed process
StormWater,Class,SewerageUsage,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Storm water
WasteWater,Class,SewerageUsage,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Waste water
StreetDrainage,Class,SewerageUsage,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Street drainage
ReceivingWater,Class,SewerageUsage,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Receiving water
WaterPipe,Class,SewerageUsage,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Water pipe
SewerageRecords,Class,,,,,,"the records such as functional state, ID, and owner of a sewerage component",https://www.theworldavatar.com/kg/ontosewage/,Sewerage records
OwnershipType,Class,,,,,,defines the type of ownership for sewerage component,https://www.theworldavatar.com/kg/ontosewage/,Ownership type
Public,Class,OwnershipType,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Public
Private,Class,OwnershipType,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Private
City,Class,OwnershipType,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,City
FunctionalState,Class,,,,,,"is the operational state for sewerage component, i.e., under construction",https://www.theworldavatar.com/kg/ontosewage/,Functional state
Expanded,Class,FunctionalState,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Expanded
Stock,Class,FunctionalState,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Stock
OutOfService,Class,FunctionalState,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Out of service
Planning,Class,FunctionalState,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Planning
Insulated,Class,FunctionalState,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Insulated
ConstructionProperties,Class,,,,,,are the construction properties of a sewerage component such as construction year and materials used.,https://www.theworldavatar.com/kg/ontosewage/,Construction properties
https://w3id.org/digitalconstruction/0.3/BuildingMaterials#Material,Class,,,,,,,https://w3id.org/digitalconstruction/0.3/BuildingMaterials,
Concrete,Class,https://w3id.org/digitalconstruction/0.3/BuildingMaterials#Material,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Concrete
PolyvinylChlorideHard,Class,https://w3id.org/digitalconstruction/0.3/BuildingMaterials#Material,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Polyvinyl chloride hard
ReinforcedConcrete,Class,https://w3id.org/digitalconstruction/0.3/BuildingMaterials#Material,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Reinforced concrete
Stoneware,Class,https://w3id.org/digitalconstruction/0.3/BuildingMaterials#Material,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Stoneware
GrayCastIron,Class,https://w3id.org/digitalconstruction/0.3/BuildingMaterials#Material,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Gray cast iron
ChannelType,Class,,,,,,,https://www.theworldavatar.com/kg/ontosewage/,Channel type
https://saref.etsi.org/saref4watr/Pipe,Class,SewerageComponent,IS-A,,,,,https://saref.etsi.org/saref4watr/,
CrossSection,Class,,,,,,"a surface or shape exposed by making a straight cut through pipe, especially at right angles to an axis",https://www.theworldavatar.com/kg/ontosewage/,Cross section
Shape,Class,,,,,,"is the external form of a Manhole's cover, flume, shaft, or cross section.",https://www.theworldavatar.com/kg/ontosewage/,Shape
Circular,Class,Shape,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Circular
EggShaped,Class,Shape,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Egg shaped
OpenTrench,Class,Shape,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Open trench
SemiCircle,Class,Shape,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Semi circle
Circle,Class,Shape,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Circle
Rectangle,Class,Shape,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Rectangle
Square,Class,Shape,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Square
Round,Class,Shape,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Round
CircleProfile,Class,Shape,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Circle profile
Angular,Class,Shape,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Angular
http://www.ontology-of-units-of-measure.org/resource/om-2/Height,Class,,,,,,,http://www.ontology-of-units-of-measure.org/resource/om-2/,
http://www.ontology-of-units-of-measure.org/resource/om-2/Width,Class,,,,,,,http://www.ontology-of-units-of-measure.org/resource/om-2/,
http://www.ontology-of-units-of-measure.org/resource/om-2/Measure,Class,,,,,,,http://www.ontology-of-units-of-measure.org/resource/om-2/,
SewerageFluid,Class,,,,,,is a type of wastewater that is produced by a community of people.,https://www.theworldavatar.com/kg/ontosewage/,Sewerage fluid
RainWater,Class,SewerageFluid,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Rain water
DomesticWasteWater,Class,SewerageFluid,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Domestic waste water
PipeType,Class,,,,,,is the type of pipe such as venting.,https://www.theworldavatar.com/kg/ontosewage/,Pipe type
ConnectionLine,Class,PipeType,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Connection line
Position,Class,PipeType,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Position
ConnectingDuct,Class,PipeType,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Connecting duct
ReliefLine,Class,PipeType,IS-A,,,,,https://www.theworldavatar.com/kg/ontosewage/,Relief line
http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,Class,,,,,,,http://www.ontology-of-units-of-measure.org/resource/om-2/,
http://www.ontology-of-units-of-measure.org/resource/om-2/Thickness,Class,,,,,,,http://www.ontology-of-units-of-measure.org/resource/om-2/,
