Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoBPR,TBox,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontobpr/OntoBPR.owl,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoBPR,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoBPR,TBox,OntoBPR is an ontology developed for expressing a back pressure regulator.,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoBPR,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
BackPressureRegulator,Class,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl#LabEquipment,IS-A,,,,The device that is used to control the back pressure of a reactor.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontobpr/OntoBPR.owl,
ReactorPressureControl,Class,https://saref.etsi.org/core/Task,IS-A,,,,The task to control the reactor pressure based on its setting. Reactor pressure control is modelled as a saref:Task that can be accomplished by BackPressureRegulator.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontobpr/OntoBPR.owl,
PressureAdjustment,Class,https://saref.etsi.org/core/Function,IS-A,,,,The function to adjust the reactor pressure.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontobpr/OntoBPR.owl,
PressureAdjustmentCommand,Class,https://saref.etsi.org/core/Command,IS-A,,,,The command to adjust the reactor pressure.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontobpr/OntoBPR.owl,
https://saref.etsi.org/core/accomplishes,Object Property,,,BackPressureRegulator,ReactorPressureControl,,The relation between BackPressureRegulator and the reactor pressure control task it can conduct.,https://saref.etsi.org/core/v3.1.1/,
https://saref.etsi.org/core/isAccomplishedBy,Object Property,https://saref.etsi.org/core/accomplishes,INVERSE-OF,ReactorPressureControl,BackPressureRegulator,,The relation identifies that the BackPressureRegulator that can accomplish the reactor pressure control task.,https://saref.etsi.org/core/v3.1.1/,
https://saref.etsi.org/core/hasFunction,Object Property,,,BackPressureRegulator,PressureAdjustment,,The relation identifies the function of BackPressureRegulator.,https://saref.etsi.org/core/v3.1.1/,
https://saref.etsi.org/core/hasCommand,Object Property,,,PressureAdjustment,PressureAdjustmentCommand,,The relation between PressureAdjustment function and PressureAdjustmentCommand command.,https://saref.etsi.org/core/v3.1.1/,
https://saref.etsi.org/core/isCommandOf,Object Property,https://saref.etsi.org/core/hasCommand,INVERSE-OF,PressureAdjustmentCommand,PressureAdjustment,,The relation between PressureAdjustmentCommand command and PressureAdjustment function it can achieve.,https://saref.etsi.org/core/v3.1.1/,
