Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By
http://www.theworldavatar.com/ontology/ontocitygml/citieskg/OntoCityGML.owl#EnvelopeType,Class,,,,,,"EnvelopeType defines an extent using a pair of positions defining opposite corners in arbitrary dimensions. Here, the lower left corner point and upper right corner point are used.",http://www.theworldavatar.com/ontology/ontocitygml/citieskg/OntoCityGML.owl
CropMap,Class,,,,,,A geomtrical object which has a Land Use Code (LUcode).,http://www.theworldavatar.com/ontology/ontocropmapgml/OntoCropMapGML.owl
http://www.theworldavatar.com/ontology/ontocitygml/citieskg/OntoCityGML.owl#lowerCornerPoint,Data Property,,,http://www.theworldavatar.com/ontology/ontocitygml/citieskg/OntoCityGML.owl#EnvelopeType,http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,,The lowermost vertex of the EnvelopeType.,http://www.theworldavatar.com/ontology/ontocitygml/citieskg/OntoCityGML.owl
http://www.theworldavatar.com/ontology/ontocitygml/citieskg/OntoCityGML.owl#upperCornerPoint,Data Property,,,http://www.theworldavatar.com/ontology/ontocitygml/citieskg/OntoCityGML.owl#EnvelopeType,http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,,The uppermost vertex of the EnvelopeType.,http://www.theworldavatar.com/ontology/ontocitygml/citieskg/OntoCityGML.owl
http://www.theworldavatar.com/ontology/ontocitygml/citieskg/OntoCityGML.owl#srsname,Data Property,,,http://www.theworldavatar.com/ontology/ontocitygml/citieskg/OntoCityGML.owl#EnvelopeType,String,,Specifies the coordinate system which the EnvelopeType refers to.,http://www.theworldavatar.com/ontology/ontocitygml/citieskg/OntoCityGML.owl
srsDimension,Data Property,,,http://www.theworldavatar.com/ontology/ontocitygml/citieskg/OntoCityGML.owl#EnvelopeType,Integer,,Specifies the number of dimensions which the EnvelopeType has.,http://www.theworldavatar.com/ontology/ontocropmapgml/OntoCropMapGML.owl
http://ns.inria.fr/ast/sql/index.html#ObjectIdentifier,Data Property,,,Crop Map,Integer,,An identifier unique within the EnvelopeType which refers to a specific CropMap.,http://ns.inria.fr/ast/sql
hasCromeID,Data Property,,,Crop Map,String,,"A CROMEID is assigned as specified by the Rural Payments Agency (RPA) for a CropMap. The CROMEID is the unique identifier assigned to each CropMap, consisting of the letters RPA and a twelve digit number, which are the Easting and Northing coordinates of the centroid of the cell. For example a CropMap with CROMEID RPAXXXXXXYYYYYY would have a centre point with Easting XXXXXX and Northing YYYYYY.",http://www.theworldavatar.com/ontology/ontocropmapgml/OntoCropMapGML.owl
https://dbpedia.org/ontology/area,Data Property,,,Crop Map,Double,,"Area is the quantity that expresses the extent of a two-dimensional region, shape, or planar lamina, in the plane. This value refers to the area of the CropMap in metres squared.",http://dbpedia.org/ontology
http://open.vocab.org/terms/length,Data Property,,,Crop Map,Double,,Length is a measure of distance. This value refers to the perimeter of the CropMap in metres.,http://open.vocab.org/terms
hasReferenceDate,Data Property,,,Crop Map,Integer,,The reference date is the date or date range of the images referenced to assign the Land Use Code to the CROME CropMap. The date format used is YYYYMMDD e.g. 20181121. The value is expected to remain constant for each CropMap in a CROME release.,http://www.theworldavatar.com/ontology/ontocropmapgml/OntoCropMapGML.owl
hasGeometry,Data Property,,,Crop Map,http://www.theworldavatar.com/ontology/datatype/POLYGON-2-14,,Relates a CropMap to its vertex coordinates.,http://www.theworldavatar.com/ontology/ontocropmapgml/OntoCropMapGML.owl
http://vocab.datex.org/terms/#centrePoint,Data Property,,,Crop Map,http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,,Centre point of a CropMap as identified by the Rural Payments Agency. ,http://vocab.datex.org/terms
http://www.theworldavatar.com/ontology/ontocitygml/citieskg/OntoCityGML.owl#boundedBy,Object Property,,,Crop Map,http://www.theworldavatar.com/ontology/ontocitygml/citieskg/OntoCityGML.owl#EnvelopeType,exactly 1,Specifies which EnvelopType the CropMap belongs to.,http://www.theworldavatar.com/ontology/ontocitygml/citieskg/OntoCityGML.owl
hasLucode,Object Property,,,Crop Map,http://www.theworldavatar.com/ontology/ontolanduse/OntoLandUse.owl#LandUseCode,exactly 1,Specifies which Land Use Code (LUcode) is assigned to this CropMap.,http://www.theworldavatar.com/ontology/ontocropmapgml/OntoCropMapGML.owl
