Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoLab,TBox,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoLab,TBox,1.1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoLab,TBox,OntoLab is an ontology developed for expressing facilities in a research lab.,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoLab,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
Laboratory,Class,,,,,,"Facility that provides controlled conditions in which scientific or technological research, experiments, and measurement may be performed. [https://www.wikidata.org/wiki/Q483242]",https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,
LabEquipment,Class,https://saref.etsi.org/core/Device,IS-A,,,,Equipment used for laboratory experiments. [https://www.wikidata.org/wiki/Q834028],https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,
EquipmentSettings,Class,,,,,,Specifications that are used to set the operating conditions of laboratory equipment.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,
ParameterSetting,Class,,,,,,Each parameter setting refers to one specific setting of the laboratory equipment.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,
TemperatureSetting,Class,ParameterSetting,IS-A,,,,Setting that specifies the temperature.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,
DurationSetting,Class,ParameterSetting,IS-A,,,,Setting that specifies the duration.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,
FlowRateSetting,Class,ParameterSetting,IS-A,,,,Setting that specifies the flow rate.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,
VolumeSetting,Class,ParameterSetting,IS-A,,,,Setting that specifies the volume.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,
