Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By
Message,Class,,,,,,A message is a recording of the information exchanged between two agents. [The World Avatar],http://www.theworldavatar.com/ontology/ontomessage/OntoMessage.owl
CommunicativeAct,Class,,,,,,"Communicative act describes a function or an action represented by the message. This term is defined by FIPA-ACL (SC00037) based on speech act theory which defines the functions of simply specified actions. For more information, please visit: http://www.fipa.org/specs/fipa00037/SC00037J.html [The World Avatar]",http://www.theworldavatar.com/ontology/ontomessage/OntoMessage.owl
Request,Class,CommunicativeAct,IS-A,,,,Request is the action that the sender requests the receiver to perform some actions. [The World Avatar],http://www.theworldavatar.com/ontology/ontomessage/OntoMessage.owl
Agree,Class,CommunicativeAct,IS-A,,,,"Agree is the action of agreeing to perform some actions, but it does not guarantee when to perform. [The World Avatar]",http://www.theworldavatar.com/ontology/ontomessage/OntoMessage.owl
Inform,Class,CommunicativeAct,IS-A,,,,"Inform is the action that the sender informs the receiver that a given job request is done, likely also the results of that job request. [The World Avatar]",http://www.theworldavatar.com/ontology/ontomessage/OntoMessage.owl
Content,Class,,,,,,Content is the actual information exchanged between the agents in a message. The receiving agent is responsible for understanding and processing the message content. [The World Avatar],http://www.theworldavatar.com/ontology/ontomessage/OntoMessage.owl
Status,Class,,,,,,The status indicates the state of a message. [The World Avatar],http://www.theworldavatar.com/ontology/ontomessage/OntoMessage.owl
Closed,Class,Status,IS-A,,,,Closed is the status that the message is already replied to and no longer active. [The World Avatar],http://www.theworldavatar.com/ontology/ontomessage/OntoMessage.owl
WaitingForResponse,Class,Status,IS-A,,,,Waiting for response is the status that the receiver of the message has not yet responded to the message. [The World Avatar],http://www.theworldavatar.com/ontology/ontomessage/OntoMessage.owl
hasReceiver,Object Property,,,Message,http://www.theworldavatar.com/ontology/ontoagent/MSM.owl#Service,exactly 1,A relation between a message and its targeting agent. [The World Avatar],http://www.theworldavatar.com/ontology/ontomessage/OntoMessage.owl
hasSender,Object Property,,,Message,http://www.theworldavatar.com/ontology/ontoagent/MSM.owl#Service,exactly 1,A relation between a message and the agent that created the message. [The World Avatar],http://www.theworldavatar.com/ontology/ontomessage/OntoMessage.owl
repliesTo,Object Property,,,Message,Message,exactly 1,A relation between two messages that the later message follows up to the previous message. [The World Avatar],http://www.theworldavatar.com/ontology/ontomessage/OntoMessage.owl
hasPerformative,Object Property,,,Message,CommunicativeAct,exactly 1,A relation between a message and the communicative act used to classify the message. [The World Avatar],http://www.theworldavatar.com/ontology/ontomessage/OntoMessage.owl
hasContent,Object Property,,,Message,Content,exactly 1,A relation between a message and its actual content. [The World Avatar],http://www.theworldavatar.com/ontology/ontomessage/OntoMessage.owl
hasStatus,Object Property,,,Message,Status,only,A relation between a message and its historical status. [The World Avatar],http://www.theworldavatar.com/ontology/ontomessage/OntoMessage.owl
known,Object Property,,,Content,http://www.w3.org/2002/07/owl#Thing,only,A relation between message content and the known facts in the knowledge graph. The range of this object property usually is a list of instances in the ABoxes of ontologies. [The World Avatar],http://www.theworldavatar.com/ontology/ontomessage/OntoMessage.owl
hasObjective,Object Property,,,Content,http://www.w3.org/2002/07/owl#Thing,only,A relation between message content and the desired output of the message request. The range of this object property usually is a list of concepts in the TBoxes of ontologies. [The World Avatar],http://www.theworldavatar.com/ontology/ontomessage/OntoMessage.owl
timeStamp,Data Property,,,Message UNION Status,dateTime,,An attribute that indicates the time when the message was created or when the status of a message is updated. [The World Avatar],http://www.theworldavatar.com/ontology/ontomessage/OntoMessage.owl
