Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By
OntoProvenance,TBox,http://www.theworldavatar.com/ontology/ontoprovenance/OntoProvenance.owl,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,
OntoProvenance,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,
OntoProvenance,TBox,An ontology developed for representing provenance of entities and data.,http://www.w3.org/2000/01/rdf-schema#comment,,,,,
OntoProvenance,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,
http://www.w3.org/2002/07/owl#Thing,Class,,,,,,,http://www.w3.org/2002/07/owl#
http://www.w3.org/ns/prov#Entity,Class,,,,,,"An entity can be a physical existing object, its digital representation, or conceptual ideas. [The World Avatar]",http://www.w3.org/ns/prov-o#
http://www.w3.org/ns/prov#Bundle,Class,,,,,,A bundle is a collection of provenance information related to a given entity. Note that a provenance bundle itself is an entity. [The World Avatar],http://www.w3.org/ns/prov-o#
http://purl.org/ontology/bibo/Document,Class,http://www.w3.org/ns/prov#Entity,IS-A,,,,A document is a bibliographic item that is produced for scholarly purposes. [The World Avatar],http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/Webpage,Class,http://purl.org/ontology/bibo/Document,IS-A,,,,A webpage is an online accessible document. [The World Avatar],http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/AcademicArticle,Class,http://purl.org/ontology/bibo/Document,IS-A,,,,An academic article is an article that is published in a journal through a peer-review process. [The World Avatar],http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/Manuscript,Class,http://purl.org/ontology/bibo/Document,IS-A,,,,A manuscript is an unpublished document that could have been submitted for publication. [The World Avatar],http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/Proceedings,Class,http://purl.org/ontology/bibo/Document,IS-A,,,,A proceedings refers to papers that are accepted as conference publications. [The World Avatar],http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/Issue,Class,,,,,,An issue is a collection of academic articles and published periodically. [The World Avatar],http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/MultiVolumeBook,Class,,,,,,A multi-volume book is a collection of proceedings papers. [The World Avatar],http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/Journal,Class,,,,,,A journal is a series of scholarly publications that cover a particular knowledge domain over its life span. [The World Avatar],http://purl.org/ontology/bibo/
http://www.w3.org/ns/prov#Agent,Class,,,,,,,http://www.w3.org/ns/prov-o#
