Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoRaster,TBox,http://www.theworldavatar.com/ontology/OntoRaster.owl,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoRaster,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoRaster,TBox,OntoRaster is an ontology developed for creating a comprehensive description for the Raster data,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoRaster,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
RasterData,Class,,,,,,Raster data is a grid of regularly sized pixels storing continually varying information.,,
Tile,Class,,,,,,,,
Pixel,Class,,,,,,,,
Band,Class,,,,,,,,
hasTile,Object Property,,,RasterData,Tile,,,,
hasPixel,Object Property,,,Tile,Pixel,,,,
hasBand,Object Property,,,Pixel,Band,,,,
hasSkewX,Data Property,,,RasterData,Double,,,,
hasSkewY,Data Property,,,RasterData,Double,,,,
hasScaleX,Data Property,,,RasterData,Double,,,,
hasScaleY,Data Property,,,RasterData,Double,,,,
hasSRID,Data Property,,,RasterData,Integer,,,,
hasTileWidth,Data Property,,,RasterData,Integer,,,,
hasTileHeight,Data Property,,,RasterData,Integer,,,,
hasNumBands,Data Property,,,RasterData,Integer,,,,
hasPixelWidth,Data Property,,,RasterData,Double,,,,
hasPixelHeight,Data Property,,,RasterData,Double,,,,
hasFileName,Data Property,,,RasterData,String,,,,
hasRid,Data Property,,,Tile,Integer,,,,
hasUpperLeftX,Data Property,,,Tile,Double,,,,
hasUpperLeftY,Data Property,,,Tile,Double,,,,
hasRowNumber,Data Property,,,Pixel,Integer,,,,
hasColumnNumber,Data Property,,,Pixel,Integer,,,,
hasPixelValue,Data Property,,,Band,Double,,,,
