Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoRxn,TBox,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoRxn,TBox,1.1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoRxn,TBox,An ontology developed for describing reaction experiment.,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoRxn,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
ReactionExperiment,Class,,,,,,A reaction experiment is a concrete realisation of a chemical reaction at a set of reaction conditions. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
ReactionVariation,Class,ReactionExperiment,IS-A,,,,A reaction variation is defined as the same chemical reaction performed at a different set of reaction conditions compared to its original conditions. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
http://www.theworldavatar.com/ontology/ontocape/material/substance/reaction_mechanism.owl#ChemicalReaction,Class,,,,,,A ChemicalReaction converts some ChemicalSpecies (or MolecularEntities) into some other ChemicalSpecies (or MolecularEntities). [OntoCAPE],http://www.theworldavatar.com/ontology/ontocape/material/substance/reaction_mechanism.owl,
Catalyst,Class,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#Species,IS-A,,,,A substance that increases the rate of a reaction without modifying the overall standard Gibbs energy change in the reaction. [doi:10.1351/goldbook.C00876],https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
Solvent,Class,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#Species,IS-A,,,,A solvent is the substance used to solve the chemical components of the chemical reaction process. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#Product,Class,,,,,,A name-quantity pair that defines the name and corresponding stoichiometric coefficient of a chemical species or molecular entity participating in the reverse reaction. [OntoKin],https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
TargetProduct,Class,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#Product,IS-A,,,,The product that is the desired outcome of a reaction experiment. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
Impurity,Class,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#Product,IS-A,,,,The product that is not the desired outcome of a reaction experiment. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
PerformanceIndicator,Class,,,,,,A quantity that is calculated from the measured analytical data of output chemical of a reaction experiment. It is used as objectives of a reaction optimisation problem. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
EnvironmentalFactor,Class,PerformanceIndicator,IS-A,,,,The environmental factor (E-factor) of a reaction experiment is the ratio of the mass of waste (impurity) to mass of (desired/target) product. [doi:10.1039/B713736M],https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
Yield,Class,PerformanceIndicator,IS-A,,,,Ratio expressing the efficiency of a mass conversion process. [doi:10.1351/goldbook.Y06724],https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
EcoScore,Class,PerformanceIndicator,IS-A,,,,,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
Conversion,Class,PerformanceIndicator,IS-A,,,,"The conversion indicates, which portion of the originally used starting material has been converted into other chemical substances by a chemical reaction. [UDM https://github.com/PistoiaAlliance/UDM/blob/master/Docs/Glossary.md]",https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
SpaceTimeYield,Class,PerformanceIndicator,IS-A,,,,"Space-time yield is a measure of reactor productivity calculated from mass of (desired/target) product formed, devided by the the reactor volume, and residence time. [doi:10.1002/cmtd.202000044]",https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
RunMaterialCost,Class,PerformanceIndicator,IS-A,,,,The total cost of input chemical during one reaction experiment. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
EnvironmentalFactor,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/MassFraction,IS-A,,,,,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
Yield,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfSubstanceFraction,IS-A,,,,,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
EcoScore,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/QuantityOfDimensionOne,IS-A,,,,,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
Conversion,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfSubstanceFraction,IS-A,,,,,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
SpaceTimeYield,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,IS-A,,,,,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
RunMaterialCost,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/SpecificAmountOfMoney,IS-A,,,,,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
ReactionCondition,Class,,,,,,A quantity that is used to specify the condition at which the reaction is to be conducted. It can be used as the optimisation variable in a reaction development process.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
ResidenceTime,Class,ReactionCondition,IS-A,,,,The time required for air or reagent parcel to pass from the entrance to the exit of an instrument. Often this is approximated as the ratio of the interior volume of the device to the flow rate. [doi:10.1351/goldbook.R05309],https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
ReactionTemperature,Class,ReactionCondition,IS-A,,,,The temperature at which a reaction experiment is conducted. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
ReactionPressure,Class,ReactionCondition,IS-A,,,,The pressure at which a reaction experiment is conducted. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
StoichiometryRatio,Class,ReactionCondition,IS-A,,,,The ratio between an input chemical and the reference input chemical which is quantified by a reaction scale. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
ReactionScale,Class,ReactionCondition,IS-A,,,,Reaction scale indicates the volume used of the reference input chemical. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
ResidenceTime,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Duration,IS-A,,,,,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
ReactionTemperature,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/CelsiusTemperature,IS-A,,,,,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
ReactionPressure,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Pressure,IS-A,,,,,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
StoichiometryRatio,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/VolumeFraction,IS-A,,,,,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
ReactionScale,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Volume,IS-A,,,,,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
InputChemical,Class,http://www.theworldavatar.com/ontology/ontocape/material/material.owl#Material,IS-A,,,,An input chemical is a type of OntoCAPE:Material used as the feed to a reaction experiment. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
OutputChemical,Class,http://www.theworldavatar.com/ontology/ontocape/material/material.owl#Material,IS-A,,,,An output chemical is a type of OntoCAPE:Material collected as outcome from a reaction experiment. ,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl,
http://www.theworldavatar.com/ontology/ontocape/material/phase_system/phase_system.owl#SinglePhase,Class,,,,,,"A SinglePhase is a finite volume of material within which the physical properties are uniformly constant, i.e., do not experience any abrupt change in passing from one point in the volume to another. [OntoCAPE]",http://www.theworldavatar.com/ontology/ontocape/material/phase_system/phase_system.owl,
