Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoSDG,TBox,http://www.theworldavatar.com/ontology/ontosdg/OntoSDG.owl,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoSDG,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoSDG,TBox,An ontology developed for representing the United Stations (UN) Sustainable Development Goals (SDGs).,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoSDG,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
Goal,Class,http://purl.unep.org/sdg/SDGIO_00000000,EQUIVALENT-TO,,,,"An objective specification which describes the endpoint of a development process following the Sustainable Development Agenda for 2030 [SDGIO Ontology, Accessed on 29 October 2020]",http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Target,Class,http://purl.unep.org/sdg/SDGIO_00000001,EQUIVALENT-TO,,,,"A threshold value of a sustainable development indicator value or a set of threshold values of several such indicators towards or beyond which corresponding indicator values from a socio-economic-environmental system should tend in order to meet a sustainable development goal [SDGIO ontology, Accessed 29 October 2020]",http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Indicator,Class,http://purl.unep.org/sdg/SDGIO_00000003,EQUIVALENT-TO,,,,"A data item which represents a sustainable development goal indicator in some quantitative or qualitative system of measurement [SDGIO ontology, Accessed on 29 October 2020]",http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
http://www.theworldavatar.com/ontology/ontoeip/powerplants/PowerPlant.owl#PowerPlant,Class,Energy Facility,IS-A,,,,An indutrial facility that generates electricty from primary energy,http://www.theworldavatar.com/ontology/ontoeip/powerplants/PowerPlant.owl,
Social Goal,Class,Goal,IS-A,,,,A goal that connects the individual with the society and solve social problems and/or provides social infrastructure,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Environmental Goal,Class,Goal,IS-A,,,,"A goal that aims to provide conditions for humans and nature to exist in harmony, usually relates to climate action or clean water ",http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Infrastructure Goal,Class,Goal,IS-A,,,,"A goal that aims to promote sustainbale, inclusive infrastructure ",http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Industrialisation Goal,Class,Goal,IS-A,,,,A goal that relates to capacbilities of industrial sectors,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Innovation Goal,Class,Goal,IS-A,,,,A goal that relates to alternative solutions to existing problems,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Economic Goal,Class,Goal,IS-A,,,,A goal that relates to employment for all and economic growth,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Economic Target,Class,Target,IS-A,,,,A target of an economic goal,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Wellbeing Target,Class,Target,IS-A,,,,"A target that promotes healthy, comfrotable and happiness for all",http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Technology Target,Class,Target,IS-A,,,,"A target that relates to the creation of tools, machines and services that meet human needs",http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Employment Target,Class,Target,IS-A,,,,A target that relates to the rate of employed individuals and inclusion with the workforce,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
R&DTarget,Class,Target,IS-A,,,,A target that relates to research and development: the innovative activities undertaken to develop new services/products,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Infrastructure Target,Class,Target,IS-A,,,,A target of an infrastructure goal,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Environmental Target,Class,Target,IS-A,,,,A target of an environmental goal,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Energy Target,Class,Target,IS-A,,,,A target that relates to the production and supply of green energy for all,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Cooperation Target,Class,Target,IS-A,,,,A target that relates to working together to achieve a common goal ,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Social Target,Class,Target,IS-A,,,,A target of a social goal,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Economic Indicator,Class,Indicator,IS-A,,,,An indicator of an economic target,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
R&D Indicator,Class,Indicator,IS-A,,,,An indicator of a R&D target,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Environmental Indicator,Class,Indicator,IS-A,,,,An indicator of an environmental target,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Emissions Indicator,Class,Indicator,IS-A,,,,An indicator that measures the amont of a gas that hamrs the environment ,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Social Indicator,Class,Indicator,IS-A,,,,An indicator of a social target,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Energy Indicator,Class,Indicator,IS-A,,,,An indicator of an energy target,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Location,Class,,,,,,A location is the place or position of something,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
http://www.theworldavatar.com/ontology/ontocape/supporting_concepts/space_and_time/space_and_time_extended.owl#Country,Class,Location,IS-A,,,,"A country is an area of land that has its own goverment, army, etc. ref: Cambridge Dictionary. Cambridge University Press, 2021. URL: https://dictionary.cambridge.org/dictionary/english/country",http://www.theworldavatar.com/ontology/ontocape/supporting_concepts/space_and_time/space_and_time_extended.owl,
Region,Class,http://purl.obolibrary.org/obo/ENVO_00000004,EQUIVALENT-TO,,,,"A region is a particular area/ part of the world. ref: Cambridge Dictionary. Cambridge University Press, 2021. URL: https://dictionary.cambridge.org/dictionary/english/region",http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Administrative Division,Class,Location,IS-A,,,,"An administrative division is the region within a country, created for managing land and people affairs.ref: Wikipidia. URL:https://simple.wikipedia.org/wiki/Administrative_division",http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Population,Class,,,,,,"A poplulation is all the people living in a particular country/area/place. ref: Cambridge Dictionary. Cambridge University Press, 2021. URL:https://dictionary.cambridge.org/dictionary/english/population",http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Scenario,Class,,,,,,"A scenario is a description of possible actions or events in the future. ref: Cambridge Dictionary. Cambridge University Press, 2021. URL: https://dictionary.cambridge.org/dictionary/english/scenario",http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Gender Distribution ,Class,,,,,,The gender distribution of a country,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Age Distribution,Class,,,,,,The age distribution of a country,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Ethnicity Distribution,Class,,,,,,The ethnicity distribution of a country,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
GDP,Class,,,,,,The Gross Domestic Product of a country,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
ElectricityGenerationTechnology,Class,http://www.theworldavatar.com/ontology/ontoeip/powerplants/PowerPlant.owl#PlantGenerationTechnology,EQUIVALENT-TO,,,,"The generation technology is the electricity generation technology such as coal-fired power plants, wind turbines etc",http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Price,Class,,,,,,The price is the amount of money required for something,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Annual Electricity Generation,Class,http://www.theworldavatar.com/ontology/ontoeip/powerplants/PowerPlant.owl#AnnualGeneration,EQUIVALENT-TO,,,,The amount of electricity generated in a given year (eg in the year 2018),http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Emission,Class,,,,,,A species that is released during operation of some process,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Facility,Class,,,,,,"A building that performs a function. For example a school, or a power plant",http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Energy Facility,Class,Facility,IS-A,,,,A facility which produces energy ,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
http://www.theworldavatar.com/ontology/ontoeip/system_aspects/system_performance.owl#CO2_emission,Class,Emission,IS-A,,,,Carbon Dioxide that is released during operation of some process,http://www.theworldavatar.com/ontology/ontoeip/system_aspects/system_performance.owl,
Value Added,Class,,,,,,The difference between the price of a product and the cost of producing it,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Heating Value,Class,,,,,,The heat energy released per unit mass of fuel when it is combusted,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Carbon Content,Class,,,,,,The fraction of mass of a material that consists of carbon,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
Selling Price,Class,Price,IS-A,,,,The price that a commodity is sold for,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
http://www.theworldavatar.com/ontology/ontoeip/powerplants/PowerPlant.owl#PrimaryFuel,Class,,,,,,The primary fuel used as an energy source in a power plant,http://www.theworldavatar.com/ontology/ontoeip/powerplants/PowerPlant.owl,
Annual Generation Cost,Class,,,,,,The cost of generating electricity over one year,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
hasTarget,Object Property,,,Goal,Target,only,A relation that defines which Target belongs to a Goal,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
isTargetOf,Object Property,hasTarget,INVERSE,,,,A relation that defines which Goal a Target belongs to,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
hasPopulation,Object Property,,,Location,Population,only,A relation that connects a location to the population of people living there,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
hasIndicator,Object Property,,,Target UNION Facility,Indicator,only,A relation that defines which Indicator belongs to the Target,http://theworldavatar.com/ontology/ontosdg/OntoSDG.owl,
