Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoVapourtec,TBox,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoVapourtec,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoVapourtec,TBox,OntoVapourtec is an ontology developed for expressing a Vapourtec experiment module.,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoVapourtec,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
VapourtecRS400,Class,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl#LabEquipment,IS-A,,,,"The RS-400 is a complex system, with some room for customisation. It is still completely modular, compatible with simpler and older systems. It includes fully automated control, an autosampler/collector, 4 pumps and a number of reactors. It is ideal for library synthesis and catalysis screening. [https://www.vapourtec.com/products/r-series-flow-chemistry-system/reactions-and-reagents-automated-rs-400-features/]",https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
VapourtecR4Reactor,Class,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl#EquipmentPart,IS-A,,,,"The RS-400 comes with a standard heated, cooled and high temperature tube reactors and the standard heated column reactor. [https://www.vapourtec.com/products/r-series-flow-chemistry-system/reactions-and-reagents-automated-rs-400-features/]",https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
VapourtecR2Pump,Class,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl#EquipmentPart,IS-A,,,,The RS-400 comes with four R2-C (acid resistant pump) pumps as standard. [https://www.vapourtec.com/products/r-series-flow-chemistry-system/reactions-and-reagents-automated-rs-400-features/],https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
AutoSampler,Class,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl#EquipmentPart,IS-A,,,,The autosampler is the facility for the reagents to be preloaded into “Sample Injection Loops” and then released into the flow at the correct moment as required (all controlled by the R-Series software if required). [https://www.vapourtec.com/products/r-series-expansion/automation-analysis-automated-reagent-addition/],https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
AutoSamplerSite,Class,,,,,,The site on the rack of autosampler that holds vials for chemical solutions.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
Vial,Class,,,,,,The vial within the site of autosampler to host the chemical solutions.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
ReactorSettings,Class,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl#EquipmentSettings,IS-A,,,,Equipment setting that specifies the reactor operating conditions.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
PumpSettings,Class,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl#EquipmentSettings,IS-A,,,,Equipment setting that specifies the pump operating conditions.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
ReactorTemperatureSetting,Class,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl#TemperatureSetting,IS-A,,,,Setting that specifies the reactor temperature.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
ResidenceTimeSetting,Class,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl#DurationSetting,IS-A,,,,Setting that specifies the reaction residence time.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
SampleLoopVolumeSetting,Class,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl#VolumeSetting,IS-A,,,,Setting that specifies the sample loop volume.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
FlowChemistry,Class,https://saref.etsi.org/core/Task,IS-A,,,,Flow chemistry refers to the chemical reactions that run in a continuous stream. Here the flow chemistry is modelled as a saref:Task that can be accomplished by the Vapourtec module.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
FlowCommander,Class,https://saref.etsi.org/core/Service,IS-A,,,,"FlowCommander (R-Series software) is a PC or touchpanel based application that allows the automation and datalogging of Vapourtec R-Series modules. The R-Series software can also control other devices such as UV detectors, fraction collectors, liquid handlers and standalone pumps. [https://www.vapourtec.com/products/r-series-software/]",https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
VapourtecFunction,Class,https://saref.etsi.org/core/Function,IS-A,,,,"The functions provided by the Vapourtec modules, most of which are interfaced via FlowCommander.",https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
VapourtecState,Class,https://saref.etsi.org/core/State,IS-A,,,,The possible states of Vapourtec module during its execution.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
Launch,Class,VapourtecFunction,IS-A,,,,The function to launch the FlowCommander.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
Connection,Class,VapourtecFunction,IS-A,,,,The function to establish the connection between FlowCommander and the physical existence of Vapourtec module.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
RunReactor,Class,VapourtecFunction,IS-A,,,,The function to run the reactor.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
CleanReactor,Class,VapourtecFunction,IS-A,,,,The function to clean the reactor.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
GetState,Class,VapourtecFunction,IS-A,,,,The function to retrieve the state of Vapourtec module.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
FaultRecovery,Class,VapourtecFunction,IS-A,,,,The function to recover Vapourtec module from fault.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
StartFlowCommander,Class,https://saref.etsi.org/core/Command,IS-A,,,,"The command to realise the ""Launch"" function.",https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
ConnectToFlowCommander,Class,https://saref.etsi.org/core/Command,IS-A,,,,"The command to realise the ""Connection"" function.",https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
LoadExperiment,Class,https://saref.etsi.org/core/Command,IS-A,,,,"The command to realise the ""RunReactor"" function.",https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
ClearReactions,Class,https://saref.etsi.org/core/Command,IS-A,,,,"The command to realise the ""CleanReactor"" function.",https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
GetCommand,Class,https://saref.etsi.org/core/Command,IS-A,,,,"The command to realise the ""GetState"" function.",https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
FaultRecoveryCommand,Class,https://saref.etsi.org/core/Command,IS-A,,,,"The command to realise the ""FaultRecovery"" function.",https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
Null,Class,VapourtecState,IS-A,,,,The state indicates the unknown status of Vapourtec module as the FlowCommander is not yet started.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
Inactive,Class,VapourtecState,IS-A,,,,The state indicates the situation where the FlowCommander is started but its connection with the Vapourtec module is not yet established.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
Idle,Class,VapourtecState,IS-A,,,,The state indicates the Vapourtec module is idle and available for the next reaction.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
RunningReaction,Class,VapourtecState,IS-A,,,,The state indicates the Vapourtec module is currently running a reaction.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
ReactionCompleted,Class,VapourtecState,IS-A,,,,The state indicates the Vapourtec module has just completed a reaction.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
CleaningReaction,Class,VapourtecState,IS-A,,,,The state indicates the Vapourtec module is cleaning the reactor.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
Faulty,Class,VapourtecState,IS-A,,,,The state indicates the Vapourtec module is out of service.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
ExpFilePath,Class,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl#Argument,IS-A,,,,The argument that points to the file path of the experiment conditions to be executed by the Vapourtec module.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl#consistsOf,Object Property,,,VapourtecRS400,VapourtecR4Reactor,minimum 1,The relation indicates VapourtecR4Reactor is a part of VapourtecRS400.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,
https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl#consistsOf,Object Property,,,VapourtecRS400,VapourtecR2Pump,minimum 1,The relation indicates VapourtecR2Pump is a part of VapourtecRS400.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,
https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl#consistsOf,Object Property,,,VapourtecRS400,AutoSampler,maximum 1,The relation indicates AutoSampler is a part of VapourtecRS400.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,
hasReactorMaterial,Object Property,,,VapourtecR4Reactor,http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_behavior/behavior.owl#MaterialAmount,only,The relation between Vapourtec R4 reactor and the material from which it was made.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
hasInternalDiameter,Object Property,,,VapourtecR4Reactor,http://www.ontology-of-units-of-measure.org/resource/om-2/Diameter,exactly 1,The relation between Vapourtec R4 reactor and its internal diameter.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
hasReactorLength,Object Property,,,VapourtecR4Reactor,http://www.ontology-of-units-of-measure.org/resource/om-2/Length,exactly 1,The relation between Vapourtec R4 reactor and its reactor length.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
hasReactorVolume,Object Property,,,VapourtecR4Reactor,http://www.ontology-of-units-of-measure.org/resource/om-2/Volume,exactly 1,The relation between Vapourtec R4 reactor and its volume.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl#specifiedBy,Object Property,,,VapourtecR4Reactor,ReactorSettings,maximum 1,The relation between Vapourtec R4 reactor and its settings at which the reactor is desired to be.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,
https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl#specifies,Object Property,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl#specifiedBy,INVERSE-OF,ReactorSettings,VapourtecR4Reactor,maximum 1,The relation between reactor settings and the Vapourtec R4 reactor which the settings specify.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,
hasReactorTemperatureSetting,Object Property,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl#hasSetting,IS-A,ReactorSettings,ReactorTemperatureSetting,maximum 1,The relation between reactor settings and specific reactor temperature setting.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
hasResidenceTimeSetting,Object Property,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl#hasSetting,IS-A,ReactorSettings,ResidenceTimeSetting,maximum 1,The relation between reactor settings and specific reactor residence time setting.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
hasFlowRateSetting,Object Property,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl#hasSetting,IS-A,PumpSettings,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl#FlowRateSetting,maximum 1,The relation between pump settings and specific flow rate setting.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
hasSampleLoopVolumeSetting,Object Property,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl#hasSetting,IS-A,PumpSettings,SampleLoopVolumeSetting,maximum 1,The relation between pump settings and specific sample loop volume setting.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
pumpsLiquidFrom,Object Property,,,PumpSettings,AutoSamplerSite,maximum 1,The relation indicates which auto sampler site the pump extracts liquid from.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl#hasQuantity,Object Property,,,ReactorTemperatureSetting,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl#ReactionTemperature,exactly 1,The relation between the reactor temperature setting and the quantity it refers to following the units of measure practice.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,
https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl#hasQuantity,Object Property,,,ResidenceTimeSetting,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontorxn/OntoRxn.owl#ResidenceTime,exactly 1,The relation between the reactor residence time setting and the quantity it refers to following the units of measure practice.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,
https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl#hasQuantity,Object Property,,,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl#FlowRateSetting,http://www.ontology-of-units-of-measure.org/resource/om-2/VolumetricFlowRate,exactly 1,The relation between the flow rate setting and the quantity it refers to following the units of measure practice.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,
https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl#hasQuantity,Object Property,,,SampleLoopVolumeSetting,http://www.ontology-of-units-of-measure.org/resource/om-2/Volume,exactly 1,The relation between the sample loop volume setting and the quantity it refers to following the units of measure practice.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,
hasSite,Object Property,,,AutoSampler,AutoSamplerSite,only,The relation between the auto sampler and the sites it has.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
holds,Object Property,,,AutoSamplerSite,Vial,maximum 1,The relation between the auto sampler site and the vial it holds.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
isHeldIn,Object Property,holds,INVERSE-OF,Vial,AutoSamplerSite,maximum 1,The relation between the vial and the auto sampler site where it locates.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
hasWarningLevel,Object Property,,,Vial,http://www.ontology-of-units-of-measure.org/resource/om-2/Volume,exactly 1,The relation indicates the liquid level of a vial below which a warning to researcher should be sent.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
hasFillLevel,Object Property,,,Vial,http://www.ontology-of-units-of-measure.org/resource/om-2/Volume,exactly 1,The relation indicates the current filling level of a vial.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
hasMaxLevel,Object Property,,,Vial,http://www.ontology-of-units-of-measure.org/resource/om-2/Volume,exactly 1,The relation indicates the maximum filling level of a vial.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
isFilledWith,Object Property,,,Vial,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl#ChemicalSolution,maximum 1,The relation between the vial and the chemical solution it contains.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
fills,Object Property,isFilledWith,INVERSE-OF,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl#ChemicalSolution,Vial,only,The relation between the chemical solution and the vial where it locates.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontovapourtec/OntoVapourtec.owl,
https://saref.etsi.org/core/offers,Object Property,,,VapourtecRS400,FlowCommander,only,The relation between the VapourtecRS400 and the FlowCommander service it offers.,https://saref.etsi.org/core/v3.1.1/,
https://saref.etsi.org/core/isOfferedBy,Object Property,https://saref.etsi.org/core/offers,INVERSE-OF,FlowCommander,VapourtecRS400,only,The relation between FlowCommander service and the VapourtecRS400 that offers the service.,https://saref.etsi.org/core/v3.1.1/,
https://saref.etsi.org/core/represents,Object Property,,,FlowCommander,VapourtecFunction,only,The relation between FlowCommander service and its functions.,https://saref.etsi.org/core/v3.1.1/,
https://saref.etsi.org/core/accomplishes,Object Property,,,VapourtecRS400,FlowChemistry,some,The relation between VapourtecRS400 and the flow chemistry task it can conduct.,https://saref.etsi.org/core/v3.1.1/,
https://saref.etsi.org/core/isAccomplishedBy,Object Property,https://saref.etsi.org/core/accomplishes,INVERSE-OF,FlowChemistry,VapourtecRS400,some,The relation identifies that the VapourtecRS400 that can accomplish the flow chemistry task.,https://saref.etsi.org/core/v3.1.1/,
