Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By
OntoWebFile,TBox,http://www.theworldavatar.com/ontology/ontowebfile/OntoWebFile.owl,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,
OntoWebFile,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,
OntoWebFile,TBox,An ontology developed for representing a Web file.,http://www.w3.org/2000/01/rdf-schema#comment,,,,,
OntoWebFile,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,
File,Class,,,,,,A generic file concept stored at some location.,http://www.theworldavatar.com/ontology/ontowebfile/OntoWebFile.owl
WebServer,Class,,,,,,A generic web server concept hosted at some address.,http://www.theworldavatar.com/ontology/ontowebfile/OntoWebFile.owl
hasFile,Object Property,,,,File,only,A relation betwenn  a class in an ontology and an online File.,http://www.theworldavatar.com/ontology/ontowebfile/OntoWebFile.owl
isLocatedAt,Object Property,,,File,WebServer,only,A relation betwenn  a File  and a WebServer the file is located on.,http://www.theworldavatar.com/ontology/ontowebfile/OntoWebFile.owl
hasFilePath,Data Property,,,File,String,only,Location of a file on the web server.,http://www.theworldavatar.com/ontology/ontowebfile/OntoWebFile.owl
hasBaseURL,Data Property,,,WebServer,String,only,Address of the web server.,http://www.theworldavatar.com/ontology/ontowebfile/OntoWebFile.owl
hasPort,Data Property,,,WebServer,integer,only,Port number that the web server takes the requests from.,http://www.theworldavatar.com/ontology/ontowebfile/OntoWebFile.owl
