Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoAssetManagement,TBox,https://www.theworldavatar.com/kg/ontoassetmanagement/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoAssetManagement,TBox,1.1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoAssetManagement,TBox,OntoAssetManagement is an ontology that is designed to represent asset and its related information (e.g. purchase documents).,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoAssetManagement,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
DeliveryOrder,Class,http://xmlns.com/foaf/0.1/Document,IS-A,,,,A legal document that authorizes the transportation of goods from one location to another. ,https://www.theworldavatar.com/kg/ontoassetmanagement/,Delivery order
PurchaseRequisition,Class,http://xmlns.com/foaf/0.1/Document,IS-A,,,,An official order used to inform department managers or purchasing officers about a decision to make a purchase.,https://www.theworldavatar.com/kg/ontoassetmanagement/,Purchase requisition
Quotation,Class,http://xmlns.com/foaf/0.1/Document,IS-A,,,,A document that list the bids or prices of an item (Product or service) offered by a business.,https://www.theworldavatar.com/kg/ontoassetmanagement/,Quotation
DataSheet,Class,http://xmlns.com/foaf/0.1/Document,IS-A,,,,"A document that summarizes the performance and other characteristics of a product, machine, component, material, subsystem, or software in sufficient detail.",https://www.theworldavatar.com/kg/ontoassetmanagement/,Data sheet
SpecSheet,Class,DataSheet,IS-A,,,,"A document that summarizes the specifications of a product, machine, component, material, subsystem, or software in sufficient detail.",https://www.theworldavatar.com/kg/ontoassetmanagement/,Spec sheet
Manual,Class,DataSheet,IS-A,,,,"A document that provides step-by-step instructions for how to use a product, machine, component, subsystem, or software in sufficient detail.",https://www.theworldavatar.com/kg/ontoassetmanagement/,Manual
ProformaInvoice,Class,https://purl.org/p2p-o/document#E-Invoice,IS-A,,,,"A document provided before or with a shipment of goods. It describes the items and terms of sale, but does not serve the function of a real invoice.",https://www.theworldavatar.com/kg/ontoassetmanagement/,Proforma invoice
DeliveryOrderLine,Class,https://purl.org/p2p-o/documentline#DocumentLine,IS-A,,,,"This provides information on a document line level about the quantity of an item, price of an item and others for a delivery order.",https://www.theworldavatar.com/kg/ontoassetmanagement/,Delivery order line
PurchaseRequisitionLine,Class,https://purl.org/p2p-o/documentline#DocumentLine,IS-A,,,,"This provides information on a document line level about the quantity of an item, price of an item and others for a purchase requisition.",https://www.theworldavatar.com/kg/ontoassetmanagement/,Purchase requisition line
QuotationLine,Class,https://purl.org/p2p-o/documentline#DocumentLine,IS-A,,,,"This provides information on a document line level about the quantity of an item, price of an item and others for a quotation.",https://www.theworldavatar.com/kg/ontoassetmanagement/,Quotation line
Attachment,Class,,,,,,A file that provides additional information pertaining to a document.,https://www.theworldavatar.com/kg/ontoassetmanagement/,Attachment
Workspace,Class,,,,,,A space in which to work.,https://www.theworldavatar.com/kg/ontoassetmanagement/,Workspace
ApprovingParty,Class,https://spec.edmcouncil.org/fibo/ontology/FND/Parties/Parties/PartyInRole,IS-A,,,,A party designated to make certain decisions and give/provide certain approvals.,https://www.theworldavatar.com/kg/ontoassetmanagement/,Approving party
ValidatingParty,Class,https://spec.edmcouncil.org/fibo/ontology/FND/Parties/Parties/PartyInRole,IS-A,,,,A party designated to carry out evaluations and ensure that certain standards/requirements are met.,https://www.theworldavatar.com/kg/ontoassetmanagement/,Validating party
PaymentTerms,Class,,,,,,Terms pertaining to how and when customers pay for products or services.,https://www.theworldavatar.com/kg/ontoassetmanagement/,Payment terms
DeliveryDetails,Class,,,,,,"Details pertaining to the delivery of a product or service (e.g. estimated delivery date, delivery location).",https://www.theworldavatar.com/kg/ontoassetmanagement/,Delivery details
ImportDuties,Class,Tax,IS-A,,,,A payment levied on the import of goods.,https://www.theworldavatar.com/kg/ontoassetmanagement/,Import duties
DeliveryMethod,Class,,,,,,A method of delivery for an item (e.g. products or services).,https://www.theworldavatar.com/kg/ontoassetmanagement/,Delivery method
PriceDetails,Class,,,,,,Details pertaining to the price associated a purchase.,https://www.theworldavatar.com/kg/ontoassetmanagement/,Price details
Tax,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney,IS-A,,,,"A compulsory contribution to state revenue, levied by the government on workers income and business profits, or added to the cost of some goods, services, and transactions.",https://www.theworldavatar.com/kg/ontoassetmanagement/,Tax
TaxRate,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Percentage,IS-A,,,,"A compulsory contribution to state revenue stated in percentage, levied by the government on workers income and business profits, or added to the cost of some goods, services, and transactions.",https://www.theworldavatar.com/kg/ontoassetmanagement/,Tax rate
Discount,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney,IS-A,,,,A deduction from the usual price/cost of something.,https://www.theworldavatar.com/kg/ontoassetmanagement/,Discount
Price,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney,IS-A,,,,"The amount of money expected, required, or given in payment for something. ",https://www.theworldavatar.com/kg/ontoassetmanagement/,Price
UnitPrice,Class,Price,IS-A,,,,Price per individual product or service.,https://www.theworldavatar.com/kg/ontoassetmanagement/,Unit price
DiscountedUnitPrice,Class,Price,IS-A,,,,Discounted price of one unit of a product or service.,https://www.theworldavatar.com/kg/ontoassetmanagement/,Discounted unit price
TotalDiscountedPretaxPrice,Class,Price,IS-A,,,,Total price of a purchase including discount and excluding tax.,https://www.theworldavatar.com/kg/ontoassetmanagement/,Total discounted pretax price
HomeTotalDiscountedAfterTaxPrice,Class,Price,IS-A,,,,"Total Price of a purchase including tax and discount, converted to a local currency.",https://www.theworldavatar.com/kg/ontoassetmanagement/,Home total discounted after-tax price
MaintenanceSchedule,Class,,,,,,"A maintenance schedule tells and records when an asset is scheduled for maintenance, when was it last maintained, who performs the maintenance etc.",https://www.theworldavatar.com/kg/ontoassetmanagement/,Maintenance schedule
MaintenanceTask,Class,,,,,,"A small, identifiable piece of work that indicates the actions one must take to complete a maintenance work order.",https://www.theworldavatar.com/kg/ontoassetmanagement/,Maintenance task
AssetUpdateHistory,Class,,,,,,A record of updates applied to the information of an asset.,https://www.theworldavatar.com/kg/ontoassetmanagement/,Asset update history
AssetDataUpdate,Class,,,,,,An update applied to the information of an asset.,https://www.theworldavatar.com/kg/ontoassetmanagement/,Asset data update
Furniture,Class,https://w3id.org/bot#Element,IS-A,,,,"Objects intended to support various human activities such as seating (e.g., stools, chairs, and sofas ), eating ( tables ), storing items, working, and sleeping (e.g., beds and hammocks ). ",https://www.theworldavatar.com/kg/ontoassetmanagement/,Furniture
Cabinet,Class,Furniture,IS-A,,,,A case or cupboard with shelves and/or drawers for storing or displaying items.,https://www.theworldavatar.com/kg/ontoassetmanagement/,Cabinet
BuiltInCabinet,Class,Cabinet,IS-A,,,,A case or cupboard that is integrated as part of a building structure (e.g. a wall).,https://www.theworldavatar.com/kg/ontoassetmanagement/,Built-in cabinet
PedestalCabinet,Class,Cabinet,IS-A,,,,A case or cupboard that is mobile and usually integrated with wheel castors.,https://www.theworldavatar.com/kg/ontoassetmanagement/,Pedestal cabinet
Project,Class,,,,,,"Any undertaking, carried out individually or collaboratively and possibly involving research or design, that is carefully planned to achieve a particular goal.",https://www.theworldavatar.com/kg/ontoassetmanagement/,Project
ResearchGrant,Class,,,,,, A grant obtained for conducting scientific research generally through a competitive process.,https://www.theworldavatar.com/kg/ontoassetmanagement/,Research grant
Budget,Class,,,,,,The amount of money needed or available for a purpose. ,https://www.theworldavatar.com/kg/ontoassetmanagement/,Budget
BudgetCategory,Class,,,,,,A sub-divison of a budget allocated for a more specific purpose.,https://www.theworldavatar.com/kg/ontoassetmanagement/,Budget category
ServiceCode,Class,,,,,,An attribute that describes the service code of a budget category.,https://www.theworldavatar.com/kg/ontoassetmanagement/,Service code
ServiceCategory,Class,,,,,,An attribute that describes the service category of a budget category.,https://www.theworldavatar.com/kg/ontoassetmanagement/,Service category
UserDefinedCategory,Class,,,,,,A custom category assigned to an element or technical system.,https://www.theworldavatar.com/kg/ontoassetmanagement/,User defined category
isCategorizedUnder,Object Property,,,https://w3id.org/bot#Element UNION http://www.theworldavatar.com/ontology/ontocape/upper_level/technical_system.owl#TechnicalSystem,UserDefinedCategory,,A relationship which describes the user defined category assigned to an element or technical system. ,https://www.theworldavatar.com/kg/ontoassetmanagement/,is categorized under
isManagedBy,Object Property,,,https://w3id.org/bot#Zone,https://spec.edmcouncil.org/fibo/ontology/FND/Organizations/Organizations/Organization,,"A relationship which describes the organization that manages a zone (building, room etc).",https://www.theworldavatar.com/kg/ontoassetmanagement/,is managed by
hasAssetUpdate,Object Property,,,AssetUpdateHistory,AssetDataUpdate,,A relationship which describes the updates recorded in an asset update history.,https://www.theworldavatar.com/kg/ontoassetmanagement/,has asset update
previouslyAssignedTo,Object Property,,,https://w3id.org/bot#Element UNION http://www.theworldavatar.com/ontology/ontocape/upper_level/technical_system.owl#TechnicalSystem,https://spec.edmcouncil.org/fibo/ontology/FND/Parties/Parties/IndependentParty,,A relationship which describes who the asset was previously assigned to.,https://www.theworldavatar.com/kg/ontoassetmanagement/,previously assigned to
wasExecutedBy,Object Property,,,AssetDataUpdate,https://spec.edmcouncil.org/fibo/ontology/FND/Parties/Parties/IndependentParty,,A relationship which describes the party that updated the assets information.,https://www.theworldavatar.com/kg/ontoassetmanagement/,was executed by
hasUpdateHistory,Object Property,,,https://w3id.org/bot#Element UNION http://www.theworldavatar.com/ontology/ontocape/upper_level/technical_system.owl#TechnicalSystem,AssetUpdateHistory,,A relationship that describes the update history of something.,https://www.theworldavatar.com/kg/ontoassetmanagement/,has update history
allocatedTo,Object Property,,,https://w3id.org/bot#Element UNION http://www.theworldavatar.com/ontology/ontocape/upper_level/technical_system.owl#TechnicalSystem,Project,,A relationship which describes the project that an asset is allocated to.,https://www.theworldavatar.com/kg/ontoassetmanagement/,allocated to
hasSubproject,Object Property,,,Project,Project,,A relationship which describes smaller projects under a larger one.,https://www.theworldavatar.com/kg/ontoassetmanagement/,has subproject
hasMembers,Object Property,,,Project,https://spec.edmcouncil.org/fibo/ontology/FND/Parties/Parties/IndependentParty,,A relationship which describes the members under a project.,https://www.theworldavatar.com/kg/ontoassetmanagement/,has members
