Source,Type,Target,Relation,Value,Data Type
ABoxOntoAssetManagement,Ontology,https://www.theworldavatar.com/kg/ontoassetmanagement,http://www.w3.org/2002/07/owl#imports,,
ABoxOntoAssetManagement,Ontology,https://www.theworldavatar.com/kg/ontoassetmanagement,base,,
DeliveryModeFreight,Instance,https://www.theworldavatar.com/kg/ontoassetmanagement/DeliveryMethod,,,
DeliveryModeMail,Instance,https://www.theworldavatar.com/kg/ontoassetmanagement/DeliveryMethod,,,
DeliveryModeOwnFleet,Instance,https://www.theworldavatar.com/kg/ontoassetmanagement/DeliveryMethod,,,
DeliveryModePickUp,Instance,https://www.theworldavatar.com/kg/ontoassetmanagement/DeliveryMethod,,,
DHL,Instance,https://spec.edmcouncil.org/fibo/ontology/FND/Organizations/FormalOrganizations/FormalOrganization,,,
UnitedParcelService,Instance,https://spec.edmcouncil.org/fibo/ontology/FND/Organizations/FormalOrganizations/FormalOrganization,,,
http://www.w3.org/2004/02/skos/core#altLabel,Data Property,UnitedParcelService,,UPS,String
FederalExpress,Instance,https://spec.edmcouncil.org/fibo/ontology/FND/Organizations/FormalOrganizations/FormalOrganization,,,
http://www.w3.org/2004/02/skos/core#altLabel,Data Property,FederalExpress,,FedEx,String
LabEquipment,Instance,https://www.theworldavatar.com/kg/ontoassetmanagement/UserDefinedCategory,,,
Laptop,Instance,https://www.theworldavatar.com/kg/ontoassetmanagement/UserDefinedCategory,,,
OtherIT,Instance,https://www.theworldavatar.com/kg/ontoassetmanagement/UserDefinedCategory,,,
Workstation,Instance,https://www.theworldavatar.com/kg/ontoassetmanagement/UserDefinedCategory,,,
Monitor,Instance,https://www.theworldavatar.com/kg/ontoassetmanagement/UserDefinedCategory,,,
Printer,Instance,https://www.theworldavatar.com/kg/ontoassetmanagement/UserDefinedCategory,,,
