Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoBIM,TBox,https://www.theworldavatar.com/kg/ontobim/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoBIM,TBox,1.2,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoBIM,TBox,"The Building Information Modelling ontology (OntoBIM) is an ontology developed to represent the detailed information and spatial relationships of buildings and their components (walls, doors, roofs, furniture, equipment) that is available in the Industry Foundation Classes (IFC) data schema. Information about their individual characteristics such as material, readings, and dimensions is combined from IFC or other data sources.",http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoBIM,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
CompoundPlaneAngle,Class,https://www.ontology-of-units-of-measure.org/resource/om-2/Angle,IS-A,,,,"A compound measure of the plane angle in degrees, minutes, seconds, and optionally micro-seconds of arc, as defined in IfcCompoundPlaneAngleMeasure. This quantity class is intended to work only for IFC models.",https://www.theworldavatar.com/kg/ontobim/,Compound Plane Angle
https://www.purl.org/oema/infrastructure/Building,Class,https://w3id.org/bot#Building,EQUIVALENT-TO,,,,,https://www.purl.org/oema/infrastructure/,
CartesianPoint,Class,,,,,,A point defined by its coordinates in a two or three dimensional rectangular Cartesian coordinate system. Its IFC equivalent is IfcCartesianPoint.,https://www.theworldavatar.com/kg/ontobim/,Cartesian Point
CartesianTransformationOperator,Class,,,,,,"This class defines a geometric transformation in two- or three-dimensional space composed of translation, rotation, mirroring and uniform scaling. Its closest equivalent is IfcCartesianTransformationOperator2D or IfcCartesianTransformationOperator3D.",https://www.theworldavatar.com/kg/ontobim/,Cartesian Transformation Operator
ClosedShell,Class,,,,,,"Defines a shell of dimensionality 2, that typically serves as a bound for a region. It is usually represented by a collection of faces. Its IFC equivalent is IfcClosedShell.",https://www.theworldavatar.com/kg/ontobim/,Closed Shell
DirectionVector,Class,,,,,,Defines a general direction vector in two or three dimensional space based on direction ratios. Its IFC equivalent is IfcDirection.,https://www.theworldavatar.com/kg/ontobim/,Direction Vector
GeometricRepresentation ,Class,,,,,,"A representation of the element that describes the shape of each element, with additional meaning of having geometric position, orientation, or both.",https://www.theworldavatar.com/kg/ontobim/,Geometric Representation 
BooleanClippingResult,Class,GeometricRepresentation,IS-A,,,,"Defines a solid that is created as a result of the Boolean difference between a solid (restricted to swept area solid) and a half space solid. The solid is the regularization of the set of all points which are in the first operand/geometry, but not in the second operand. More than one difference operation can be applied to achieve this solid. Its IFC equivalent is IfcBooleanClippingResult.",https://www.theworldavatar.com/kg/ontobim/,Boolean Clipping Result
