Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoBMS,TBox,https://www.theworldavatar.com/kg/ontobms/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoBMS,TBox,1.5,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoBMS,TBox,OntoBMS is an ontology for Building Management Systems.,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoBMS,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
https://www.theworldavatar.com/kg/ontodevice/Device,Class,,IS-A,,,,,https://www.theworldavatar.com/kg/ontodevice/,Device
BuildingDevice,Class,https://www.theworldavatar.com/kg/ontodevice/Device,IS-A,,,,A tangible object designed to accomplish a particular task in a building.,https://www.theworldavatar.com/kg/ontobms/,Building device
HVAC,Class,https://www.theworldavatar.com/kg/ontodevice/Device,IS-A,,,,"Heating, Ventilation and Air Conditioning (HVAC) device that provides indoor environmental comfort.",https://www.theworldavatar.com/kg/ontobms/,HVAC
MakeupAirUnit,Class,HVAC,IS-A,,,,A device that provide a consistent and controlled solution to replacing the air within the space.,https://www.theworldavatar.com/kg/ontobms/,Makeup air unit
AirHandlingUnit,Class,HVAC,IS-A,,,,A device that condition and distribute air within a building. ,https://www.theworldavatar.com/kg/ontobms/,Air handling unit
FanCoilUnit,Class,HVAC,IS-A,,,,"A device that consists of a fan, a coil, and other components, that are used to cool or heat the air recirculating within a room.",https://www.theworldavatar.com/kg/ontobms/,Fan coil unit
VAVSystem,Class,HVAC,IS-A,,,,A Variable Air Volume System that vary the airflow at a constant or varying temperature.,https://www.theworldavatar.com/kg/ontobms/,VAV system
CAVSystem,Class,HVAC,IS-A,,,,A Constant Air Volume System that supply a constant airflow at a variable temperature.,https://www.theworldavatar.com/kg/ontobms/,CAV system
Plenum,Class,HVAC,IS-A,,,,"A separate space provided for air circulation for heating, ventilation, and air-conditioning.",https://www.theworldavatar.com/kg/ontobms/,Plenum
DistributionDevice,Class,BuildingDevice,IS-A,,,,Generalization of all devices that participate in a distribution system.,https://www.theworldavatar.com/kg/ontobms/,Distribution device
DistributionFlowDevice,Class,DistributionDevice,IS-A,,,,"Represents devices of a distribution system that facilitate the distribution of energy or matter, such as air, water or power.",https://www.theworldavatar.com/kg/ontobms/,Distribution flow device
DistributionControlDevice,Class,DistributionDevice,IS-A,,,,Represents devices of a building automation control system that are used to impart control over elements of a distribution system.,https://www.theworldavatar.com/kg/ontobms/,Distribution control device
Controller,Class,DistributionControlDevice,IS-A,,,,A controller is a device that monitors inputs and controls outputs within a building automation system.,https://www.theworldavatar.com/kg/ontobms/,Controller
FlowTreatmentDevice,Class,DistributionFlowDevice,IS-A,,,,"A device typically used to remove unwanted matter from a fluid, either liquid or gas, and typically participates in a flow distribution system.",https://www.theworldavatar.com/kg/ontobms/,Flow treatment device
