Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoBPR,TBox,https://www.theworldavatar.com/kg/ontobpr/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoBPR,TBox,1.2,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoBPR,TBox,OntoBPR is an ontology developed for expressing a back pressure regulator.,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoBPR,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
BackPressureRegulator,Class,https://www.theworldavatar.com/kg/ontolab/LabEquipment,IS-A,,,,The device that is used to control the back pressure of a reactor.,https://www.theworldavatar.com/kg/ontobpr/,
ReactorPressureControl,Class,https://saref.etsi.org/core/Task,IS-A,,,,The task to control the reactor pressure based on its setting. Reactor pressure control is modelled as a saref:Task that can be accomplished by BackPressureRegulator.,https://www.theworldavatar.com/kg/ontobpr/,
PressureAdjustment,Class,https://saref.etsi.org/core/Function,IS-A,,,,The function to adjust the reactor pressure.,https://www.theworldavatar.com/kg/ontobpr/,
PressureAdjustmentCommand,Class,https://saref.etsi.org/core/Command,IS-A,,,,The command to adjust the reactor pressure.,https://www.theworldavatar.com/kg/ontobpr/,
https://saref.etsi.org/core/accomplishes,Object Property,,,BackPressureRegulator,ReactorPressureControl,,The relation between BackPressureRegulator and the reactor pressure control task it can conduct.,https://saref.etsi.org/core/v3.1.1/,
https://saref.etsi.org/core/isAccomplishedBy,Object Property,https://saref.etsi.org/core/accomplishes,INVERSE-OF,ReactorPressureControl,BackPressureRegulator,,The relation identifies that the BackPressureRegulator that can accomplish the reactor pressure control task.,https://saref.etsi.org/core/v3.1.1/,
https://saref.etsi.org/core/hasFunction,Object Property,,,BackPressureRegulator,PressureAdjustment,,The relation identifies the function of BackPressureRegulator.,https://saref.etsi.org/core/v3.1.1/,
https://saref.etsi.org/core/hasCommand,Object Property,,,PressureAdjustment,PressureAdjustmentCommand,,The relation between PressureAdjustment function and PressureAdjustmentCommand command.,https://saref.etsi.org/core/v3.1.1/,
https://saref.etsi.org/core/isCommandOf,Object Property,https://saref.etsi.org/core/hasCommand,INVERSE-OF,PressureAdjustmentCommand,PressureAdjustment,,The relation between PressureAdjustmentCommand command and PressureAdjustment function it can achieve.,https://saref.etsi.org/core/v3.1.1/,
