Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoBuildableSpace,TBox,https://www.theworldavatar.com/kg/ontobuildablespace/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoBuildableSpace,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoBuildableSpace,TBox,OntoBuildableSpace is an ontology developed to describe the attributes of land plots and their buildable spaces.,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoBuildableSpace,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
AbsoluteHeight,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Height,IS-A,,,,Absolute Height defines Buildable Space volume in meters. Absolute Height may be derived from number of storeys linked to Storey Aggregate and each storey&apos;s Floor To Floor Height.,https://www.theworldavatar.com/kg/ontobuildablespace/,
AverageDepth,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Depth,IS-A,,,,Average depth represent average plot depth resulting from averaging sample depths along the plot&apos;s front edges,https://www.theworldavatar.com/kg/ontobuildablespace/,
AverageWidth ,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Width,IS-A,,,,Average width represent average plot width resulting from averaging sample widths along the plot&apos;s side edges.,https://www.theworldavatar.com/kg/ontobuildablespace/,
BuildableSpace,Class,,,,,,"Buildable Space is the maximum allowable space on a plot that can built up according to relevant planning regulations. Buildable spaces may be linked to a Zone, LandUse or a particular Programme if there exist specific regulations. For instance, a plot on which flat and condominium developments are allowed, will have two buildable spaces - one for condominium and one for flat as a product of unique planning regulation combinations.",https://www.theworldavatar.com/kg/ontobuildablespace/,
FloorToFloorHeight,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Height,IS-A,,,,"A Floor To Floor Height defines the storey height, from current storey floor to the floor of the next storey.",https://www.theworldavatar.com/kg/ontobuildablespace/,
Footprint,Class,,,,,,Footprint defines a boundary within which a specific storey exist.,https://www.theworldavatar.com/kg/ontobuildablespace/,
FootprintArea,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Area,IS-A,,,,Allowed Footprint Area linked to a specific storey.,https://www.theworldavatar.com/kg/ontobuildablespace/,
GrossFloorArea,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Area,IS-A,,,,Allowed Gross Floor Area is a sum of all allowed Footprint Areas for a specific Buildable Space.,https://www.theworldavatar.com/kg/ontobuildablespace/,
GrossPlotRatio,Class,,,,,,As defined in https://www.ura.gov.sg/-/media/Corporate/Planning/Master-Plan/MP19writtenstatement.pdf,https://www.theworldavatar.com/kg/ontobuildablespace/,
Setback,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Distance,IS-A,,,,Setback defines distances that any development needs to be setbacked from plot boundary.,https://www.theworldavatar.com/kg/ontobuildablespace/,
FrontSetback,Class,Setback,IS-A,,,,Front Setback applies to plot&apos;s side that has the main entrance facing the road.,https://www.theworldavatar.com/kg/ontobuildablespace/,
RearSetback,Class,Setback,IS-A,,,,Rear Setback applies to plot side that is opposite of plot&apos;s front side.,https://www.theworldavatar.com/kg/ontobuildablespace/,
RoadBuffer,Class,Setback,IS-A,,,,Road Buffer refers to setbacks related to adjecent road category instead of plot sides. Plot may have more than one road buffer if it is adjacent to multiple road plots.,https://www.theworldavatar.com/kg/ontobuildablespace/,
