Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoBuildingStructure,TBox,https://www.theworldavatar.com/kg/ontobuildingstructure/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoBuildingStructure,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoBuildingStructure,TBox,"The Building Structure ontology (OntoBuildingStructure) is an ontology developed to represent the building structural components (walls, doors, slabs, roofs, stairs) and their individual characteristics such as dimensions and qualities.",http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoBuildingStructure,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
RoofFacade,Class,,,,,,The visible surface of a building's roof at aerial view. It can comprise of several roofs.,https://www.theworldavatar.com/kg/ontobuildingstructure/,Roof Facade
WallFacade,Class,,,,,,The frontage  of a building. It can comprise of several walls.,https://www.theworldavatar.com/kg/ontobuildingstructure/,Wall Facade
NorthWallFacade,Class,WallFacade,IS-A,,,,The northern frontage  of a building. It can comprise of several walls.,https://www.theworldavatar.com/kg/ontobuildingstructure/,North Wall Facade
EastWallFacade,Class,WallFacade,IS-A,,,,The easthern frontage  of a building. It can comprise of several walls.,https://www.theworldavatar.com/kg/ontobuildingstructure/,East Wall Facade
SouthWallFacade,Class,WallFacade,IS-A,,,,The southern frontage  of a building. It can comprise of several walls.,https://www.theworldavatar.com/kg/ontobuildingstructure/,South Wall Facade
WestWallFacade,Class,WallFacade,IS-A,,,,The westhern frontage  of a building. It can comprise of several walls.,https://www.theworldavatar.com/kg/ontobuildingstructure/,West Wall Facade
BuildingStructureComponent,Class,https://w3id.org/bot#Element,IS-A,,,,"An abstract class defining the attached construction parts of a building that constitute the building, such as walls, built-in partitions, roofs, doors, and columns. Generally, the building and all of its structural components are treated as a whole when the building is acquired, constructed, reconstructed, or erected and first placed in service.",https://www.theworldavatar.com/kg/ontobuildingstructure/,Building Structure Component 
Column,Class,BuildingStructureComponent ,IS-A,,,,A vertical load-bearing structural member that is designed to support and transmit the load of the slab on the higher floors to the foundation through compression.,https://www.theworldavatar.com/kg/ontobuildingstructure/,Column
Ceiling,Class,BuildingStructureComponent ,IS-A,,,,"Upper interior surface component of any space in a construction, building, or infrastructure.",https://www.theworldavatar.com/kg/ontobuildingstructure/,Ceiling
Roof,Class,BuildingStructureComponent ,IS-A,,,,Construction enclosing the building from above.,https://www.theworldavatar.com/kg/ontobuildingstructure/,Roof
FlatRoof,Class,Roof,IS-A,,,,Roof with a slope angle that is less than 9.46 degree.,https://www.theworldavatar.com/kg/ontobuildingstructure/,Flat Roof
InclinedRoof,Class,Roof,IS-A,,,,Roof with a slope angle that is greater than or equal to 9.46 degree.,https://www.theworldavatar.com/kg/ontobuildingstructure/,Inclined Roof
Floor,Class,BuildingStructureComponent ,IS-A,,,,"Lower support component of any space in a construction, building, or infrastructure. It include a slab and flooring finish.",https://www.theworldavatar.com/kg/ontobuildingstructure/,Floor
Assembly,Class,BuildingStructureComponent ,IS-A,,,,"A building structure component that is composed of at least two other components, including assemblies. For example, a wall is an assembly that can consist of a door or window.",https://www.theworldavatar.com/kg/ontobuildingstructure/,Assembly
Wall,Class,Assembly,IS-A,,,,Vertical construction usually in masonry or in concrete which bounds or subdivides a construction works and fulfills a load bearing or retaining function. It is also an assembly that can host doors and windows.,https://www.theworldavatar.com/kg/ontobuildingstructure/,Wall
Window,Class,BuildingStructureComponent ,IS-A,,,,Construction for closing a vertical or near vertical opening in a wall or pitched roof that will admit light and may admit fresh air.,https://www.theworldavatar.com/kg/ontobuildingstructure/,Window
Door,Class,BuildingStructureComponent ,IS-A,,,,"Construction for closing an opening, intended primarily for access with hinged, pivoted or sliding operation.",https://www.theworldavatar.com/kg/ontobuildingstructure/,Door
Stair,Class,Assembly,IS-A,,,,"Construction comprising a succession of horizontal stages (steps or landings) that make it possible to pass on foot to other levels. It can be treater as an assembly consisting of the following types: stair flights, railings, landings, and stair structural components.",https://www.theworldavatar.com/kg/ontobuildingstructure/,Stair
StairFlight,Class,BuildingStructureComponent ,IS-A,,,,An assembly of building components in a single &quot;run&quot; of stair steps that are not interrupted by a landing.,https://www.theworldavatar.com/kg/ontobuildingstructure/,Stair Flight
Landing,Class,BuildingStructureComponent ,IS-A,,,,A floor section that is connected to one or more stair flights or ramp flights.,https://www.theworldavatar.com/kg/ontobuildingstructure/,Landing
Railing,Class,BuildingStructureComponent ,IS-A,,,,"A frame assembly that is adjacent to human circulation spaces and at some space boundaries, in which it is used in lieu of walls or to complement walls. It is usually designed to aid humans, either as an optional physical support, or to prevent injury by falling.",https://www.theworldavatar.com/kg/ontobuildingstructure/,Railing
StairStructuralComponent,Class,BuildingStructureComponent ,IS-A,,,,A structural member designed to carry loads between or beyond points of support for a staircase.,https://www.theworldavatar.com/kg/ontobuildingstructure/,Stair Structural Component 
RoofArea,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Area,IS-A,,,,The size of the roof on a building,https://www.theworldavatar.com/kg/ontobuildingstructure/,Roof Area
SolarSuitableRoofArea,Class,RoofArea,IS-A,,,,The size of the roof area of a building that is suitable for solar use.,https://www.theworldavatar.com/kg/ontobuildingstructure/,Solar Suitable Roof Area
TotalRoofArea ,Class,RoofArea,IS-A,,,,The total size of the roof of a building.,https://www.theworldavatar.com/kg/ontobuildingstructure/,Total Roof Area 
hasQuantity,"Object Property, Asymmetric Property",,,http://www.w3.org/2002/07/owl#Thing,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,,"Links any entity to a specific quantity defined in the OM ontology. This relationship is not intended to be stated explicitly, but inferred from its sub-properties. For application, only the sub-properties are used.",https://www.theworldavatar.com/kg/ontobuildingstructure/,has quantity
hasArea,"Object Property, Asymmetric Property",hasQuantity,IS-A,Roof,RoofArea,,A relationship between the roof of a building and the area it covers.,https://www.theworldavatar.com/kg/ontobuildingstructure/,has area of
hasOrientation,"Object Property, Asymmetric Property",hasQuantity,IS-A,InclinedRoof,http://www.ontology-of-units-of-measure.org/resource/om-2/Angle,,A relationship between a roof and its angle/position relative to the Sun.,https://www.theworldavatar.com/kg/ontobuildingstructure/,has orientation
