Source,Type,Target,Relation,Value,Data Type,
ABoxOntoBuiltEnv,Ontology,https://www.theworldavatar.com/kg/ontobuiltenv,http://www.w3.org/2002/07/owl#imports,,,
ABoxOntoBuiltEnv,Ontology,https://www.theworldavatar.com/kg/ontobuiltenv,base,,,
Detached_b5997912-1035-4284-ad40-cde44e438485,Instance,https://www.theworldavatar.com/kg/ontobuiltenv/Detached,,,,
Semi-Detached_b5997912-1035-4284-ad40-cde44e438485,Instance,https://www.theworldavatar.com/kg/ontobuiltenv/Semi-Detached,,,,
Terraced_b5997912-1035-4284-ad40-cde44e438485,Instance,https://www.theworldavatar.com/kg/ontobuiltenv/Terraced,,,,
House_b5997912-1035-4284-ad40-cde44e438485,Instance,https://www.theworldavatar.com/kg/ontobuiltenv/House,,,,
Bungalow_b5997912-1035-4284-ad40-cde44e438485,Instance,https://www.theworldavatar.com/kg/ontobuiltenv/Bungalow,,,,
ParkHome_b5997912-1035-4284-ad40-cde44e438485,Instance,https://www.theworldavatar.com/kg/ontobuiltenv/ParkHome,,,,
Maisonette_b5997912-1035-4284-ad40-cde44e438485,Instance,https://www.theworldavatar.com/kg/ontobuiltenv/Maisonette,,,,
Domestic_b5997912-1035-4284-ad40-cde44e438485,Instance,https://www.theworldavatar.com/kg/ontobuiltenv/Domestic,,,,
Non-Domestic_b5997912-1035-4284-ad40-cde44e438485,Instance,https://www.theworldavatar.com/kg/ontobuiltenv/Non-Domestic,,,,
SingleResidential_b5997912-1035-4284-ad40-cde44e438485,Instance,https://www.theworldavatar.com/kg/ontobuiltenv/SingleResidential,,,,
MultiResidential_b5997912-1035-4284-ad40-cde44e438485,Instance,https://www.theworldavatar.com/kg/ontobuiltenv/MultiResidential,,,,
EmergencyService_b5997912-1035-4284-ad40-cde44e438485,Instance,https://www.theworldavatar.com/kg/ontobuiltenv/EmergencyService,,,,
MedicalCare_b5997912-1035-4284-ad40-cde44e438485,Instance,https://www.theworldavatar.com/kg/ontobuiltenv/MedicalCare,,,,
Education_b5997912-1035-4284-ad40-cde44e438485,Instance,https://www.theworldavatar.com/kg/ontobuiltenv/Education,,,,
Office_b5997912-1035-4284-ad40-cde44e438485,Instance,https://www.theworldavatar.com/kg/ontobuiltenv/Office,,,,
RetailEstablishment_b5997912-1035-4284-ad40-cde44e438485,Instance,https://www.theworldavatar.com/kg/ontobuiltenv/RetailEstablishment,,,,
ReligiousFacility_b5997912-1035-4284-ad40-cde44e438485,Instance,https://www.theworldavatar.com/kg/ontobuiltenv/ReligiousFacility,,,,
IndustrialFacility_b5997912-1035-4284-ad40-cde44e438485,Instance,https://www.theworldavatar.com/kg/ontobuiltenv/IndustrialFacility,,,,
EatingEstablishment_b5997912-1035-4284-ad40-cde44e438485,Instance,https://www.theworldavatar.com/kg/ontobuiltenv/EatingEstablishment,,,,
DrinkingEstablishment_b5997912-1035-4284-ad40-cde44e438485,Instance,https://www.theworldavatar.com/kg/ontobuiltenv/DrinkingEstablishment,,,,
Hotel_b5997912-1035-4284-ad40-cde44e438485,Instance,https://www.theworldavatar.com/kg/ontobuiltenv/Hotel,,,,
SportsFacility_b5997912-1035-4284-ad40-cde44e438485,Instance,https://www.theworldavatar.com/kg/ontobuiltenv/SportsFacility,,,,
CulturalFacility_b5997912-1035-4284-ad40-cde44e438485,Instance,https://www.theworldavatar.com/kg/ontobuiltenv/CulturalFacility,,,,
TransportFacility_b5997912-1035-4284-ad40-cde44e438485,Instance,https://www.theworldavatar.com/kg/ontobuiltenv/TransportFacility,,,,
FireStation_b5997912-1035-4284-ad40-cde44e438485,Instance,https://www.theworldavatar.com/kg/ontobuiltenv/FireStation,,,,
PoliceStation_b5997912-1035-4284-ad40-cde44e438485,Instance,https://www.theworldavatar.com/kg/ontobuiltenv/PoliceStation,,,,
Hospital_b5997912-1035-4284-ad40-cde44e438485,Instance,https://www.theworldavatar.com/kg/ontobuiltenv/Hospital,,,,
Clinic_b5997912-1035-4284-ad40-cde44e438485,Instance,https://www.theworldavatar.com/kg/ontobuiltenv/Clinic,,,,
School_b5997912-1035-4284-ad40-cde44e438485,Instance,https://www.theworldavatar.com/kg/ontobuiltenv/School,,,,
University_b5997912-1035-4284-ad40-cde44e438485,Instance,https://www.theworldavatar.com/kg/ontobuiltenv/University,,,,
,,,,,,
,,,,,,
