Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoBuiltEnv,TBox,http://www.theworldavatar.com/ontology/ontobuiltenv/OntoBuiltEnv.owl,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoBuiltEnv,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoBuiltEnv,TBox,"The Building Environment ontology (OntoBuiltEnv) is an ontology developed for representing key information about buildings. It combines information about building usage, key construction characteristics, location and address, and estimated property value. More detailed geometric information can be retrieved from the associated OntoCityGml representation.",http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoBuiltEnv,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
http://www.purl.org/oema/infrastructure/Building,Class,http://ontology.eil.utoronto.ca/icity/Building/Building,EQUIVALENT-TO,,,,"A built structure with ground, roof, and walls which stands more or less permanently in one place.",http://www.theworldavatar.com/ontology/ontobuiltenv/OntoBuiltEnv.owl,
http://www.purl.org/oema/infrastructure/Building,Class,https://w3id.org/bot#Building,EQUIVALENT-TO,,,,,http://www.theworldavatar.com/ontology/ontobuiltenv/OntoBuiltEnv.owl,
http://www.purl.org/oema/infrastructure/Building,Class,https://standards.buildingsmart.org/IFC/DEV/IFC4/ADD2_TC1/OWL#IfcBuilding,EQUIVALENT-TO,,,,,http://www.theworldavatar.com/ontology/ontobuiltenv/OntoBuiltEnv.owl,
http://www.purl.org/oema/infrastructure/Building,Class,http://www.google.com/digitalbuildings/0.0.1/facilities#Building,EQUIVALENT-TO,,,,,http://www.theworldavatar.com/ontology/ontobuiltenv/OntoBuiltEnv.owl,
http://www.purl.org/oema/infrastructure/Building,Class,http://bimerr.iot.linkeddata.es/def/building#Building,EQUIVALENT-TO,,,,,http://www.theworldavatar.com/ontology/ontobuiltenv/OntoBuiltEnv.owl,
hasIdentifier,Data Property,,,http://www.purl.org/oema/infrastructure/Building,string,exactly 1,Unique identifier describing the building.,http://www.theworldavatar.com/ontology/ontobuiltenv/OntoBuiltEnv.owl,
hasWGS84LatitudeLongitude,Data Property,,,http://www.purl.org/oema/infrastructure/Building,http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,exactly 1,Location of building footprint centroid in WGS84 coordinates.,http://www.theworldavatar.com/ontology/ontobuiltenv/OntoBuiltEnv.owl,
AdministrativeDistrict,Class,,,,,,"An area defined for administrative purposes, e.g. a county or postal code district.",http://www.theworldavatar.com/ontology/ontobuiltenv/OntoBuiltEnv.owl,
hasAddress,Object Property,,,http://www.purl.org/oema/infrastructure/Building,http://ontology.eil.utoronto.ca/icontact.owl#Address,exactly 1,A relationship between a building and its address.,http://www.theworldavatar.com/ontology/ontobuiltenv/OntoBuiltEnv.owl,
hasAdministrativeDistrict,Object Property,,,http://ontology.eil.utoronto.ca/icontact.owl#Address,AdministrativeDistrict,,A relationship between an address and an encompassing administrative district.,http://www.theworldavatar.com/ontology/ontobuiltenv/OntoBuiltEnv.owl,
http://ontology.eil.utoronto.ca/icontact.owl#hasPostalCode,Data Property,,,http://ontology.eil.utoronto.ca/icontact.owl#Address,string,exactly 1,A relationship between an address and the respective postal code.,http://ontology.eil.utoronto.ca/icontact.owl,
http://ontology.eil.utoronto.ca/icontact.owl#hasStreet,Data Property,,,http://ontology.eil.utoronto.ca/icontact.owl#Address,string,exactly 1,A relationship between an address and the respective street name.,http://ontology.eil.utoronto.ca/icontact.owl,
hasPropertyNumber,Data Property,,,http://ontology.eil.utoronto.ca/icontact.owl#Address,string,exactly 1,A relationship between an address and the respective property number (e.g. house and/or unit number),http://www.theworldavatar.com/ontology/ontobuiltenv/OntoBuiltEnv.owl,
