Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoBuiltEnv,TBox,https://www.theworldavatar.com/kg/ontobuiltenv/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoBuiltEnv,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoBuiltEnv,TBox,"The Ontology for the Built Environment (OntoBuiltEnv) is an ontology developed for representing key information about properties (i.e. buildings as well as flats/apartments). It combines information about building usage, key construction characteristics, location and address, and estimated property value. More detailed geometric information can be retrieved from the associated OntoCityGml representation.",http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoBuiltEnv,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
Property,Class,,,,,,A built structure which is available for occupation or business purposes.,https://www.theworldavatar.com/kg/ontobuiltenv/,Property
Flat,Class,Property,IS-A,,,,A self-contained suite of rooms which occupies part of a building.,https://www.theworldavatar.com/kg/ontobuiltenv/,Flat
http://www.purl.org/oema/infrastructure/Building,Class,Property,IS-A,,,,"A built structure with ground, roof, and walls which stands more or less permanently in one place.",https://www.theworldavatar.com/kg/ontobuiltenv/,Building
http://www.purl.org/oema/infrastructure/Building,Class,http://www.opengis.net/ont/geosparql#Feature,IS-A,,,,,https://www.theworldavatar.com/kg/ontobuiltenv/,Building
isIn,Object Property,,,Flat,http://www.purl.org/oema/infrastructure/Building,,A relationship between a flat/apartment and its parent building it is contained within.,https://www.theworldavatar.com/kg/ontobuiltenv/,is in
http://www.purl.org/oema/infrastructure/Building,Class,http://ontology.eil.utoronto.ca/icity/Building/Building,EQUIVALENT-TO,,,,,https://www.theworldavatar.com/kg/ontobuiltenv/,Building
http://www.purl.org/oema/infrastructure/Building,Class,https://w3id.org/bot#Building,EQUIVALENT-TO,,,,,https://www.theworldavatar.com/kg/ontobuiltenv/,Building
http://www.purl.org/oema/infrastructure/Building,Class,https://standards.buildingsmart.org/IFC/DEV/IFC4/ADD2_TC1/OWL#IfcBuilding,EQUIVALENT-TO,,,,,https://www.theworldavatar.com/kg/ontobuiltenv/,Building
http://www.purl.org/oema/infrastructure/Building,Class,http://www.google.com/digitalbuildings/0.0.1/facilities#Building,EQUIVALENT-TO,,,,,https://www.theworldavatar.com/kg/ontobuiltenv/,Building
http://www.purl.org/oema/infrastructure/Building,Class,http://bimerr.iot.linkeddata.es/def/building#Building,EQUIVALENT-TO,,,,,https://www.theworldavatar.com/kg/ontobuiltenv/,Building
hasIdentifier,Data Property,,,Property,string,exactly 1,Unique identifier describing the property.,https://www.theworldavatar.com/kg/ontobuiltenv/,has identifier
hasWGS84LatitudeLongitude,Data Property,,,Property,http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,exactly 1,Location of property footprint centroid in WGS84 coordinates.,https://www.theworldavatar.com/kg/ontobuiltenv/,has WGS84 coordinates
AdministrativeDistrict,Class,,,,,,"An area defined for administrative purposes, e.g. a county or local authority district.",https://www.theworldavatar.com/kg/ontobuiltenv/,Administrative district
http://www.w3.org/2000/01/rdf-schema#label,Data Property,,,AdministrativeDistrict,string,exactly 1,A relationship between an administrative district and its actual official name.,https://www.theworldavatar.com/kg/ontobuiltenv/,label
hasAddress,Object Property,,,Property,http://ontology.eil.utoronto.ca/icontact.owl#Address,exactly 1,A relationship between a property and its address.,https://www.theworldavatar.com/kg/ontobuiltenv/,has address
hasAddress,Object Property,,,Property,https://spec.edmcouncil.org/fibo/ontology/FND/Places/Addresses/ConventionalStreetAddress,exactly 1,A relationship between a property and its address.,https://www.theworldavatar.com/kg/ontobuiltenv/,has address
hasAdministrativeDistrict,Object Property,,,http://ontology.eil.utoronto.ca/icontact.owl#Address,AdministrativeDistrict,,A relationship between an address and an encompassing administrative district.,https://www.theworldavatar.com/kg/ontobuiltenv/,has administrative district
PostalCode,Class,,,,,,A code of letters and digits denoting a particular (mostly granular) geographic area used to aid in the sorting of mail.,https://www.theworldavatar.com/kg/ontobuiltenv/,Postal code
hasPostalCode,Object Property,,,http://ontology.eil.utoronto.ca/icontact.owl#Address,PostalCode,,A relationship between an address and the respective postal code.,https://www.theworldavatar.com/kg/ontobuiltenv/,has postal code
hasPostalCode,Object Property,,,http://ontology.eil.utoronto.ca/icontact.owl#Address,PostalCode,exactly 1,,https://www.theworldavatar.com/kg/ontobuiltenv/,has postal code
http://www.w3.org/2000/01/rdf-schema#label,Data Property,,,PostalCode,string,exactly 1,A relationship between a postal code and its actual code of letters and digits.,https://www.theworldavatar.com/kg/ontobuiltenv/,label
http://ontology.eil.utoronto.ca/icontact.owl#hasStreet,Data Property,,,http://ontology.eil.utoronto.ca/icontact.owl#Address,string,exactly 1,A relationship between an address and the respective street name.,http://ontology.eil.utoronto.ca/icontact.owl,has street
http://ontology.eil.utoronto.ca/icontact.owl#hasStreetNumber,Data Property,,,http://ontology.eil.utoronto.ca/icontact.owl#Address,string,exactly 1,A relationship between an address and the respective street/house number.,http://ontology.eil.utoronto.ca/icontact.owl,has street number
hasUnitName,Data Property,,,http://ontology.eil.utoronto.ca/icontact.owl#Address,string,exactly 1,"A relationship between an address and the respective unit number, incl. potential description of the unit (e.g. ""Flat 1"", ""Apartment A"").",https://www.theworldavatar.com/kg/ontobuiltenv/,has unit name
http://ontology.eil.utoronto.ca/icontact.owl#hasBuilding,Data Property,,,http://ontology.eil.utoronto.ca/icontact.owl#Address,string,exactly 1,"Name of the building where the address is located.  Often used in countries like England, India and Japan.",http://ontology.eil.utoronto.ca/icontact.owl,has building name
isPresumedMatchOf,Object Property,,,http://ontology.eil.utoronto.ca/icontact.owl#Address,http://www.w3.org/2002/07/owl#Thing,,A relationship between an address and a presumed match of the address in another knowledge base.,https://www.theworldavatar.com/kg/ontobuiltenv/,has presumed match
locatedIn,Object Property,,,Property,AdministrativeDistrict,,A relationship between a property and an encompassing administrative district.,https://www.theworldavatar.com/kg/ontobuiltenv/,located in
hasOntoCityGMLRepresentation,Object Property,,,http://www.purl.org/oema/infrastructure/Building,http://www.w3.org/2002/07/owl#Thing,,A relationship between a building and its corresponding instance IRI in OntoCityGml.,https://www.theworldavatar.com/kg/ontobuiltenv/,has OntoCityGML representation
hasOntoCityGMLRepresentation,Object Property,,,http://www.purl.org/oema/infrastructure/Building,http://www.w3.org/2002/07/owl#Thing,exactly 1,,https://www.theworldavatar.com/kg/ontobuiltenv/,has OntoCityGML representation
