Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoChemPlant,TBox,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoChemPlant,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoChemPlant,TBox,"An ontology defined for representing the processes, business and geospatial information of a chemical plant",http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoChemPlant,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
Company,Class,,,,,,An institution created to conduct business [WordNet],http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,Company
ChemicalPlant,Class,,,,,,An industrial plant established to produce chemicals,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,Chemical plant
http://www.purl.org/oema/infrastructure/Building,Class,,,,,,A structure that has a roof and walls and stands more or less permanently in one place [WordNet],http://www.purl.org/oema/infrastructure/Building,Building
http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,Class,,,,,,,http://www.ontology-of-units-of-measure.org/resource/om-2/,Quantity
http://www.theworldavatar.com/ontology/ontopowsys/PowSysFunction.owl#PowerConsumption,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,IS-A,,,,"The utilisation of power to satisfy needs or in manufacturing, e.g., chemical manufacturing",http://www.theworldavatar.com/ontology/ontopowsys/PowSysFunction.owl,Power consumption
Revenue,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,IS-A,,,,The total amount of income of an orgnasiation prior to any deductions,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,Revenue
http://www.opengis.net/ont/geosparql#ehContains,Object Property,,,,,,A relationship between two spatial objects,http://www.opengis.net/ont/geosparql,contains
http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#isOwnerOf,Object Property,,,Company,ChemicalPlant UNION http://www.purl.org/oema/infrastructure/Building,,A relationship between a company and the entities it owns,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl,is owner of
http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_performance/economic_performance.owl#hasRevenue,Object Property,,,Company,Revenue,,A relationship between a company and its annual revenue,http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_performance/economic_performance.owl,has revenue
hasPowerConsumption,Object Property,,,Company,http://www.theworldavatar.com/ontology/ontopowsys/PowSysFunction.owl#PowerConsumption,,A relationship between an entity and its annual power consumption,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,has power consumption
hasYearOfEstablishment,"Data Property, Functional Property",,,Company,https://www.w3.org/TR/xmlschema11-2/#gYear,,A relationship between a company and its year of formation,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,has year of establishment
hasSectoralDescription,Data Property,,,Company,String,,A relationship between a company and its sectoral description,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,has sectoral description
hasSSICCode,Data Property,,,Company,Integer,,A relationship between a company and its SSIC code corresponding to sectoral description (Singapore specific),http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,has SSIC code
hasNumberofEmployees,Data Property,,,Company,Integer,,A relationship between a company and its number of employees,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,has number of employees
hasBusinessActivity,Data Property,,,Company,String,,A relationship between a company and its main business activity,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,has business activity
hasProductionTechnology,Data Property,,,Company,String,,A relationship between a company and the production technology/process it uses,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,has production technology
http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_performance/economic_performance.owl#UtilityCosts,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,IS-A,,,,Utility costs of a building,http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_performance/economic_performance.owl,Utility costs
http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_performance/economic_performance.owl#ElectricalCosts,Class,http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_performance/economic_performance.owl#UtilityCosts,IS-A,,,,Electrical costs of a building,http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_performance/economic_performance.owl,Electrical costs
http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_performance/economic_performance.owl#FuelCosts,Class,http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_performance/economic_performance.owl#UtilityCosts,IS-A,,,,Fuel costs of a building,http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_performance/economic_performance.owl,Fuel costs
http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_performance/economic_performance.owl#WaterCosts,Class,http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_performance/economic_performance.owl#UtilityCosts,IS-A,,,,Water costs of a building,http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_performance/economic_performance.owl,Water costs
http://ontology.eil.utoronto.ca/icontact.owl#Address,Class,,,,,,Address of a spatial entity,http://ontology.eil.utoronto.ca/icontact.owl,Address
LandLotDetails,Class,,,,,,Details about the land lot associated with the address of an entity,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,Land lot details
http://www.ontology-of-units-of-measure.org/resource/om-2/Area,Class,,,,,,"Two dimensional size of a defined part of a surface, typically a region bounded by a closed curve.",http://www.ontology-of-units-of-measure.org/resource/om-2/,Area
http://ontology.eil.utoronto.ca/icontact.owl#hasAddress,Object Property,,,,http://ontology.eil.utoronto.ca/icontact.owl#Address,,A relationship between a spatial entity and its address,http://ontology.eil.utoronto.ca/icontact.owl,has address
hasUtilityCost,Object Property,,,http://www.purl.org/oema/infrastructure/Building,http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_performance/economic_performance.owl#UtilityCosts,,A relationship between a building and its utility costs,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,has utility cost
hasLandLotDetails,Object Property,,,http://ontology.eil.utoronto.ca/icontact.owl#Address,LandLotDetails,,A relationship between an address and land lot details,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,has land lot details
hasLotArea,Object Property,,,LandLotDetails,http://www.ontology-of-units-of-measure.org/resource/om-2/Area,,A relationship between a land lot and its area,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,has lot area
hasLotArea,Object Property,,,LandLotDetails,http://www.ontology-of-units-of-measure.org/resource/om-2/Area,exactly 1,,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,has lot area
https://www.theworldavatar.com/kg/ontobuiltenv/hasOntoCityGMLRepresentation,Object Property,,,http://www.purl.org/oema/infrastructure/Building UNION http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_realization/plant.owl#PlantItem,http://www.w3.org/2002/07/owl#Thing,,A relationship between a building and its corresponding instance IRI in OntoCityGml.,https://www.theworldavatar.com/kg/ontobuiltenv/,has OntoCityGML representation
https://www.theworldavatar.com/kg/ontobuiltenv/hasOntoCityGMLRepresentation,Object Property,,,http://www.purl.org/oema/infrastructure/Building UNION http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_realization/plant.owl#PlantItem,http://www.w3.org/2002/07/owl#Thing,exactly 1,,https://www.theworldavatar.com/kg/ontobuiltenv/,has OntoCityGML representation
hasLatitudeEPSG24500,Data Property,,,,float,,A relationship between an entity and its latitude in EPSG24500,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,has latitude in EPSG24500
hasLongitudeEPSG24500,Data Property,,,,float,,A relationship between an entity and its longitude in EPSG24500,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,has longitude in EPSG24500
hasLandLotNumber,"Data Property, Functional Property",,,LandLotDetails,string,,A relationship between a land lot and its associated ID,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,has land lot number
http://ontology.eil.utoronto.ca/icontact.owl#hasPostalCode,"Data Property, Functional Property",,,http://ontology.eil.utoronto.ca/icontact.owl#Address,string,,A relationship between an address and its associated postal code,http://ontology.eil.utoronto.ca/icontact.owl,has postal code
DesignCapacity,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,IS-A,,,,Design capacity of a chemical plant,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,Design capacity
FuelType,Class,,,,,,Type of fuel used by a chemical plant,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,Fuel type
CarbonEmissionIndex,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,IS-A,,,,Carbon emission factor of a fuel,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,Carbon emission index
hasDesignCapacity,Object Property,,,ChemicalPlant,DesignCapacity,,A relationship between a chemical plant and its design capacity,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,has design capacity
hasDesignCapacity,Object Property,,,ChemicalPlant,DesignCapacity,exactly 1,,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,has design capacity
hasFuelType,Object Property,,,ChemicalPlant,FuelType,,A relationship between a chemical plant and its fuel type,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,has fuel type
hasFuelType,Object Property,,,ChemicalPlant,FuelType,exactly 1,,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,has fuel type
hasCarbonEmissionIndex,Object Property,,,FuelType,CarbonEmissionIndex,,A relationship between a fuel and its carbon emission factor,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,has carbon emission index
hasCarbonEmissionIndex,Object Property,,,FuelType,CarbonEmissionIndex,exactly 1,,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,has carbon emission index
hasThermalEfficiency,"Data Property, Functional Property",,,ChemicalPlant,float,,A relationship between an entity and its thermal efficiency,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,has thermal efficiency
http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_realization/plant.owl#PlantItem,Class,,,,,,"Various types of entities owned by a chemical plant, such as equipment, storage tanks, external building installments, amongst others. ",http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_realization/plant.owl,Plant item
IndividualCO2Emission,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,IS-A,,,,Estimated value of annual CO2 emission for a chemical plant's main emitting sources,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,Individual CO2 emission
PlantCO2Emission,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,IS-A,,,,Estimated value of annual CO2 emission for the overall chemical plant,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,Plant CO2 emission
GeneratedHeat,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,IS-A,,,,Calculated value of annual heat emission for a company's main emitting sources,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,Heat emission
ChemicalStorageTank,Class,http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_realization/plant.owl#PlantItem,IS-A,,,,Vessel for holding gases or liquids,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,Chemical storage tank
Fluid,Class,,,,,,Liquids and gases,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,Fluid
