Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoClassSchedule,TBox,https://www.theworldavatar.com/kg/ontoclassschedule/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoClassSchedule,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoClassSchedule,TBox,"OntoClassSchedule is designed to represent and manage class schedules in an educational setting. It captures the relationships between sessions, courses, and various types of course offerings.",http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoClassSchedule,TBox,http://www.w3.org/2006/time#,http://www.w3.org/2002/07/owl#imports,,,,,,
Session,Class,,,,,,"A specific class meeting or event, capturing details like timing and association with a particular course.",http://www.theworldavatar.com/ontology/ontoclassschedule/OntoClassSchedule.owl,
Course,Class,,,,,,"A structured unit of study or training, encompassing various sessions and topics.",http://www.theworldavatar.com/ontology/ontoclassschedule/OntoClassSchedule.owl,
Laboratory,Class,Session,IS-A,,,,"A hands-on, practical session focused on experiments or activities, typically associated with scientific or technical subjects.",http://www.theworldavatar.com/ontology/ontoclassschedule/OntoClassSchedule.owl,
Tutorial,Class,Session,IS-A,,,,"An interactive session designed for detailed discussion, problem-solving, or study on specific topics.",http://www.theworldavatar.com/ontology/ontoclassschedule/OntoClassSchedule.owl,
Seminar,Class,Session,IS-A,,,,"A presentation or discussion-based session where specific topics are explored in-depth, often with guest speakers or experts.",http://www.theworldavatar.com/ontology/ontoclassschedule/OntoClassSchedule.owl,
Lecture,Class,Session,IS-A,,,,"A formal instructional session where content is delivered to students, primarily through speech and visual aids.",http://www.theworldavatar.com/ontology/ontoclassschedule/OntoClassSchedule.owl,
hasSession,Object Property,,,https://w3id.org/bot#Zone,Session,exactly 1,,http://www.theworldavatar.com/ontology/ontoclassschedule/OntoClassSchedule.owl,
hasDayOfWeek,Object Property,,,Session,http://www.w3.org/2006/time#DayOfWeek,exactly 1,"Indicates the specific day of the week on which a session occurs, such as Monday or Tuesday.",http://www.theworldavatar.com/ontology/ontoclassschedule/OntoClassSchedule.owl,
hasStartTime,Data Property,,,Session,http://www.w3.org/2001/XMLSchema#time,,"Specifies the time when a session begins, without referencing a specific date.",http://www.theworldavatar.com/ontology/ontoclassschedule/OntoClassSchedule.owl,
hasEndTime,Data Property,,,Session,http://www.w3.org/2001/XMLSchema#time,,"Denotes the time when a session concludes, without referencing a specific date.",http://www.theworldavatar.com/ontology/ontoclassschedule/OntoClassSchedule.owl,
isPartOfCourse,Object Property,,,Session,Course,exactly 1,Establishes a relationship between a session and the course to which it belongs.,http://www.theworldavatar.com/ontology/ontoclassschedule/OntoClassSchedule.owl,
hasCourseRemark,Data Property,,,Course,http://www.w3.org/2001/XMLSchema#string,,"Provides additional notes, comments, or observations related to a specific course.",http://www.theworldavatar.com/ontology/ontoclassschedule/OntoClassSchedule.owl,
hasCourseName,Data Property,,,Course,http://www.w3.org/2001/XMLSchema#string,,Indicates the official name or title of a course.,http://www.theworldavatar.com/ontology/ontoclassschedule/OntoClassSchedule.owl,
hasCourseCode,Data Property,,,Course,http://www.w3.org/2001/XMLSchema#string,,Represents the unique identifier or code assigned to a course for organizational purposes.,http://www.theworldavatar.com/ontology/ontoclassschedule/OntoClassSchedule.owl,
