Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoDevice,TBox,https://www.theworldavatar.com/kg/ontodevice/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoDevice,TBox,1.6,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoDevice,TBox,"OntoDevice is an ontology for describing devices, their capabilities and properties.",http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoDevice,TBox,https://saref.etsi.org/core/,http://www.w3.org/2002/07/owl#imports,,,,,,
Device,Class,https://saref.etsi.org/core/Device,EQUIVALENT-TO,,,,An object designed and manufactured to perform one or more functions.,https://www.theworldavatar.com/kg/ontodevice/,Device
Device,Class,https://w3id.org/bot#Element,IS-A,,,,,https://www.theworldavatar.com/kg/ontodevice/,Device
MicroController,Class,https://saref.etsi.org/core/Device,IS-A,,,,A microcontroller is an integrated circuit (IC) designed to handle a specific task in embedded systems.,https://www.theworldavatar.com/kg/ontodevice/,MicroController
MobilePhone,Class,https://saref.etsi.org/core/Device,IS-A,,,,A portable telephone that can make and receive calls over a radio frequency link.,https://www.theworldavatar.com/kg/ontodevice/,Mobile phone
SmartPhone,Class,MobilePhone,IS-A,,,,A portable computer device that combines mobile telephone and computing functions into one unit.,https://www.theworldavatar.com/kg/ontodevice/,Smart phone
Microphone,Class,https://saref.etsi.org/core/Device,IS-A,,,,A transducer that converts sound into an electrical signal.,https://www.theworldavatar.com/kg/ontodevice/,Microphone
Camera,Class,https://saref.etsi.org/core/Device,IS-A,,,,An optical instrument that can capture an image.,https://www.theworldavatar.com/kg/ontodevice/,Camera
GPSDevice,Class,https://saref.etsi.org/core/Device,IS-A,,,,A device used within Earth's planetary atmosphere to determine its precise geographical location.,https://www.theworldavatar.com/kg/ontodevice/,GPS device
https://www.theworldavatar.com/kg/ontoems/ReportingStation,Class,https://saref.etsi.org/core/Device,IS-A,,,,,https://www.theworldavatar.com/kg/ontodevice/,Reporting station
BatteryTester,Class,https://saref.etsi.org/core/Device,IS-A,,,,A device used to measure the existing power of a battery,https://www.theworldavatar.com/kg/ontodevice/,Battery tester
Computer,Class,https://saref.etsi.org/core/Device,IS-A,,,,A device that can be programmed to carry out a sequence of arithmetic or logical operations automatically.,https://www.theworldavatar.com/kg/ontodevice/,Computer
Desktop,Class,Computer,IS-A,,,,"A stationary computer placed on top of a platform, usually desks.",https://www.theworldavatar.com/kg/ontodevice/,Desktop
Laptop,Class,Computer,IS-A,,,,A small and mobile computer.,https://www.theworldavatar.com/kg/ontodevice/,Laptop
Server,Class,Computer,IS-A,,,,A computer that provides functionality or programs for other computer.,https://www.theworldavatar.com/kg/ontodevice/,Server
Tablet,Class,Computer,IS-A,,,,A small and mobile computer that uses touch-screens as user interface,https://www.theworldavatar.com/kg/ontodevice/,Tablet
Workstation,Class,Computer,IS-A,,,,A workstation is a special computer designed for technical or scientific applications.,https://www.theworldavatar.com/kg/ontodevice/,Workstation
ElectronicTag,Class,https://saref.etsi.org/core/Device,IS-A,,,,"A tag that uses a form of electronic identification technology (Bluetooth, RFID etc).",https://www.theworldavatar.com/kg/ontodevice/,Electronic tag
RFIDTag,Class,ElectronicTag,IS-A,,,,An electronic tag that exchanges data with a RFID reader through radio waves.,https://www.theworldavatar.com/kg/ontodevice/,RFID tag
