Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoDispersion,TBox,https://www.theworldavatar.com/kg/ontodispersion/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoDispersion,TBox,2.0,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoDispersion,TBox,,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoDispersion,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
AermapOutput,Class,,,,,,URL to download the AERMAP output file stored as time series,https://www.theworldavatar.com/kg/ontodispersion/,
DispersionMatrix,Class,,,,,,URL to download the raw output file stored as time series,https://www.theworldavatar.com/kg/ontodispersion/,
DispersionRaster,Class,,,,,,"Name of raster file, stored as time series",https://www.theworldavatar.com/kg/ontodispersion/,
DispersionColourBar,Class,,,,,,"File server URL to download colour bar, stored as time series",https://www.theworldavatar.com/kg/ontodispersion/,
ShipsLayer,Class,,,,,,Name of the ships layer in GeoServer stored as time series,https://www.theworldavatar.com/kg/ontodispersion/,
StaticPointSourceLayer,Class,,,,,,"Name of the layer containing static point sources in GeoServer, stored as time series",https://www.theworldavatar.com/kg/ontodispersion/,
BuildingsLayer,Class,,,,,,"Name of the building layer attached to this simulation, stored as time series",https://www.theworldavatar.com/kg/ontodispersion/,
Scope,Class,http://www.opengis.net/ont/geosparql#Feature,IS-A,,,,Geospatial extend defining the simulation box as rectangle,https://www.theworldavatar.com/kg/ontodispersion/,
PointSource,Class,,,,,,A point source emitting emissions,https://www.theworldavatar.com/kg/ontodispersion/,
DynamicPointSource,Class,PointSource,IS-A,,,,A moving point source,https://www.theworldavatar.com/kg/ontodispersion/,
StaticPointSource,Class,PointSource,IS-A,,,,A static point source,https://www.theworldavatar.com/kg/ontodispersion/,
Ship,Class,DynamicPointSource,IS-A,,,,,https://www.theworldavatar.com/kg/ontodispersion/,
Emission,Class,,,,,,Emission emitted by point source,https://www.theworldavatar.com/kg/ontodispersion/,
nx,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,IS-A,,,,Number of cells in x direction,https://www.theworldavatar.com/kg/ontodispersion/,
ny,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,IS-A,,,,Number of cells in y direction,https://www.theworldavatar.com/kg/ontodispersion/,
z,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Height,IS-A,,,,Height to simulate,https://www.theworldavatar.com/kg/ontodispersion/,
SimulationTime,Class,http://www.w3.org/2006/time#Instant,IS-A,,,,Unix timestamp to run the simulation,https://www.theworldavatar.com/kg/ontodispersion/,
NO2,Class,PollutantID,IS-A,,,,Nitrogen dioxide,https://www.theworldavatar.com/kg/ontodispersion/,NO&#x2082;
NOx,Class,PollutantID,IS-A,,,,Nitrogen oxides,https://www.theworldavatar.com/kg/ontodispersion/,NO&#8339;
uHC,Class,PollutantID,IS-A,,,,Unburned hydrocarbon,https://www.theworldavatar.com/kg/ontodispersion/,Unburned hydrocarbons
CO,Class,PollutantID,IS-A,,,,Carbon monoxide,https://www.theworldavatar.com/kg/ontodispersion/,CO
SO2,Class,PollutantID,IS-A,,,,Sulphur dioxide,https://www.theworldavatar.com/kg/ontodispersion/,SO&#x2082;
