Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoDoE,TBox,https://raw.githubusercontent.com/cambridge-cares/TheWorldAvatar/main/JPS_Ontology/ontology/ontodoe/OntoDoE.owl,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoDoE,TBox,1.6,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoDoE,TBox,An ontology developed for design of experiment.,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoDoE,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
DesignOfExperiment,Class,,,,,,A procedure to plan and define the conditions for performing controlled experimental trials. [doi:10.1016/j.compchemeng.2017.05.010],https://raw.githubusercontent.com/cambridge-cares/TheWorldAvatar/main/JPS_Ontology/ontology/ontodoe/OntoDoE.owl,
Strategy,Class,,,,,,A method to propose conditions for controlled experimental trials. ,https://raw.githubusercontent.com/cambridge-cares/TheWorldAvatar/main/JPS_Ontology/ontology/ontodoe/OntoDoE.owl,
TSEMO,Class,Strategy,IS-A,,,,"""Thompson sampling efficient multiobjective optimization"" strategy proposed in paper doi:10.1007/s10898-018-0609-2.",https://raw.githubusercontent.com/cambridge-cares/TheWorldAvatar/main/JPS_Ontology/ontology/ontodoe/OntoDoE.owl,
LHS,Class,Strategy,IS-A,,,,"""Latin hypercube sampling"" strategy.",https://raw.githubusercontent.com/cambridge-cares/TheWorldAvatar/main/JPS_Ontology/ontology/ontodoe/OntoDoE.owl,
Criterion,Class,,,,,,Criterion is used to construct the LHS design. It tells LHS how to sample the points. [Surrogate Modeling Toolbox],https://raw.githubusercontent.com/cambridge-cares/TheWorldAvatar/main/JPS_Ontology/ontology/ontodoe/OntoDoE.owl,
Center,Class,Criterion,IS-A,,,,A criterion that centers the points within the sampling intervals. ,https://raw.githubusercontent.com/cambridge-cares/TheWorldAvatar/main/JPS_Ontology/ontology/ontodoe/OntoDoE.owl,
Maximum,Class,Criterion,IS-A,,,,"A criterion maximises the minimum distance between points, but places the point in a randomised location within its interval. ",https://raw.githubusercontent.com/cambridge-cares/TheWorldAvatar/main/JPS_Ontology/ontology/ontodoe/OntoDoE.owl,
CenterMaximum,Class,Criterion,IS-A,,,,"A criterion same as the criterion ""Maximin"", but centered within the intervals. ",https://raw.githubusercontent.com/cambridge-cares/TheWorldAvatar/main/JPS_Ontology/ontology/ontodoe/OntoDoE.owl,
Correlation,Class,Criterion,IS-A,,,,A criterion minimises the maximum correlation coefficient. ,https://raw.githubusercontent.com/cambridge-cares/TheWorldAvatar/main/JPS_Ontology/ontology/ontodoe/OntoDoE.owl,
Domain,Class,,,,,,The space bounded by the upper and lower limits of a set of design variables. ,https://raw.githubusercontent.com/cambridge-cares/TheWorldAvatar/main/JPS_Ontology/ontology/ontodoe/OntoDoE.owl,
DesignVariable,Class,,,,,,A variable to be defined for controlled experimental trials. ,https://raw.githubusercontent.com/cambridge-cares/TheWorldAvatar/main/JPS_Ontology/ontology/ontodoe/OntoDoE.owl,
ContinuousVariable,Class,DesignVariable,IS-A,,,,A design variable that is continuous in domain. ,https://raw.githubusercontent.com/cambridge-cares/TheWorldAvatar/main/JPS_Ontology/ontology/ontodoe/OntoDoE.owl,
CategoricalVariable,Class,DesignVariable,IS-A,,,,A design variable that is discrete in domain. ,https://raw.githubusercontent.com/cambridge-cares/TheWorldAvatar/main/JPS_Ontology/ontology/ontodoe/OntoDoE.owl,
FixedParameter,Class,,,,,,A parameter that is fixed in design domain.,https://raw.githubusercontent.com/cambridge-cares/TheWorldAvatar/main/JPS_Ontology/ontology/ontodoe/OntoDoE.owl,
SystemResponse,Class,,,,,,The outcome collected during controlled experimental trails. ,https://raw.githubusercontent.com/cambridge-cares/TheWorldAvatar/main/JPS_Ontology/ontology/ontodoe/OntoDoE.owl,
HistoricalData,Class,,,,,,A complete recording of controlled experimental trails done in the past. ,https://raw.githubusercontent.com/cambridge-cares/TheWorldAvatar/main/JPS_Ontology/ontology/ontodoe/OntoDoE.owl,
hasDoETemplate,Object Property,,,http://www.theworldavatar.com/ontology/ontocape/material/substance/reaction_mechanism.owl#ChemicalReaction,DesignOfExperiment,,A relation between a chemical reaction and its design of experiment template for optimisation.,https://raw.githubusercontent.com/cambridge-cares/TheWorldAvatar/main/JPS_Ontology/ontology/ontodoe/OntoDoE.owl,
