Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoEarthquake,TBox,http://www.theworldavatar.com/kg/ontoearthquake,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoEarthquake,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoEarthquake,TBox,OntoEarthquake is an ontology developed to represent earthquake hazard,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoEarthquake,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
Event,Class,,,,,,Represents any occurrence or happening that affects entities or locations.,http://www.theworldavatar.com/kg/ontoearthquake,Event
Interval,Class,,,,,,"A period between two instants, marking the start and end of an event.",http://www.theworldavatar.com/kg/ontoearthquake,Interval
Instant,Class,,,,,,A precise point in time at which an event occurs.,http://www.theworldavatar.com/kg/ontoearthquake,Instant
Location,Class,,,,,,A geographic area or point where an earthquake or related event occurs.,http://www.theworldavatar.com/kg/ontoearthquake,Location
EarthquakeHistory,Class,,,,,,"A record of past earthquake events, including their properties and impacts.",http://www.theworldavatar.com/kg/ontoearthquake,Earthquake History
TimeSeries,Class,,,,,,"A sequence of data points indexed in time order, often used to track changes in seismic activity.",http://www.theworldavatar.com/kg/ontoearthquake,Time Series
ShapeFile,Class,,,,,,A geospatial vector data format used to represent the geometric location and attributes of features.,http://www.theworldavatar.com/kg/ontoearthquake,Shape File
http://www.opengis.net/ont/geosparql#Geometry,Class,,,,,,A class representing geometric shapes or locations as part of the GeoSPARQL ontology.,http://www.opengis.net/ont/geosparql#,Geometry
Organization,Class,,,,,,"A formal entity responsible for coordinating or managing earthquake response, preparedness, or recovery.",http://www.theworldavatar.com/kg/ontoearthquake,Organization
FileUrl,Class,,,,,,"A link to a digital file, often containing critical geospatial or earthquake-related information.",http://www.theworldavatar.com/kg/ontoearthquake,File Url
Earthquake,Class,Event,IS-A,,,,"A sudden and violent shaking of the ground, caused by movements within the earth’s crust.",http://www.theworldavatar.com/kg/ontoearthquake,Earthquake
ForeShock,Class,Earthquake,IS-A,,,,"A smaller earthquake that precedes the main seismic event, indicating potential upcoming seismic activity.",http://www.theworldavatar.com/kg/ontoearthquake,Fore Shock
MainShock,Class,Earthquake,IS-A,,,,The largest and most significant earthquake in a sequence of seismic events.,http://www.theworldavatar.com/kg/ontoearthquake,Main Shock
AfterShock,Class,Earthquake,IS-A,http://www.theworldavatar.com/kg/ontoearthquake,,,"A smaller earthquake that follows the main seismic event, occurring in the same area.",http://www.theworldavatar.com/kg/ontoearthquake,After Shock
Wave,Class,,,,,,The oscillation or movement that propagates through the earth due to seismic activity.,http://www.theworldavatar.com/kg/ontoearthquake,Wave
WaveType,Class,,,,,,"A classification of seismic waves based on their behavior, such as primary (P) or secondary (S) waves.",http://www.theworldavatar.com/kg/ontoearthquake,Wave Type
Speed,Class,,,,,,The velocity at which seismic waves travel through the earth.,http://www.theworldavatar.com/kg/ontoearthquake,Speed
Oscillations,Class,,,,,,"Repeated motions or movements, often used to describe the movement of seismic waves.",http://www.theworldavatar.com/kg/ontoearthquake,Oscillations
WaveLength,Class,,,,,,"The distance between successive crests of a wave, particularly in seismic studies.",http://www.theworldavatar.com/kg/ontoearthquake,Wave Length
SeismicStation,Class,,,,,,A facility equipped with instruments to detect and record seismic activity.,http://www.theworldavatar.com/kg/ontoearthquake,Seismic Station
Hypocenter,Class,,,,,,The point beneath the earth's surface where an earthquake begins.,http://www.theworldavatar.com/kg/ontoearthquake,Hypocenter
Epicenter,Class,,,,,,The point on the earth's surface directly above the hypocenter of an earthquake.,http://www.theworldavatar.com/kg/ontoearthquake,Epicenter
Fire,Class,Event,IS-A,,,,"An uncontrolled combustion event that may be triggered by seismic activity, affecting nearby infrastructure.",http://www.theworldavatar.com/kg/ontoearthquake,Fire
Flood,Class,Event,IS-A,,,,"An overflow of water onto normally dry land, which may occur following a tsunami or other seismic events.",http://www.theworldavatar.com/kg/ontoearthquake,Flood
Tsunami,,Event,IS-A,,,,"A series of ocean waves caused by large underwater seismic activity, such as an earthquake.",http://www.theworldavatar.com/kg/ontoearthquake,Tsunami
Landslide,Class,Event,IS-A,,,,"A mass movement of earth, rock, or debris down a slope, typically caused by gravitational pull.",http://www.theworldavatar.com/kg/ontoearthquake,Landslide
EarthquakeRiskManagement,Class,,,,,,"The process of planning, mitigating, responding to, and recovering from the impacts of earthquakes.",http://www.theworldavatar.com/kg/ontoearthquake,Earthquake Risk Management
Response,Class,,,,,,Actions taken immediately after an earthquake to manage its consequences.,http://www.theworldavatar.com/kg/ontoearthquake,Response
DamageAssessment,Class,,,,,,"Evaluation of the damage caused by an earthquake to infrastructure, environment, and population.",http://www.theworldavatar.com/kg/ontoearthquake,Damage Assessment
ResponseAction,Class,,,,,,Specific steps carried out to address the immediate impacts of an earthquake.,http://www.theworldavatar.com/kg/ontoearthquake,Response Action
ResponseDepartment,Class,,,,,,The official body responsible for coordinating response activities during an earthquake.,http://www.theworldavatar.com/kg/ontoearthquake,Response Department
ResponseLogistics,Class,,,,,,Planning and coordination of resources needed to respond effectively to an earthquake.,http://www.theworldavatar.com/kg/ontoearthquake,Response Logistics
MobilityAndEquipmentLogistics,Class,ResponseLogistics,IS-A,,,,Coordination of vehicles and equipment used in earthquake response.,http://www.theworldavatar.com/kg/ontoearthquake,Mobility And Equipment Logistics
MedicalAndRescueLogistics,Class,ResponseLogistics,IS-A,,,,Management of medical supplies and rescue operations following an earthquake.,http://www.theworldavatar.com/kg/ontoearthquake,Medical And Rescue Logistics
Resource Logistics,Class,ResponseLogistics,IS-A,,,,Allocation and distribution of essential resources during an earthquake response.,http://www.theworldavatar.com/kg/ontoearthquake,Resource Logistics
Settlement,Class,ResponseDepartment,IS-A,,,,A populated area affected or potentially affected by an earthquake.,http://www.theworldavatar.com/kg/ontoearthquake,Settlement
Government,Class,ResponseDepartment,IS-A,,,,"Official entities involved in earthquake preparedness, response, and recovery efforts.",http://www.theworldavatar.com/kg/ontoearthquake,Government
Community,Class,ResponseDepartment,IS-A,,,,A group of people living in an area impacted or potentially impacted by an earthquake.,http://www.theworldavatar.com/kg/ontoearthquake,Community
MedicalCentre,Class,ResponseDepartment,IS-A,,,,Facilities providing medical services to treat casualties after an earthquake.,http://www.theworldavatar.com/kg/ontoearthquake,Medical Centre
Preparedness,Class,,IS-A,,,,Planning and readiness activities aimed at minimizing the impacts of future earthquakes.,http://www.theworldavatar.com/kg/ontoearthquake,Causal Factor
HazardAssessment,Class,,,,,,The process of evaluating potential earthquake hazards and their possible impacts.,http://www.theworldavatar.com/kg/ontoearthquake,Human Factor
MitigationStrategy,Class,,,,,,Plans and actions designed to reduce the long-term risks associated with earthquakes.,http://www.theworldavatar.com/kg/ontoearthquake,Natural Factor
