Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoEMS,TBox,https://www.theworldavatar.com/kg/ontoems/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoEMS,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoEMS,TBox,"The Environmental Measurement Station ontology (OntoEMS) is an ontology developed for representing environmental measurement stations, reported quantities, and time series of associated readings.",http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoEMS,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
ReportingStation,Class,http://www.opengis.net/ont/geosparql#Feature,IS-A,,,,A station (physical or virtual) reporting a quantity.,https://www.theworldavatar.com/kg/ontoems/,Reporting station
WaterLevelReportingStation,Class,ReportingStation,IS-A,,,,A reporting station that reports the level of water (potentially besides any other environmental observations).,https://www.theworldavatar.com/kg/ontoems/,Water level reporting station
Forecast,Class,,,,,,A prediction or estimation of a quantity.,https://www.theworldavatar.com/kg/ontoems/,Forecast
WaterLevel,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Height,IS-A,,,,"The height reached by the water in a reservoir, river, the tide at sea, or similar.",https://www.theworldavatar.com/kg/ontoems/,Water level
WaterLevel,Class,http://purl.org/iot/vocab/m3-lite#WaterLevel,IS-A,,,,"The height reached by the water in a reservoir, river, the tide at sea, or similar.",https://www.theworldavatar.com/kg/ontoems/,Water level
Rainfall,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Height,IS-A,,,,The depth of rain that accumulated over a measurement time quantity.,https://www.theworldavatar.com/kg/ontoems/,Rainfall
Rainfall,Class,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#Precipitation,IS-A,,,,The depth of rain that accumulated over a measurement time quantity.,https://www.theworldavatar.com/kg/ontoems/,Rainfall
Rainfall,Class,http://purl.org/iot/vocab/m3-lite#Rainfall,IS-A,,,,The depth of rain that accumulated over a measurement time quantity.,https://www.theworldavatar.com/kg/ontoems/,Rainfall
SnowFall,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Height,IS-A,,,,The depth of snow that accumulated over a measurement time quantity.,https://www.theworldavatar.com/kg/ontoems/,Snowfall
SnowFall,Class,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#Precipitation,IS-A,,,,The depth of snow that accumulated over a measurement time quantity.,https://www.theworldavatar.com/kg/ontoems/,Snowfall
WaterFlow,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/VolumetricFlowRate,IS-A,,,,The volume of water which passes a river cross section per unit time.,https://www.theworldavatar.com/kg/ontoems/,Water flow
AirTemperature,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Temperature,IS-A,,,,Temperature of the outside air that would be indicated by a thermometer exposed to the air at a location sheltered from direct solar radiation.,https://www.theworldavatar.com/kg/ontoems/,Air temperature
AirTemperature,Class,http://purl.org/iot/vocab/m3-lite#AirTemperature,EQUIVALENT-TO,,,,Temperature of the outside air that would be indicated by a thermometer exposed to the air at a location sheltered from direct solar radiation.,https://www.theworldavatar.com/kg/ontoems/,Air temperature
AirTemperature,Class,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#Temperature,EQUIVALENT-TO,,,,Temperature of the outside air that would be indicated by a thermometer exposed to the air at a location sheltered from direct solar radiation.,https://www.theworldavatar.com/kg/ontoems/,Air temperature
FeelsLikeTemperature,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Temperature,IS-A,,,,"Temperature of the outside air as expected to be perceived by a human being, considering the actual air temperature, relative humidity and the strength of the wind at 5 feet as well as an understanding of how heat is lost from the human body during cold and windy days.",https://www.theworldavatar.com/kg/ontoems/,Feels-like temperature
HeatIndex,Class,FeelsLikeTemperature,IS-A,,,,"An index that combines air temperature and relative humidity, in shaded areas, to posit a human-perceived equivalent temperature, as how hot it would feel if the humidity were some other value in the shade.",https://www.theworldavatar.com/kg/ontoems/,Heat index
WindChill,Class,FeelsLikeTemperature,IS-A,,,,A measure of the rate of heat loss from skin that is exposed to the air.,https://www.theworldavatar.com/kg/ontoems/,Wind chill
WindSpeed,Class,http://purl.org/iot/vocab/m3-lite#WindSpeed,EQUIVALENT-TO,,,,Velocity of outside air movement.,https://www.theworldavatar.com/kg/ontoems/,Wind speed
WindSpeed,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Speed,IS-A,,,,Velocity of outside air movement.,https://www.theworldavatar.com/kg/ontoems/,Wind speed
