Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoFHRS,TBox,http://www.theworldavatar.com/ontology/OntoFHRS/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoFHRS,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoFHRS,TBox,OntoFHRS is an ontology developed for representing food hygiene ratings of business establishments.,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoFHRS,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
Business Establishment,Class,,,,,,,http://www.theworldavatar.com/ontology/OntoFHRS/,Business Establishment
Restaurant,Class,Business Establishment,IS-A,,,,,http://www.theworldavatar.com/ontology/OntoFHRS/,Restaurant
Cafe,Class,Business Establishment,IS-A,,,,,http://www.theworldavatar.com/ontology/OntoFHRS/,Cafe
Canteen,Class,Business Establishment,IS-A,,,,,http://www.theworldavatar.com/ontology/OntoFHRS/,Canteen
Pub,Class,Business Establishment,IS-A,,,,,http://www.theworldavatar.com/ontology/OntoFHRS/,Pub
Bar,Class,Business Establishment,IS-A,,,,,http://www.theworldavatar.com/ontology/OntoFHRS/,Bar
Supermarket,Class,Business Establishment,IS-A,,,,,http://www.theworldavatar.com/ontology/OntoFHRS/,Supermarket
Hypermarket,Class,Business Establishment,IS-A,,,,,http://www.theworldavatar.com/ontology/OntoFHRS/,Hypermarket
Farmer Food Facility,Class,Business Establishment,IS-A,,,,,http://www.theworldavatar.com/ontology/OntoFHRS/,Farmer Food Facility
Grower Food Facility,Class,Business Establishment,IS-A,,,,,http://www.theworldavatar.com/ontology/OntoFHRS/,Grower Food Facility
Mobile Caterer,Class,Business Establishment,IS-A,,,,,http://www.theworldavatar.com/ontology/OntoFHRS/,Mobile Caterer
School Canteen,Class,Business Establishment,IS-A,,,,,http://www.theworldavatar.com/ontology/OntoFHRS/,School Canteen
College Canteen,Class,Business Establishment,IS-A,,,,,http://www.theworldavatar.com/ontology/OntoFHRS/,College Canteen
University Canteen,Class,Business Establishment,IS-A,,,,,http://www.theworldavatar.com/ontology/OntoFHRS/,University Canteen
Hospital Premise Food Facility,Class,Business Establishment,IS-A,,,,,http://www.theworldavatar.com/ontology/OntoFHRS/,Hospital Premise Food Facility
Childcare Premise Food Facility,Class,Business Establishment,IS-A,,,,,http://www.theworldavatar.com/ontology/OntoFHRS/,Childcare Premise Food Facility
Caring Premise Food Facility,Class,Business Establishment,IS-A,,,,,http://www.theworldavatar.com/ontology/OntoFHRS/,Caring Premise Food Facility
