Source,Type,Target,Relation,Value,Data Type
ABoxOntoFlood,Ontology,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,http://www.w3.org/2002/07/owl#imports,,
ABoxOntoFlood,Ontology,http://www.theworldavatar.com/kb/ontoflood,base,,
VeryLowLikelihood_ca5e5580-7ab8-4e1c-9087-8cbc893d5c5b,Instance,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl#VeryLowLikelihood,,,
https://www.w3.org/2000/01/rdf-schema#label,Data Property,VeryLowLikelihood_ca5e5580-7ab8-4e1c-9087-8cbc893d5c5b,,Very low,string
http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl#hasLikelihoodScore,Data Property,VeryLowLikelihood_ca5e5580-7ab8-4e1c-9087-8cbc893d5c5b,,1,integer
LowLikelihood_ca5e5580-7ab8-4e1c-9087-8cbc893d5c5b,Instance,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl#LowLikelihood,,,
https://www.w3.org/2000/01/rdf-schema#label,Data Property,LowLikelihood_ca5e5580-7ab8-4e1c-9087-8cbc893d5c5b,,Low,string
http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl#hasLikelihoodScore,Data Property,LowLikelihood_ca5e5580-7ab8-4e1c-9087-8cbc893d5c5b,,2,integer
MediumLikelihood_ca5e5580-7ab8-4e1c-9087-8cbc893d5c5b,Instance,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl#MediumLikelihood,,,
https://www.w3.org/2000/01/rdf-schema#label,Data Property,MediumLikelihood_ca5e5580-7ab8-4e1c-9087-8cbc893d5c5b,,Medium,string
http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl#hasLikelihoodScore,Data Property,MediumLikelihood_ca5e5580-7ab8-4e1c-9087-8cbc893d5c5b,,3,integer
HighLikelihood_ca5e5580-7ab8-4e1c-9087-8cbc893d5c5b,Instance,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl#HighLikelihood,,,
