Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoGoal,TBox,https://www.theworldavatar.com/kg/ontogoal/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoGoal,TBox,1.3,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoGoal,TBox,An ontology developed for goal-based agent operation.,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoGoal,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
Goal,Class,,,,,,A goal is a desire (as defined in BDI architecture) that is assigned for active pursuit by one agent.,https://www.theworldavatar.com/kg/ontogoal/,
GoalSet,Class,,,,,,A collection of individual goals for active pursuit by the agent.,https://www.theworldavatar.com/kg/ontogoal/,
Plan,Class,,,,,,A plan is a sequence of actions that an agent can perform to pursure the goal.,https://www.theworldavatar.com/kg/ontogoal/,
RxnOptPlan,Class,Plan,IS-A,,,,A plan that can be adopted to optimise a chemical reaction.,https://www.theworldavatar.com/kg/ontogoal/,
Step,Class,,,,,,A step is an action unit that can be taken during pursuit of a goal.,https://www.theworldavatar.com/kg/ontogoal/,
DesignOfExperiment,Class,Step,IS-A,,,,A step represents the design of experiment.,https://www.theworldavatar.com/kg/ontogoal/,
RxnExpExecution,Class,Step,IS-A,,,,A step represents the reaction experiment execution.,https://www.theworldavatar.com/kg/ontogoal/,
PostProcessing,Class,Step,IS-A,,,,A step represents the post processing of experiment results.,https://www.theworldavatar.com/kg/ontogoal/,
Restriction,Class,,,,,,Resource limitations for the pursuit of a goal set.,https://www.theworldavatar.com/kg/ontogoal/,
Result,Class,,,,,,A placeholder instance to refer to the actual value obtained for a goal during pursing it.,https://www.theworldavatar.com/kg/ontogoal/,
hasGoal,Object Property,,,GoalSet,Goal,minimum 1,A relation between a goal set and individual goal it consists of.,https://www.theworldavatar.com/kg/ontogoal/,
hasRestriction,Object Property,,,GoalSet,Restriction,exactly 1,A relation between a goal set and the restriction posed for the pursuit process.,https://www.theworldavatar.com/kg/ontogoal/,
desires,Object Property,,,Goal,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,,A relation between a goal and the target value it desires.,https://www.theworldavatar.com/kg/ontogoal/,
desiresGreaterThan,Object Property,desires,IS-A,Goal,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,maximum 1,A relation between a goal and the target value it desires to be greater than.,https://www.theworldavatar.com/kg/ontogoal/,
desiresLessThan,Object Property,desires,IS-A,Goal,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,maximum 1,A relation between a goal and the target value it desires to be less than.,https://www.theworldavatar.com/kg/ontogoal/,
hasResult,Object Property,,,Goal,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,,A relation between a goal and the values is achieved during the pursuit.,https://www.theworldavatar.com/kg/ontogoal/,
hasPlan,Object Property,,,Goal,Plan,minimum 1,A relation between a goal and the plan that can be adopted to achieve it.,https://www.theworldavatar.com/kg/ontogoal/,
hasStep,Object Property,,,Plan,Step,minimum 1,A relation between a plan and each step it consists of.,https://www.theworldavatar.com/kg/ontogoal/,
hasNextStep,Object Property,,,Step,Step,,A relation between two sequential steps within a plan.,https://www.theworldavatar.com/kg/ontogoal/,
canBePerformedBy,Object Property,,,Step,http://www.theworldavatar.com/ontology/ontoagent/MSM.owl#Service,minimum 1,A relation between a step and the agent that capable of performing it.,https://www.theworldavatar.com/kg/ontogoal/,
refersTo,Object Property,,,Result,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,exactly 1,A relation between a result and the actual value it refers to.,https://www.theworldavatar.com/kg/ontogoal/,
hasStep,Object Property,,,RxnOptPlan,DesignOfExperiment UNION RxnExpExecution UNION PostProcessing,,,https://www.theworldavatar.com/kg/ontogoal/,
hasNextStep,Object Property,,,DesignOfExperiment,RxnExpExecution,only,,https://www.theworldavatar.com/kg/ontogoal/,
hasNextStep,Object Property,,,RxnExpExecution,PostProcessing,only,,https://www.theworldavatar.com/kg/ontogoal/,
cycleAllowance,Data property,,,Restriction,int,maximum 1,Allowance of cycles during pursuit of a goal set.,https://www.theworldavatar.com/kg/ontogoal/,
deadline,Data property,,,Restriction,dateTime,maximum 1,Deadline for the pursuit of a goal set.,https://www.theworldavatar.com/kg/ontogoal/,
