Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoHeatNetwork,TBox,https://www.theworldavatar.com/kg/ontoheatnetwork/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoHeatNetwork,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoHeatNetwork,TBox,An ontology defined for representing the district heating network ,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoHeatNetwork,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
HeatingNetwork,Class,,,,,,Represents a grid-bound district heating system that transfer heat to residential or commercial buildings,https://www.theworldavatar.com/kg/ontoheatnetwork/,Heating network
GridConnection,Class,,,,,,"Grid point at which (thermodynamic) properties are observed, i.e., flow and return temperature",https://www.theworldavatar.com/kg/ontoheatnetwork/,Grid connection
HeatProvider,Class,,,,,,provides heat to the district heating network,https://www.theworldavatar.com/kg/ontoheatnetwork/,Heat provider
MunicipalUtility,Class,HeatProvider,IS-A,,,,A utility that is wholly owned or operated by a municipality to provide service to the public,https://www.theworldavatar.com/kg/ontoheatnetwork/,Municipal utility
HeatGenerator,Class,,,,,,A device for converting fuel or electricity into heat ,https://www.theworldavatar.com/kg/ontoheatnetwork/,Heat generator
Consumer,Class,,,,,,Individuals or businesses or a group thereof that consume heat ,https://www.theworldavatar.com/kg/ontoheatnetwork/,Consumer
HeatBoiler,Class,HeatGenerator,IS-A,,,,"A closed, pressure vessel that uses fuel for heating water or other fluids to supply steam or hot water for heating",https://www.theworldavatar.com/kg/ontoheatnetwork/,Heat boiler
GasTurbine,Class,HeatGenerator,IS-A,,,,Turbine that converts chemical energy of fuel into heat and electricity by internal combustion,https://www.theworldavatar.com/kg/ontoheatnetwork/,Gas turbine
Availability,Class,,,,,,Planned or anticipated availability of an asset (true or false),https://www.theworldavatar.com/kg/ontoheatnetwork/,Availability
