Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoMOPs,TBox,https://www.theworldavatar.com/kg/ontomops/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoMOPs,TBox,1.1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoMOPs,TBox,An ontology developed for representing Metal-Organic Polyhedra (MOPs).,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoMOPs,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
MolecularCage,Class,,,,,,A molecular cage is chemical species that has a dimensional chamber (i.e. cavity) surrounded by a molecular framework. It is a form of a polyatomic entity. ,https://www.theworldavatar.com/kg/ontomops/,
CoordinationCage,Class,MolecularCage,IS-A,,,,A coordination cage is a molecular cage comprised of metal-based and organic building units.  A metal-organic cage (MOC) may be a synonym for coordination cage. ,https://www.theworldavatar.com/kg/ontomops/,
MetalOrganicPolyhedron,Class,CoordinationCage,IS-A,,,,A metal-organic polyhedron (MOP) is a highly symmetrical coordination cage.,https://www.theworldavatar.com/kg/ontomops/,
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,Class,,,,,,OntoSpecies is a web ontology for chemical species. ,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
Cavity,Class,,,,,,Cavity is the interior void in a molecular cage. ,https://www.theworldavatar.com/kg/ontomops/,
Volume,Class,,,,,,"An amount of space, in the context defined by a molecular cage cavity.",https://www.theworldavatar.com/kg/ontomops/,
AssemblyModel,Class,,,,,,An assembly model represent a spatial constract (i.e. skeleton) of discrete and well-defined interacting generic building units. Many chemical structures may share same assembly model. ,https://www.theworldavatar.com/kg/ontomops/,
GenericBuildingUnit,Class,,,,,,"Generic Building Unit is a modular entity that is able to connect to other generic units, leading to a variety of assembly models. The generic building unit has a unique modularity and spatial connectivity. ",https://www.theworldavatar.com/kg/ontomops/,
GenericBuildingUnitNumber,Class,,,,,,A generic building unit number provides the number of copies of generic units present in a particular assembly model. ,https://www.theworldavatar.com/kg/ontomops/,
ChemicalBuildingUnit,Class,,,,,,A chemical building unit is a  virtual molecular fragment or a real chemical compound that participates in the construction of larger complex assemblies such as molecular cages. ,https://www.theworldavatar.com/kg/ontomops/,
BindingSite,Class,,,,,,A binding site is the segment of the building unit that involves in chemical reactivity and enhances the interlocking between different building blocks. ,https://www.theworldavatar.com/kg/ontomops/,
BindingDirection,Class,,,,,,A binding direction specifies the orientation of the binding site with respect to the overall building unit core. ,https://www.theworldavatar.com/kg/ontomops/,
Substituent,Class,,,,,,"A substituent is an atom or a group of atoms that introduces lateral changes in a building block, not affecting the primary reactivity and MOP assembly.  ",https://www.theworldavatar.com/kg/ontomops/,
Core,Class,,,,,,"A core is the central chemical fragment of a building unit to which the substituents, spacers and binding sites connect. ",https://www.theworldavatar.com/kg/ontomops/,
Spacer,Class,,,,,,"A spacer is a chemical entity whose main purpose is to introduce size differences. In the particular building unit, the pacer is used to adjust the distance between a core and a binding site. ",https://www.theworldavatar.com/kg/ontomops/,
PolyhedralShape,Class,,,,,,A polyhedral shape refers to the shape of a solid defined by many plane faces,https://www.theworldavatar.com/kg/ontomops/,
OrganicSite,Class,BindingSite,IS-A,,,,"An organic site is a form of a binding site that is made of orgnaic functional groups (e.g. carboxylate, pyridine, bypiridine etc). ",https://www.theworldavatar.com/kg/ontomops/,
MetalSite,Class,BindingSite,IS-A,,,,"A metal-based site is a form of binding site that is typically made of electrophilic metal centres. A label to the metal site may be the type of the element (e.g. V, Fe, Zn etc.).",https://www.theworldavatar.com/kg/ontomops/,
SidewayBinding,Class,BindingDirection,IS-A,,,,Sideway binding occurs when the direction of the coordination of the binding site is not alligned is in a straight line from the central core of the building unit and point sto the side.,https://www.theworldavatar.com/kg/ontomops/,
DirectBinding,Class,BindingDirection,IS-A,,,,Direct binding occurs when the direction of the coordination of the binding site is alligned is in a straight line from the central core of the building unit.,https://www.theworldavatar.com/kg/ontomops/,
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#MolecularWeight,Class,,,,,,,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
Provenance,Class,,,,,,A provenance refers to the journal article where a particular MOP has been reported. ,https://www.theworldavatar.com/kg/ontomops/,
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Charge,Class,,,,,,,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
hasChemicalBuildingUnit,Object Property,,,MetalOrganicPolyhedron,ChemicalBuildingUnit,only,A relation betwenn  a MOP and its building unit. ,https://www.theworldavatar.com/kg/ontomops/,
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#hasCharge,Object Property,,,MetalOrganicPolyhedron UNION ChemicalBuildingUnit,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Charge,,A relation between a molecular entity and the formal charge associated with it. ,https://www.theworldavatar.com/kg/ontomops/,
hasAssemblyModel,Object Property,,,MetalOrganicPolyhedron,AssemblyModel,only,A relation depicting to which assembly model a particular metal organic polyhedron belongs to.,https://www.theworldavatar.com/kg/ontomops/,
hasCavity,Object Property,,,MetalOrganicPolyhedron,Cavity,only,A relation between molecular cages and the exisitence of within the molecular cages. ,https://www.theworldavatar.com/kg/ontomops/,
hasProvenance,Object Property,,,MetalOrganicPolyhedron,Provenance,only,A relation between a molecular cage and the literature where such cage has been reported. ,https://www.theworldavatar.com/kg/ontomops/,
hasMOPCavityVolume,Object Property,,,Cavity,Volume,only,A relation between a cavity of a cage and the amount of space referring to the volume. ,https://www.theworldavatar.com/kg/ontomops/,
hasGenericBuildingUnitNumber,Object Property,,,AssemblyModel,GenericBuildingUnitNumber,only,A relation between a the chemical assembly model the number of generic units constructing that assembly model. ,https://www.theworldavatar.com/kg/ontomops/,
hasGenericBuildingUnit,Object Property,,,AssemblyModel,GenericBuildingUnit,only,A relation between the chemical assembly model and the constituting generic buildinng unit.,https://www.theworldavatar.com/kg/ontomops/,
hasPolyhedralShape,Object Property,,,AssemblyModel,PolyhedralShape,only,A relation between an assembly mode MOP and its most basic polyhedral shape addopted by that MOP. ,https://www.theworldavatar.com/kg/ontomops/,
hasBindingDirection,Object Property,,,ChemicalBuildingUnit,BindingDirection,only,A relation defining the orientation between a binding unit in respect to the propagation of the building unit core. ,https://www.theworldavatar.com/kg/ontomops/,
hasCore,Object Property,,,ChemicalBuildingUnit,Core,only,A relation between a building units and its smaller central consitutent that conencts the binding sites. ,https://www.theworldavatar.com/kg/ontomops/,
hasSpacer,Object Property,,,ChemicalBuildingUnit,Spacer,only,A relation between the building units and the existence of a smaller constituent that connects the binding and the core unit. ,https://www.theworldavatar.com/kg/ontomops/,
hasBindingSite,Object Property,,,ChemicalBuildingUnit,Binding Site,only,A relation between the building unit and the type of associated binding sites. ,https://www.theworldavatar.com/kg/ontomops/,
hasSubstituent,Object Property,,,Spacer,Substituent ,only,A relation defining the type of substituent associated with the spacer.,https://www.theworldavatar.com/kg/ontomops/,
hasSubstituent,Object Property,,,Core,Substituent ,only,A relation defining the type of substituent associated with the core of the chemical building unit. ,https://www.theworldavatar.com/kg/ontomops/,
isNumberOf,Object Property,,,GenericBuildingUnitNumber,GenericBuildingUnit,only,A relation that connects the number of generic units with the type of the generic unit. ,https://www.theworldavatar.com/kg/ontomops/,
isFunctioningAs,Object Property,,,ChemicalBuildingUnit,GenericBuildingUnit,only,A relation that connects the chemical building unit and the more abstract generic building unit. ,https://www.theworldavatar.com/kg/ontomops/,
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#hasMolecularWeight,Object Property,,,MetalOrganicPolyhedron UNION ChemicalBuildingUnit,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#MolecularWeight,,A relation between a molecular entity and its molecular weight.,https://www.theworldavatar.com/kg/ontomops/,
http://www.ontology-of-units-of-measure.org/resource/om-2/hasValue,Object Property,,,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Charge,http://www.ontology-of-units-of-measure.org/resource/om-2/Measure,,,http://www.ontology-of-units-of-measure.org/resource/om-2/,
http://www.ontology-of-units-of-measure.org/resource/om-2/hasUnit,Object Property,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Measure,http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,,,http://www.ontology-of-units-of-measure.org/resource/om-2/,
http://www.ontology-of-units-of-measure.org/resource/om-2/hasValue,Object Property,,,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#MolecularWeight,http://www.ontology-of-units-of-measure.org/resource/om-2/Measure,,,http://www.ontology-of-units-of-measure.org/resource/om-2/,
http://www.ontology-of-units-of-measure.org/resource/om-2/hasValue,Object Property,,,Volume,http://www.ontology-of-units-of-measure.org/resource/om-2/Measure,,,http://www.ontology-of-units-of-measure.org/resource/om-2/,
hasCBUFormula,Data Property,,,ChemicalBuildingUnit,String,,Data string outlying the formula of the chemical building unit. ,https://www.theworldavatar.com/kg/ontomops/,
hasMOPFormula,Data Property,,,MetalOrganicPolyhedron,String,,,https://www.theworldavatar.com/kg/ontomops/,
hasCCDCNumber,Data Property,,,MetalOrganicPolyhedron,String,,A data property that informs on the exact deposition number of the MOP in the CCDC database.,https://www.theworldavatar.com/kg/ontomops/,
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Geometry,Class,,,,,,,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#hasGeometry,Object Property,,,MetalOrganicPolyhedron UNION ChemicalBuildingUnit,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Geometry,,A relation between a molecular entity and the geometry associated with it. ,https://www.theworldavatar.com/kg/ontomops/,
hasGeometryFile,Data Property,,,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Geometry,String,,The path to the XYZ file representing a molecular geometry.,https://www.theworldavatar.com/kg/ontomops/,
hasModularity,Data Property,,,GenericBuildingUnit,Integer,,The number of generic building units that connect to a selected generic building.,https://www.theworldavatar.com/kg/ontomops/,
hasPlanarity,Data Property,,,GenericBuildingUnit,String,,"Description of how the other beneric building units are spatially oriented arround the building unit of interst. (e.g. linear, bent, off-set, pyramidal, planar).",https://www.theworldavatar.com/kg/ontomops/,
hasUnitNumberValue,Data Property,,,GenericBuildingUnitNumber,Integer,,,https://www.theworldavatar.com/kg/ontomops/,
hasSymmetryPointGroup,Data Property,,,AssemblyModel,String,,A relation between chemcial species and their idealised symmetry pointgroup. ,https://www.theworldavatar.com/kg/ontomops/,
hasReferenceDOI,Data Property,,,Provenance,String,,DOI number provided as an identifier not as a link. ,https://www.theworldavatar.com/kg/ontomops/,
hasSymbol,Data Property,,,PolyhedralShape,String,,A data property describing polyhedral shape through a letter code.,https://www.theworldavatar.com/kg/ontomops/,
hasOuterCoordinationNumber,Data Property,,,BindingSite,Integer,,,https://www.theworldavatar.com/kg/ontomops/,
http://www.w3.org/2000/01/rdf-schema#label,Data Property,,,Core,String,,,http://www.w3.org/2000/01/rdf-schema,
http://www.w3.org/2000/01/rdf-schema#label,Data Property,,,Spacer,String,,,http://www.w3.org/2000/01/rdf-schema,
http://www.w3.org/2000/01/rdf-schema#label,Data Property,,,Substituent,String,,,http://www.w3.org/2000/01/rdf-schema,
http://www.w3.org/2000/01/rdf-schema#label,Data Property,,,BindingSite,String,,,http://www.w3.org/2000/01/rdf-schema,
http://www.w3.org/2000/01/rdf-schema#label,Data Property,,,BindingDirection,String,,,http://www.w3.org/2000/01/rdf-schema,
http://www.ontology-of-units-of-measure.org/resource/om-2/hasNumericalValue,Data Property,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Measure,Float,,,http://www.ontology-of-units-of-measure.org/resource/om-2/,
