Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoPlanningRegulations,TBox,https://www.theworldavatar.com/kg/ontoplanningregulations/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoPlanningRegulations,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoPlanningRegulations,TBox,OntoPlanningRegulations is an ontology developed to describe the regulations imposed for urban planning purposes.,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoPlanningRegulations,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
PlanningRegulation,Class,,,,,,"Planning regulations are a set of rules and guidelines established by competent authorities at the local, regional, or national level to control and manage the development and use of land and properties within a specific geographic area.",https://www.theworldavatar.com/kg/ontoplanningregulations/,Planning Regulation
AreaRegulation,Class,PlanningRegulation,IS-A,,,,"Area regulation are special planning regulations that take precedence over other regulations in specific geographic areas. They are usually enforced using geospatial boundaries, denoting that their rules and provisions apply exclusively to entities within the specified geospatial boundary. The intent behind area regulations is often to address unique or localised needs, challenges, or opportunities, and they can vary significantly from standard zoning or land use regulations.",https://www.theworldavatar.com/kg/ontoplanningregulations/,Area Regulation
ConservationArea,Class,AreaRegulation,IS-A,,,,Conservation areas as defined in https://data.gov.sg/dataset/master-plan-2019-sdcp-conservation-area-layer,https://www.theworldavatar.com/kg/ontoplanningregulations/,Conservation Area
DetailedControl,Class,AreaRegulation,IS-A,,,,Detail Control area regulations may be any of the other area regulation subclasses that requires individual assessment.,https://www.theworldavatar.com/kg/ontoplanningregulations/,Detailed Control
HeightControlPlan,Class,AreaRegulation,IS-A,,,,Height Control Plan as defined in https://data.gov.sg/dataset/master-plan-2019-sdcp-building-height-control-layer,https://www.theworldavatar.com/kg/ontoplanningregulations/,Height Control Plan
LandedHousingArea,Class,AreaRegulation,IS-A,,,,Landed housing areas as  defined  by https://data.gov.sg/dataset/master-plan-2019-sdcp-landed-housing-area-layer,https://www.theworldavatar.com/kg/ontoplanningregulations/,Landed Housing Area
GoodClassBungalowArea,Class,LandedHousingArea,IS-A,,,,,https://www.theworldavatar.com/kg/ontoplanningregulations/,Good Class Bungalow Area
Monument,Class,AreaRegulation,IS-A,,,,Monument boudaries as defined in https://data.gov.sg/dataset/master-plan-2019-sdcp-monument-layer,https://www.theworldavatar.com/kg/ontoplanningregulations/,Monument
PlanningBoundary,Class,AreaRegulation,IS-A,,,,Planning Boundaries as defined in https://data.gov.sg/dataset/master-plan-2019-planning-area-boundary-no-sea,https://www.theworldavatar.com/kg/ontoplanningregulations/,Planning Boundary
PlanningRegion,Class,AreaRegulation,IS-A,,,,Planning regions as defined in https://data.gov.sg/dataset/master-plan-2019-region-boundary-no-sea,https://www.theworldavatar.com/kg/ontoplanningregulations/,Planning Region
StreetBlockPlan,Class,AreaRegulation,IS-A,,,,Street Block Plans as defined in https://www.ura.gov.sg/Corporate/Planning/Master-Plan/Control-Plans/Street-Block-and-Envelope-Control-Plans/list-of-street-block-envelope-control-plans,https://www.theworldavatar.com/kg/ontoplanningregulations/,Street Block Plan
UrbanDesignArea,Class,AreaRegulation,IS-A,,,,Urban Design Areas as defined in https://data.gov.sg/dataset/master-plan-2019-sdcp-urban-design-guideline-layer,https://www.theworldavatar.com/kg/ontoplanningregulations/,Urban Design Area
UrbanDesignGuideline,Class,AreaRegulation,IS-A,,,,Urban Design Guidelines as defined in  https://www.ura.gov.sg/Corporate/Guidelines/Urban-Design.,https://www.theworldavatar.com/kg/ontoplanningregulations/,Urban Design Guideline
TypeRegulation,Class,PlanningRegulation,IS-A,,,,"Type regulation is a form of specialised planning regulations that provide guidelines to any urban entities based on their type. For instance, a Commercial development control plan will apply to zones with commercial zone type. These regulations are designed to address specific land use or development needs associated with their zone uses. Note that these regulations might only provide a range of guidelines for specific restrictions, but individual plots may differ from these guidelines. For instance, Commercial Zone Type might have a maximum floor-to-floor height of 5m in the type regulation, but specific plots might have a lower maximum number.",https://www.theworldavatar.com/kg/ontoplanningregulations/,Type Regulation
DevelopmentControlPlan,Class,TypeRegulation,IS-A,,,,"Development Control Plans provide development control guidelines and parameters for developments. It explains the parameters such as building setbacks, building coverage, intensity and height in detail.",https://www.theworldavatar.com/kg/ontoplanningregulations/,Development Control Plan
RoadCategory,Class,TypeRegulation,IS-A,,,,"Each road may have a road category, that may affect the required road buffer, allowed number of storeys, and allowed programmes.",https://www.theworldavatar.com/kg/ontoplanningregulations/,Road Category
RoadCategory1,Class,RoadCategory,IS-A,,,,These regulations apply to roads in Road Category 1. These are expressways that form the primary network where all long distance traffic movements should be directed. It is planned to optimise long distance mobility from one part of the island to another.,https://www.theworldavatar.com/kg/ontoplanningregulations/,Road Category 1
RoadCategory2,Class,RoadCategory,IS-A,,,,"These regulations apply to roads in Road Category 2. These are major arterial roads, which predominantly carries traffic through from one region to another, forming principle avenues of communication for urban traffic movements. It interconnects expressways and minor arterial as well as with other major arterial roads.",https://www.theworldavatar.com/kg/ontoplanningregulations/,Road Category 2
RoadCategory3,Class,RoadCategory,IS-A,,,,These regulations apply to roads in Road Category 3. These are minor arterial roads that distribute traffic within the major residential and industrial areas. It is planned to optimise circulation within the area and facilitate through traffic between adjacent towns.,https://www.theworldavatar.com/kg/ontoplanningregulations/,Road Category 3
RoadCategory4,Class,RoadCategory,IS-A,,,,"These regulations apply to roads in Road Category 4. These are primary access roads that form the link between local access and arterial roads. It provides access to developments and through traffic is discouraged. However, where a development is also accessible by a local access road, the access shall be located at the local access road.",https://www.theworldavatar.com/kg/ontoplanningregulations/,Road Category 4
RoadCategory5,Class,RoadCategory,IS-A,,,,These regulations apply to roads in Road Category 5. These are local access roads that give direct access to buildings and other developments and should connect only with primary access roads.,https://www.theworldavatar.com/kg/ontoplanningregulations/,Road Category 5
