Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoReaction,TBox,https://www.theworldavatar.com/kg/ontoreaction/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoReaction,TBox,1.8,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoReaction,TBox,An ontology developed for describing reaction experiment.,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoReaction,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
ReactionExperiment,Class,,,,,,A reaction experiment is a concrete realisation of a chemical reaction at a set of reaction conditions. ,https://www.theworldavatar.com/kg/ontoreaction/,
ReactionVariation,Class,ReactionExperiment,IS-A,,,,A reaction variation is defined as the same chemical reaction performed at a different set of reaction conditions compared to its original conditions. ,https://www.theworldavatar.com/kg/ontoreaction/,
http://www.theworldavatar.com/ontology/ontocape/material/substance/reaction_mechanism.owl#ChemicalReaction,Class,,,,,,A ChemicalReaction converts some ChemicalSpecies (or MolecularEntities) into some other ChemicalSpecies (or MolecularEntities). [OntoCAPE],http://www.theworldavatar.com/ontology/ontocape/material/substance/reaction_mechanism.owl,
Catalyst,Class,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#Species,IS-A,,,,A substance that increases the rate of a reaction without modifying the overall standard Gibbs energy change in the reaction. [doi:10.1351/goldbook.C00876],https://www.theworldavatar.com/kg/ontoreaction/,
Solvent,Class,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#Species,IS-A,,,,A solvent is the substance used to solve the chemical components of the chemical reaction process. ,https://www.theworldavatar.com/kg/ontoreaction/,
http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#Product,Class,,,,,,A name-quantity pair that defines the name and corresponding stoichiometric coefficient of a chemical species or molecular entity participating in the reverse reaction. [OntoKin],https://www.theworldavatar.com/kg/ontoreaction/,
TargetProduct,Class,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#Product,IS-A,,,,The product that is the desired outcome of a reaction experiment. ,https://www.theworldavatar.com/kg/ontoreaction/,
Impurity,Class,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#Product,IS-A,,,,The product that is not the desired outcome of a reaction experiment. ,https://www.theworldavatar.com/kg/ontoreaction/,
PerformanceIndicator,Class,,,,,,A quantity that is calculated from the measured analytical data of output chemical of a reaction experiment. It is used as objectives of a reaction optimisation problem. ,https://www.theworldavatar.com/kg/ontoreaction/,
EnvironmentalFactor,Class,PerformanceIndicator,IS-A,,,,The environmental factor (E-factor) of a reaction experiment is the ratio of the mass of waste (impurity) to mass of (desired/target) product. [doi:10.1039/B713736M],https://www.theworldavatar.com/kg/ontoreaction/,
Yield,Class,PerformanceIndicator,IS-A,,,,Ratio expressing the efficiency of a mass conversion process.�[doi:10.1351/goldbook.Y06724],https://www.theworldavatar.com/kg/ontoreaction/,
EcoScore,Class,PerformanceIndicator,IS-A,,,,,https://www.theworldavatar.com/kg/ontoreaction/,
Conversion,Class,PerformanceIndicator,IS-A,,,,"The conversion indicates, which portion of the originally used starting material has been converted into other chemical substances by a chemical reaction. [UDM https://github.com/PistoiaAlliance/UDM/blob/master/Docs/Glossary.md]",https://www.theworldavatar.com/kg/ontoreaction/,
SpaceTimeYield,Class,PerformanceIndicator,IS-A,,,,"Space-time yield is a measure of reactor productivity calculated from mass of (desired/target) product formed, devided by the the reactor volume, and residence time. [doi:10.1002/cmtd.202000044]",https://www.theworldavatar.com/kg/ontoreaction/,
RunMaterialCost,Class,PerformanceIndicator,IS-A,,,,"The total cost of input chemical during one reaction experiment, normally scaled by the volumetric amount of input chemicals. ",https://www.theworldavatar.com/kg/ontoreaction/,
RunMaterialCostPerKilogramProduct,Class,PerformanceIndicator,IS-A,,,,"The total cost of input chemical during one reaction experiment, scaled by per kilogram of product produced.",https://www.theworldavatar.com/kg/ontoreaction/,
EnvironmentalFactor,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/MassFraction,IS-A,,,,,https://www.theworldavatar.com/kg/ontoreaction/,
Yield,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfSubstanceFraction,IS-A,,,,,https://www.theworldavatar.com/kg/ontoreaction/,
EcoScore,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/QuantityOfDimensionOne,IS-A,,,,,https://www.theworldavatar.com/kg/ontoreaction/,
Conversion,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfSubstanceFraction,IS-A,,,,,https://www.theworldavatar.com/kg/ontoreaction/,
SpaceTimeYield,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,IS-A,,,,,https://www.theworldavatar.com/kg/ontoreaction/,
RunMaterialCost,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/SpecificAmountOfMoney,IS-A,,,,,https://www.theworldavatar.com/kg/ontoreaction/,
RunMaterialCostPerKilogramProduct,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/SpecificAmountOfMoney,IS-A,,,,,https://www.theworldavatar.com/kg/ontoreaction/,
ReactionCondition,Class,,,,,,A quantity that is used to specify the condition at which the reaction is to be conducted. It can be used as the optimisation variable in a reaction development process.,https://www.theworldavatar.com/kg/ontoreaction/,
ResidenceTime,Class,ReactionCondition,IS-A,,,,The time required for air or reagent parcel to pass from the entrance to the exit of an instrument. Often this is approximated as the ratio of the interior volume of the device to the flow rate. [doi:10.1351/goldbook.R05309],https://www.theworldavatar.com/kg/ontoreaction/,
ReactionTemperature,Class,ReactionCondition,IS-A,,,,The temperature at which a reaction experiment is conducted. ,https://www.theworldavatar.com/kg/ontoreaction/,
ReactionPressure,Class,ReactionCondition,IS-A,,,,The pressure at which a reaction experiment is conducted. ,https://www.theworldavatar.com/kg/ontoreaction/,
