Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoSensorLoggerMobileApp,TBox,http://www.theworldavatar.com/ontology/ontosensorloggermobileapp/ontoSensorLoggerMobileApp.owl,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoSensorLoggerMobileApp,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoSensorLoggerMobileApp,TBox,The OntoSensorLoggerMobileApp ontology (OntoSensorLoggerMobileApp) is an ontology developed to represent the detailed information and spatial relationships,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoSensorLoggerMobileApp,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
MageneticFluxDensityVector,Class,,,,,,Is a vector quantity that represents the strength and direction of a magnetific field,https://www.theworldavatar.com/kg/ontosensorloggermobileapp/,MageneticFluxDensityVector
MagneticFluxDensity_x,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/MagneticFluxDensity,IS-A,,,,Measures the direction of magnetic north with respect to the device in the x direction,https://www.theworldavatar.com/kg/ontosensorloggermobileapp/,MagneticFluxDensity_x
MagneticFluxDensity_y,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/MagneticFluxDensity,IS-A,,,,Measures the direction of magnetic north with respect to the device in the y direction,https://www.theworldavatar.com/kg/ontosensorloggermobileapp/,MagneticFluxDensity_y
MagneticFluxDensity_z,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/MagneticFluxDensity,IS-A,,,,Measures the direction of magnetic north with respect to the device in the z direction,https://www.theworldavatar.com/kg/ontosensorloggermobileapp/,MagneticFluxDensity_z
GravityVector,Class,,,,,,Is a vector quantity that represents the direction and magnitude of the force of gravity,https://www.theworldavatar.com/kg/ontosensorloggermobileapp/,GravityVector
Gravity_x,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Acceleration,IS-A,,,,Measures the acceleration vector due to gravity with respect to phone's coordinate reference system in the x-direction (Short edge),https://www.theworldavatar.com/kg/ontosensorloggermobileapp/,Gravity_x
Gravity_y,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Acceleration,IS-A,,,,Measures the acceleration vector due to gravity with respect to phone's coordinate reference system in the y-direction (Long edge),https://www.theworldavatar.com/kg/ontosensorloggermobileapp/,Gravity_y
Gravity_z,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Acceleration,IS-A,,,,Measures the acceleration vector due to gravity with respect to phone's coordinate reference system in the z-direction (Through the phone),https://www.theworldavatar.com/kg/ontosensorloggermobileapp/,Gravity_z
AccelerationVector,Class,,,,,,Is a vector quantity that represents the rate of change of velocity,https://www.theworldavatar.com/kg/ontosensorloggermobileapp/,AccelerationVector
Accel_x,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Acceleration,IS-A,,,,Measures the linear acceleration in the device's cooordinate system in the x-direction,https://www.theworldavatar.com/kg/ontosensorloggermobileapp/,Accel_x
Accel_y,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Acceleration,IS-A,,,,Measures the linear acceleration in the device's cooordinate system in the y-direction,https://www.theworldavatar.com/kg/ontosensorloggermobileapp/,Accel_y
Accel_z,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Acceleration,IS-A,,,,Measures the linear acceleration in the device's cooordinate system in the z-direction,https://www.theworldavatar.com/kg/ontosensorloggermobileapp/,Accel_z
hasA,Object Property,,,https://w3id.org/MON/person.owl#Person,https://www.theworldavatar.com/kg/ontodevice/Smartphone,,Possess a,https://www.theworldavatar.com/kg/ontosensorloggermobileapp/,hasA
hasXComponent,Object Property,,,MageneticFluxDensityVector,MagneticFluxDensity_x,,has vector component in the x-direction,https://www.theworldavatar.com/kg/ontosensorloggermobileapp/,hasXComponent
hasXComponent,Object Property,,,GravityVector,Gravity_x,,has vector component in the x-direction,https://www.theworldavatar.com/kg/ontosensorloggermobileapp/,hasXComponent
hasXComponent,Object Property,,,AccelerationVector,Accel_x,,has vector component in the x-direction,https://www.theworldavatar.com/kg/ontosensorloggermobileapp/,hasXComponent
hasYComponent,Object Property,,,MageneticFluxDensityVector,MagneticFluxDensity_y,,has vector component in the y-direction,https://www.theworldavatar.com/kg/ontosensorloggermobileapp/,hasYComponent
hasYComponent,Object Property,,,GravityVector,Gravity_y,,has vector component in the y-direction,https://www.theworldavatar.com/kg/ontosensorloggermobileapp/,hasYComponent
hasYComponent,Object Property,,,AccelerationVector,Accel_y,,has vector component in the y-direction,https://www.theworldavatar.com/kg/ontosensorloggermobileapp/,hasYComponent
hasZComponent,Object Property,,,MageneticFluxDensityVector,MagneticFluxDensity_z,,has vector component in the z-direction,https://www.theworldavatar.com/kg/ontosensorloggermobileapp/,hasZComponent
hasZComponent,Object Property,,,GravityVector,Gravity_z,,has vector component in the z-direction,https://www.theworldavatar.com/kg/ontosensorloggermobileapp/,hasZComponent
hasZComponent,Object Property,,,AccelerationVector,Accel_z,,has vector component in the z-direction,https://www.theworldavatar.com/kg/ontosensorloggermobileapp/,hasZComponent
