Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoService,TBox,https://www.theworldavatar.com/kg/ontoservice/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoService,TBox,1.1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoService,TBox,"OntoService is designed to represent the terms, conditions, and obligations associated with service delivery as well as the execution details.",http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoService,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
ServicePaymentObligation,Class,https://spec.edmcouncil.org/fibo/ontology/FND/ProductsAndServices/PaymentsAndSchedules/PaymentObligation,IS-A,,,,Legally enforceable duty and payment terms for the associated service stated in a service agreement.,https://www.theworldavatar.com/kg/ontoservice/,Service payment obligation
ContactService,Class,https://spec.edmcouncil.org/fibo/ontology/FND/ProductsAndServices/ProductsAndServices/Service,IS-A,,,,"A service that acts as a point of contact for communication, support, or assistance.",https://www.theworldavatar.com/kg/ontoservice/,Contact service
ServiceMetric,Class,,,,,,"A quantifiable measure to evaluate and track the performance, quality, or efficiency of a service against predefined standards and expectations. These metrics include response time, weight, and customer satisfaction, among others.",https://www.theworldavatar.com/kg/ontoservice/,Service metric
ServiceTonnage,Class,ServiceMetric,IS-A,,,,The quantifiable weight measured in tons when the service is performed.,https://www.theworldavatar.com/kg/ontoservice/,Service tonnage
ServiceMetricCap,Class,ServiceMetric,IS-A,,,,The maximum allowable value for the metric defined in the service agreement.,https://www.theworldavatar.com/kg/ontoservice/,Service metric cap
CreationStage,Class,https://spec.edmcouncil.org/fibo/ontology/FBC/ProductsAndServices/FinancialProductsAndServices/ContractLifecycleStage,IS-A,,,,The phase in the lifecycle of a contract to create a new contract.,https://www.theworldavatar.com/kg/ontoservice/,Creation stage
ServiceExecutionStage,Class,https://spec.edmcouncil.org/fibo/ontology/FBC/ProductsAndServices/FinancialProductsAndServices/ContractLifecycleStage,IS-A,,,,The phase in the lifecycle of a contract where the services agreed should be executed.,https://www.theworldavatar.com/kg/ontoservice/,Service execution stage
ExpirationStage,Class,https://spec.edmcouncil.org/fibo/ontology/FBC/ProductsAndServices/FinancialProductsAndServices/ContractLifecycleStage,IS-A,,,,The phase in the lifecycle of a contract where the contract has ended.,https://www.theworldavatar.com/kg/ontoservice/,Expiration stage
ContractCreation,Class,https://spec.edmcouncil.org/fibo/ontology/FBC/ProductsAndServices/FinancialProductsAndServices/ContractLifecycleEvent,IS-A,,,,An event to draft and create a new contract during the creation lifecycle stage of a contract.,https://www.theworldavatar.com/kg/ontoservice/,Contract creation
ContractApproval,Class,https://spec.edmcouncil.org/fibo/ontology/FBC/ProductsAndServices/FinancialProductsAndServices/ContractLifecycleEvent,IS-A,,,,An event to approve the contract during the creation lifecycle stage of a contract.,https://www.theworldavatar.com/kg/ontoservice/,Contract approval
ContractDischarge,Class,https://spec.edmcouncil.org/fibo/ontology/FBC/ProductsAndServices/FinancialProductsAndServices/ContractLifecycleEvent,IS-A,,,,An event ending the contract as all contractual obligations have been performed.,https://www.theworldavatar.com/kg/ontoservice/,Contract discharge
ContractRescission,Class,https://spec.edmcouncil.org/fibo/ontology/FBC/ProductsAndServices/FinancialProductsAndServices/ContractLifecycleEvent,IS-A,,,,"An event rendering the contract null, void, and no longer legally binding as one contractual party is a victim of a vitiating factor during the expiration lifecycle stage of a contract.",https://www.theworldavatar.com/kg/ontoservice/,Contract rescission
ContractTermination,Class,https://spec.edmcouncil.org/fibo/ontology/FBC/ProductsAndServices/FinancialProductsAndServices/ContractLifecycleEvent,IS-A,,,,An event ending the contract before all contractual obligations have been performed. Typically the contract may have been concluded earlier with the agreement of all parties involved.,https://www.theworldavatar.com/kg/ontoservice/,Contract termination
